,Date,Study,Study Link,Journal,Surface,Does Virus persist on surface,Hydrophobic or Hydrophilic,Time of persistence,Design,Sample,Study Population,Sample Text,Matches,Entry
,2020-09-30,Strategies for daily operating room management of ambulatory surgery centers following resolution of the acute phase of the COVID-19 pandemic,https://doi.org/10.1016/j.jclinane.2020.109854,Journal of Clinical Anesthesia,,,,,Other,1000,Data for all surgery in hospitals in Iowa 2013 through 2015 were studied .,"For example, to apply these results to the University of Iowa's phase I postanesthesia care unit, approximately 1.3% of the > 1000 presymptomatic or asymptomatic patients screened for essential procedures have been SARS-CoV-2 positive by RT-PCR.","CoV-2 is detected on plastic and stainless steel surfaces (e.g., in the phase I post-anesthesia care unit) for 4 days .

Viral pathogen survival on environmental surfaces extends for several days; SARS-CoV-2 can survive for at least 3 days on a variety of materials commonly encountered in ORs (e.g., stainless steel, plastic) .

1 Viral pathogen survival on environmental surfaces extends for several days; SARS-CoV-2 can survive for at least 3 days on a variety of materials commonly encountered in ORs (e.g., stainless steel, plastic) .",2020-05-12
,2020-08-15,Evolution of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) as coronavirus disease 2019 (COVID-19) pandemic: A global health emergency,https://doi.org/10.1016/j.scitotenv.2020.138996,Sci Total Environ,,,,,Other,3,"The COVID-19 pandemic was confirmed to have spread to Africa on February 14, 2020 as the first confirmed in Egypt on February 13, 2020 (BBC, 2020a Egypt, 2020) whereas the first identified case in sub-Saharan Africa was in Nigeria on February 27, 2020 (Adepoju, 2020; BBC, 2020e) .","Lastly, the epidemic of SARS-CoV-2, a member of beta-coronaviruses, has started in China from December 2019 causing 198 confirmed infections with three fatal cases by January 20, 2020 (WHO, 2020k) .","The viability of the coronavirus in aerosols, plastic, stainless steel, copper and cardboard were found to be 3, 72, 72, 4 and 24 h respectively (Van Doremalen et al., 2020).",2020-05-12
,2020-08-01,A spatio-temporal analysis for exploring the effect of temperature on COVID-19 early evolution in Spain,https://doi.org/10.1016/j.scitotenv.2020.138811,Sci Total Environ,,,,,Other,1812734,"In this regard, the Director-General of the World Health Organization (WHO) has recently declared COVID-19 a global pandemic on 11 March 2020 starting in Wuhan, Hubei Province, China in December 2019 (WHO, 2020c) .","According to the WHO, the current COVID-19 outbreak situation has confirmed 1,812,734 cases and 113,675 deaths involving 213 countries (WHO, 2020a) where Spain is one of the leading countries of this global health crisis with 172,541 confirmed cases and 18,056 confirmed deaths (ISCIII, 2020) (data reported on April 14th 2020) in a population of about 47 million people.","These scientists have found that SARS-CoV-2 was detectable in aerosols for up to 3 h, up to 4 h on copper, up to 24 h on cardboard and up to two to three days on plastic and stainless steel.",2020-05-12
,2020-07-10,Challenges and solutions for addressing critical shortage of supply chain for personal and protective equipment (PPE) arising from Coronavirus disease (COVID19) pandemic – Case study from the Republic of Ireland,https://doi.org/10.1016/j.scitotenv.2020.138532,Sci Total Environ,,,,,Case series,,Science Foundation Ireland -Rapid COVID19 fund Grant with CURAM edical device Centre.,"Circular coupons, excised from the FFRs, were exposed to aerosolized particles containing MS2 coliphage and treated with IFM-specific UV-C doses ranging from 38 to 4707 J/m 2 ."," recently reported that coronaviruses persist on inanimate surfaces, such as glass, plastic and metal for up to 9 days, but they are efficiently inactivated on these surfaces with use of 62–72% alcohol, 0.5% hydrogen peroxide, or 0.1% sodium hypochlorite within 1 min exposure.

 recently reported that coronaviruses persist on inanimate surfaces, such as glass, plastic and metal for up to 9 days, but they are efficiently inactivated on these surfaces with use of 62-72% alcohol, 0.5% hydrogen peroxide, or 0.1% sodium hypochlorite within 1 min exposure.",2020-05-12
,2020-06-30,Working through the COVID-19 outbreak: Rapid review and recommendations for MSK and allied heath personnel,https://doi.org/10.1016/j.jcot.2020.03.014,Journal of Clinical Orthopaedics and Trauma,,,,,Other,2,Understand the basics of COVID-19 Recognise when to escalate to respiratory medics or ICU Are able to treat acute or emergent medical conditions as needed Key terms COVID19 (Abbreviated from Corona Virus disease 2019) -Name of the disease caused with SARS-CoV-2) SARS-CoV-2 (Abbreviated from Severe acute respiratory syndrome coronavirus 2)-Virus causing COVID-19.,"7 Despite the differences we have seen in the lab settings, there seem to be no difference in infection rates between these two groups in the clinical setting (2 randomised trials).","SARS-CoV-2 is detectable for up to 4 h on copper, up to 24 h on cardboard and up to two to three days on plastic and stainless steel.",2020-05-12
,2020-05-31,Intensive care management of coronavirus disease 2019 (COVID-19): challenges and recommendations,https://doi.org/10.1016/s2213-2600(20)30161-2,The Lancet Respiratory Medicine,,,,,Systematic review,11,Articles published in English and Chinese were included.,"11, 13, 15, 17 In one report, out of 28 patients who received ECMO, 14 died, nine were still on ECMO, and only five were successfully weaned.","Viable SARS-CoV-2 persists on inanimate surfaces such as plastic and stainless steel for up to 72 h.27 Because more than one-third of health-care workers' mobile phones might be contaminated with common viral pathogens,100 these should be cleaned regularly or wrapped with specimen bags that are discarded after contact with patients or daily.

Viable SARS-CoV-2 persists on inanimate surfaces such as plastic and stainless steel for up to 72 h. 27 Because more than one-third of health-care workers' mobile phones might be contaminated with common viral pathogens, 100 these should be cleaned regularly or wrapped with specimen bags that are discarded after contact with patients or daily.",2020-05-12
,2020-05-07,SARS-CoV-2: air/aerosols and surfaces in laboratory and clinical settings,https://doi.org/10.1016/j.jhin.2020.05.001,Journal of Hospital Infection,,,,,Other,39,"Lately, another study by Liu et al probed the aerodynamics of SARS-CoV-2 at hospitals in Wuhan, China 7 .","Later, to extend the cohort of the study, Guo et al included 39 patients in a COVID-19-specialised hospital in Wuhan, China, with 15 in the intensive care unit (ICU) and 24 in a general ward 45 .","To be specific, SARS-CoV-2 was most stable on plastic surface, followed by stainless steel, cardboard, and copper surfaces, respectively.",2020-05-12
,2020-05-06,Sustainability of Coronavirus on different surfaces,https://doi.org/10.1016/j.jceh.2020.04.020,Journal of Clinical and Experimental Hepatology,,,,,Other,,"Graphs for both SARS-CoV-2 and SARS-CoV-1 are confined from 1 to Stainless Steel, 4-Copper and 5-Cardboard.",Around ten experiments with different conditions involving the above two viruses were done for five different environmental conditions.,"Plastic, Stainless Steel, Copper, and Cardboard were the four metal surfaces taken to consideration.

This virus can contaminate on different metal surfaces and stay on them from hours to days, with a maximum span on plastic and stainless and least on the copper surface.

Recent studies show that the Coronavirus can last about three days on a plastic surface as well as on stainless steel surface, it can also sustain for a period of whole one day on cardboard whereas it can only sustain for about four hours only on a copper surface 15 .",2020-05-12
,2020-05-06,Cardiological Society of India: Document on Acute MI care during COVID-19,https://doi.org/10.1016/j.ihj.2020.04.009,Indian Heart Journal,,,,,Other,-19,"If hospitals are overwhelmed with COVID -19 patients , the feasibility of timely primary PCI will be a challenge and situation should be dealt in accordance with available resources.","If hospitals are overwhelmed with COVID -19 patients , the feasibility of timely primary PCI will be a challenge and situation should be dealt in accordance with available resources.","Fomites also play a role in transmission with the virus remaining viable in cardboard for 24 hours, on plastic and steel for 3 days.",2020-05-12
,2020-05-04,What makes a foodborne virus: comparison between coronaviruses with human noroviruses,https://doi.org/10.1016/j.cofs.2020.04.011,Current Opinion in Food Science,,,,,Other,8,"Since molecular methods underestimate largely the infectivity decrease of viruses, we only included data generated with the use of cell culture based methods or from human volunteer studies.","Mussels 2017, Spain Thirty-nine people were sick after consuming mussels contaminated with NoV First outbreak: 8 faecal samples from symptomatic individuals and coleslaw samples were positive for NoV GII.","SARS-CoV-2 at 21 to 23°C and 40% relative humidity (RH): more stable on plastic (3.1-log reduction after 3 days) and stainless steel (3.1-log reduction on plastic after 2 days) than on copper and cardboard, and viable virus was detected up to 3 days after application to these surfaces.",2020-05-12
,2020-04-30,"COVID-19 and the cardiovascular system: implications for risk assessment, diagnosis, and treatment options",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7197627/,Cardiovasc Res,,,,,Other,68,"Nineteen of them were discharged from the hospital within 2 weeks, as reported by China’s National Health Commission.","In an analysis of 68 fatal cases in Wuhan, 36 patients (53%) died of respiratory failure, 5 (7%) patients with myocardial damage died from circulatory failure, and 22 patients (33%) died from both.","SARS-CoV-2 is more stable on plastic and stainless steel than on copper and cardboard, and viable virus may be detected up to 72 h after application to these surfaces.",2020-05-12
