,Date,Study,Study Link,Journal,Method,Result,Measure of Evidence,Added on,Study Population,Sample Text,Matches,Entry
,2020-07-01,On biological evolution and environmental solutions,https://doi.org/10.1016/j.scitotenv.2020.138194,Sci Total Environ,,,,,There is a frequent use of methods and technologies originating from evolutionary biology.,"Such lineage diversity within species is rarely accounted for in typical assessments of pollutants on organisms (Relyea and Hoverman, 2006) .","Assuming that the phenotypic traits under selection are heritable, i.e.

If migration is sufficiently high and migrant genes are not selected against, gene flow will homogenize allele frequencies and reduce genetic differences in the genetic composition of populations.Genetic drift Genetic drift is the stochastic change in allele frequencies over generations.

In this way, the frequency of the ‘good’ gene variants will increase in the population, leading to evolutionary adaptation.Gene flow Gene flow is the exchange of genetic material between populations.",2020-04-10
,2020-05-05,Monitoring Proteolytic Activity in Real Time: A New World of Opportunities for Biosensors,https://doi.org/10.1016/j.tibs.2020.03.011,Trends in Biochemical Sciences,,,,,T 2 -weighted images were obtained from subcutaneously xenografted HepG2 tumors in nude mice.,"Currently, there are at least two clinical trials registered on the National Institutes of Health (NIH) ClinicalTrials.gov database involving the use of in vivo sensors to determine proteolytic activity in real time .","Programmable medicine does not consider the phenotypic and genotypic characterization, sociodemographic and environmental factors, or lifestyle of an individual and does not include disease preventive strategies.",2020-05-12
,2020-05-04,A highly pathogenic GI-19 lineage infectious bronchitis virus originated from multiple recombination events with broad tissue tropism,https://doi.org/10.1016/j.virusres.2020.198002,Virus Research,,,,," -p Tissue samples of kidneys were collected from a diseased commercial broiler flock in June 2019 in Shandong province, China.","Eleven tissue samples (tracheas, lungs, bursa of Fabricius, spleen, liver, kidneys, proventriculus, small intestines, large intestines, cecum and cecal tonsils) were collected from each of the 10 I0305/19-infected chickens and total RNA was individually extracted by using the RNAiso Plus (Takara).",It needs to be further evaluated whether these mutations can lead to phenotypic changes in the virus by reverse genetic techniques and animal challenge tests.,2020-05-12
,2020-05-04,Complexity in SARS-CoV-2 genome data: Price theory of mutant isolates,https://doi.org/10.1101/2020.05.04.077511,biorxiv,,,,,Australia Japan S. Korea Nepal Sweden Taiwan USA Wuhan .,These two mutations at positions 8781 and 28143 are highly prevalent in the USA (14 out of 16) and Japanese isolates (3 out of 4).,The changes in those local structure may induce drastic change in genome as well as phenotypic behavior of the virus isolates.,2020-05-12
,2020-05-01,Distinct Inductions of and Responses to Type I and Type III Interferons Promote Infections in Two SARS-CoV-2 Isolates,https://doi.org/10.1101/2020.04.30.071357,biorxiv,,,,,"We characterized the abilities to induce and to response to IFNβ/IFNλ1 of two or our clinical isolates, SARS-CoV-2/NTU01/TWN/human/2020 and SARS-CoV-2/NTU02/TWN/human/2020, which exhibit only two amino acid differences over the ∼30kb viral genome.","In April 2020, more than 2,000,000 cases of SARS-CoV-2-infected patients 44 have been reported in more than 185 countries around the world.","Therefore, at this point, we are not able to design any molecular 302 biological studies to elucidate whether the genotypic difference in ORF8 between the two 303 isolates might contribute to the phenotypic differences in the response to type I/III IFNs.",2020-05-12
,2020-04-28,Marked Up-Regulation of ACE2 in Hearts of Patients with Obstructive Hypertrophic Cardiomyopathy: Implications for SARS-CoV-2-Mediated COVID-19,https://doi.org/10.1016/j.mayocp.2020.04.028,Mayo Clinic Proceedings,,,,,"All patients undergoing therapeutic surgical septal myectomy for symptomatic relief of obstructive HCM between January 1, 1999 and December 31, 2010 were eligible for inclusion in this study.",Patients and Methods RNA was extracted from cardiac tissue flash frozen at therapeutic surgical septal myectomy for 106 patients with HCM and from 39 healthy donor hearts.,"Analysis by genotype revealed that gene expression changes were similar among genotypic subgroups of HCM, with only 4-6% of the transcriptome exhibiting differential expression between genotypic subgroups.",2020-05-01
,2020-04-27,A SARS-CoV-2 vaccine candidate would likely match all currently circulating strains,https://doi.org/10.1101/2020.04.27.064774,biorxiv,,,,,"We inferred the most recent common ancestors (MRCA) of SARS-CoV-2 S sequences sampled from Wuhan within the first month of the epidemic, from all currently circulating SARS-CoV-2 sequences, and from those 20 corresponding to closely related sequences sampled from pangolins (n=9) and a bat.",Mutations that were found only in one or two sequences were not represented.,"Typically, the evolution of a virus is driven by genotypic and phenotypic changes in its surface protein.",2020-05-01
,2020-04-27,Genotyping coronavirus SARS-CoV-2: Methods and implications,https://doi.org/10.1016/j.ygeno.2020.04.016,Genomics,,,,,Total 558 complete genome sequences of the SARS-CoV-2 strains from the infected individuals are retrieved from the GISAID database as,Total 558 complete genome sequences of the SARS-CoV-2 strains from the infected individuals are retrieved from the GISAID database as,The phenotype changes of these structural variants need further investigation.,2020-05-01
,2020-04-23,Augmented Curation of Unstructured Clinical Notes from a Massive EHR System Reveals Specific Phenotypic Signature of Impending COVID-19 Diagnosis,https://doi.org/10.1101/2020.04.19.20067660,medrxiv,,,,,"An observational study of 21 patients with severe COVID-19 pneumonia treated with Tocilizumab showed promising results 23, 24 .","An observational study of 21 patients with severe COVID-19 pneumonia treated with Tocilizumab showed promising results 23, 24 .",Pairwise analysis of phenotypes was performed by considering 351 phenotypic pairs from the original set of 27 individual phenotypes.,2020-05-12
,2020-04-17,Augmented Curation of Unstructured Clinical Notes from a Massive EHR System Reveals Specific Phenotypic Signature of Impending COVID-19 Diagnosis,https://doi.org/,ArXiv,,,,,"An observational study of 21 patients with severe COVID-19 pneumonia treated with Tocilizumab showed promising results 23, 24 .","An observational study of 21 patients with severe COVID-19 pneumonia treated with Tocilizumab showed promising results 23, 24 .",Pairwise analysis of phenotypes was performed by considering 351 phenotypic pairs from the original set of 27 individual phenotypes.,2020-05-01
