,Date,Study,Study Link,Journal,Study Type,Sample Size,Age,Sample obtained,Asymptomatic Transmission Rate,Characteristic Related to Question 2,Excerpt,Added On,Study Population,Sample Text,Matches,Entry
,2020-05-06,Frequency of routine testing for SARS-CoV-2 to reduce transmission among workers,https://doi.org/10.1101/2020.04.30.20087015,medrxiv,Modeling,,,,,,,,"We simulated PCR-based testing for each individual in a workforce, and varied the time intervals for testing from daily to monthly.",The results from the analytical solution were very similar to the simulation.,"The analysis assumed the proportion of asymptomatic infections was 40%, a test sensitivity of 75%, 9 asymptomatic infectious days, and 3 presymptomatic days.

We assumed infectiousness begins in the last two days of the incubation period 2 and workers self-quarantine when receiving a positive test or when symptoms occur, so that transmission between workers occurs only from asymptomatically or pre-symptomatically infectious workers.",2020-05-12
,2020-05-04,COVID-19 diagnoses in South East London peaked before the UK suggesting early measures reduced transmission,https://doi.org/10.1016/j.jinf.2020.04.043,Journal of Infection,Other,,,,,,,,"Since February 2020, data relating to COVID-19 diagnoses (positive RT-PCR) and hospitalisations to KCH were gathered prospectively.","Since February 2020, data relating to COVID-19 diagnoses (positive RT-PCR) and hospitalisations to KCH were gathered prospectively.","Following transmission, symptoms of COVID-19 may develop after an incubation period of 4-5 days.",2020-05-12
,2020-04-30,Preparing for the Perpetual Challenges of Pandemics of Coronavirus Infections with Special Focus on SARS-CoV-2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7189398/,Coronavirus Disease 2019 (COVID-19),Modeling,24,,,,,,,"Wells and coworkers in their study in Proceedings of Natural Academy of Sciences used daily incidence data of COVID-19 outbreak from China from December 8, 2019, to February 15, 2020, as well as airline network data, to predict the number of exported cases with and without measures of travel restriction and screening.",The relevance of case isolation and contact tracing are highlighted in a study by Hu and coworkers where they have performed a clinical characterization of 24 asymptomatic patients—confirming infection by a laboratory-confirmed positive for the COVID-19 virus nucleic acid from pharyngeal swab samples.,The global spread of COVID-19 was based on most cases arriving during the asymptomatic incubation period.,2020-05-12
,2020-04-29,COVID-19 data analysis and modeling in Palestine,https://doi.org/10.1101/2020.04.24.20078279,medrxiv,Modeling,11,,,,,,,"With a transmission rate equal to 4.55 106, on May 22, the simulations predict 11 014 total infected cases in the optimistic scenario and 113 171 in the worst one.","With a transmission rate equal to 4.55 106, on May 22, the simulations predict 11 014 total infected cases in the optimistic scenario and 113 171 in the worst one.",Assume that infected individuals were not infectious during the incubation period .,2020-05-12
,2020-04-29,The role of asymptomatic SARS-CoV-2 infections: rapid living systematic review and meta-analysis,https://doi.org/10.1101/2020.04.25.20079103,medrxiv,Systematic review,2,,,,,,,"We searched the living evidence database at the University of Bern Institute of Social and Preventive Medicine (ISPM) ( which includes daily updates of searches of four electronic databases: Medline-Pubmed, Embase, bioRxiv and medRxiv, for articles with medical subject headings and keywords for SARS-CoV-2 infection and COVID-19.","In two studies, most patients developed symptoms, 15 26 including 43 of 55 patients in Shenzhen, which was the only study in which patients were followed up until clearance of SARS-CoV-2, measured by repeated negative RT-PCR test results.","A generation period shorter than the incubation period of the infector indicates pre-symptomatic transmission.

Quarantine of close contacts is also essential to prevent onward transmission during asymptomatic or pre-symptomatic periods of those that have become infected.",2020-05-12
,2020-04-28,Dataset on the COVID-19 Pandemic Situation in Tunisia with application to SIR Model,https://doi.org/10.1101/2020.04.23.20076802,medrxiv,Modeling,,,,,,,,"The data of COVID-19 in Tunisia from March 02, 2020 to April 19, 2020 were collected from the website of three official sources: the National Observatory of New and Emerging Diseases of the Tunisian Ministry of Health , the Coronavirus Worldometer , and the World Health Organization (WHO) .","total infected cases, total deaths, and total recovery 02, 2020 to April 19, 2020.",The incubation period of the virus is estimated to be between 2 and 14 days but longer incubation are reported.,2020-05-12
,2020-04-28,A simple model for COVID-19,https://doi.org/10.1016/j.idm.2020.04.002,Infectious Disease Modelling,Modeling,547,,,,,,,"Extracting L 2 (t, t 0 = 0, u) from this solution, we compute","For illustration, take the situation of cumulative confirmed cases counts in China as reported to WHO, which was of 547 cases on 22 January 2020.","Furthermore, because the time horizon for simulations is very short in comparison to reported estimates of incubation period and communicable period , making a more appropriate description of sojourn times in the incubation, symptomatically infectious and asymptomatically infectious compartments is important.

The model incorporates an Erlang distribution of times of sojourn in incubating, symptomatically and asymptomatically infectious compartments.",2020-05-01
,2020-04-27,Clinical and imaging features of COVID-19,https://doi.org/10.1016/j.jrid.2020.04.003,Radiology of Infectious Diseases,Other,①,,,,,,,"Therefore, based on the observation of existing cases and combined with clinical experience, we recommend the following CT examination time window: ① Newly diagnosed patients with typical clinical manifestations and positive nucleic acid tests, with a negative chest CT scan at the initial diagnosis, and a review of chest CT scan within 3e5 days; ② Clinical diagnosis cases with atypical clinical manifestations and viral pneumonia characteristics.","Therefore, based on the observation of existing cases and combined with clinical experience, we recommend the following CT examination time window: ① Newly diagnosed patients with typical clinical manifestations and positive nucleic acid tests, with a negative chest CT scan at the initial diagnosis, and a review of chest CT scan within 3e5 days; ② Clinical diagnosis cases with atypical clinical manifestations and viral pneumonia characteristics.",Patients with asymptomatic infection (incubation period) can also be a source of infection.,2020-05-01
,2020-04-23,The risk of SARS-CoV-2 transmission in the healthcare setting and potential impact of cohorting strategies,https://doi.org/10.1101/2020.04.20.20073080,medrxiv,Other,,,,,,,, We have neglected HCWs transmission from interactions with those involved in the COVID-19 cohort or other non-COVID-19 cohorts.,• a force of infection from their patients.,"We assume that the average transmission rate in asymptomatic infection is the same as that in pre-symptomatic infection, that is, λ A = λ 1 .",2020-05-01
,2020-04-22,"Innate immunity in COVID-19 patients mediated by NKG2A receptors, and potential treatment using Monalizumab, Cholroquine, and antiviral agents",https://doi.org/10.1016/j.mehy.2020.109777,Med Hypotheses,Other,2,,,,,,,"Monalizumab is an inhibiting antibody against NKG2A which can restore the function of CD8 + T and NK cells in cancers, successfully ceasing tumor progression with no significant side effects in Phase 2 clinical trials.","Monalizumab is an inhibiting antibody against NKG2A which can restore the function of CD8 + T and NK cells in cancers, successfully ceasing tumor progression with no significant side effects in Phase 2 clinical trials.","The virus has an asymptomatic incubation period of 2–14 days, during which transmission could occur .",2020-05-12
