,Date,Study,Study Link,Journal,Study Type,Factors,Influential,Excerpt,Measure of Evidence,Added on
0,2020-04-27,Proactive social distancing mitigates COVID-19 outbreaks within a month across 58 mainland China cities,https://www.medrxiv.org/content/10.1101/2020.04.22.20075762v2.full.pdf,MedRxiv,Modeling Study,gathering bans; suspension of intra-city public transport; public service restrictions; case isolation; suspension of travel between cities; quarantine and social distancing,Y,"N/A; after the implementation of social distancing interventions, with an average reduction in the reproduction number (Rt) of 54.3% (SD 17.6%) over that time period","Countries: China; Timeline:  February 14, 2020",05/11/2020
1,2020-04-22,Impact of Social Distancing Measures on COVID-19 Healthcare Demand in Central Texas,https://www.medrxiv.org/content/10.1101/2020.04.16.20068403v1,MedRxiv,Modeling Study,school closures coupled with social distancing,Y,"ICU bed demand: 2,121 (95% CI: 2,018-2,208); ICU bed demand: 698 (95% CI: 204-1,100) with 75% social distancing and 136 (95% CI: 38-308) with 90% social distancing","Countries: Texas, United States; Timeline: August 15th, 2020",05/11/2020
2,2020-04-14,A Stratified Model to Quantify the Effects of Containment Policies on the Spread of COVID-19,https://doi.org/10.1101/2020.04.10.20060681,medRxiv,Modeling Study,"schools and universities closed + elderly social distancing: interactions of [0-20] age groups decreases to 20%, interactions of 70+ age groups decreases to 25%",Y,uncontained: eventual removed ratio 65.29%; maximum instantaneous infectious ratio 11.03%; R0 2.28; schools closed and elderly social distancing: eventual removed ratio 39.08%; maximum instantaneous infectious ratio 5.60%; R0 1.68,Countries: Iran Timeline: first 90 days COVID-19 spread,04/19/2020
3,2020-04-14,A Stratified Model to Quantify the Effects of Containment Policies on the Spread of COVID-19,https://doi.org/10.1101/2020.04.10.20060681,medRxiv,Modeling Study,"schools, offices, and companies closed : interactions of [0-20] age groups decreases to 20% and interactions of [20-70] age range decreases to 50%",Y,"uncontained: eventual removed ratio 65.29%; maximum instantaneous infectious ratio 11.03%; R0 2.28; schools, offices, and companies closed: eventual removed ratio 24.97%; maximum instantaneous infectious ratio 3.98%; R0 1.49",Countries: Iran Timeline: first 90 days COVID-19 spread,04/19/2020
4,2020-04-06,Sustainable social distancing through facemask use and testing during the Covid-19 pandemic,https://www.medrxiv.org/content/10.1101/2020.04.01.20049981v3,medRxiv,Modeling Study,"social protection (e.g., facemask use, handwashing) and self-isolation after testing positive (TTI)",Y,"R0 has been estimated at 2.4; 65% effective social protection R < 1; , 20% effective social protection brings the reproduction number below 1.0 so long as 75% of the symptomatic population is covered by TTI within 12 hours of symptom onset (Fig. 1A and Appendix). Even with 20% effective social protection, TTI of 1 in 4 symptomatic individuals can substantially “flatten the curve”, cutting the peak daily incidence in half",individuals : 10000000; Timeline: Unknown,04/15/2020
5,2020-03-30,"General Model for COVID-19 Spreading with Consideration of Intercity Migration, Insufficient Testing and Active Intervention: Application to Study of Pandemic Progression in Japan and USA",https://doi.org/10.1101/2020.03.25.20043380,medRxiv,Modeling Study,intercity travel and active intervention,Y,"if the level of active intervention is kept unchanged, the percentage of population eventually infected in Osaka-fu and Tokyo-to will reach around 12% and 4.2% of the population (around 2,300,000 and 600,000 people), respectively, and in total, Japan will have about 6.55% of its population eventually infected, if the level of active intervention remains at the status quo in the coming months, with California and New York state having around 15% and 37.5% of their population (5,800,000 and 7,300,000 people) eventually infected, respectively, and the overall infected population will reach 18.2%; implementing a four-fold elevated active intervention will improve the situation substantially, with the percentage of population infected in Osaka-fu and Tokyo-to reduced to 4.2% and 2.3%, respectively, and over 75% reduction in the overall number of infected cases in Japan, by implementing four-fold elevated active intervention, the percentage of infected population in the USA can be reduced to 9.3%.","Countries: Japan, USA; Timeline: Jan 15th - March 20th",04/11/2020
6,2020-03-25,"The effect of control strategies to reduce social mixing on outcomes of the COVID-19 epidemic in Wuhan, China: a modelling study The Lancet Public Health",https://doi.org/10.1016/S2468-2667(20)30073-6,Lancet Pub Health,Modeling Study,physical distancing measures with staggered return to work,Y,N/A; Physical distancing measures were most effective if the staggered return to work was at the beginning of April; this reduced the median number of infections by more than 92% (IQR 66–97) and 24% (13–90) in mid-2020 and end-2020,countries: China; cities: Wuhan; timeline: 1 year,04/10/2020
7,2020-03-23,Interventions to mitigate early spread of SARS-CoV-2 in Singapore: a modelling study The Lancet Infectious Diseases,https://www.thelancet.com/journals/lancet/article/PIIS1473-3099(20)30162-6/fulltext,Lancet Infect Dis,Modeling Study,school closures; case isolation; workplace non-attendance; community contact reduction,Y,"For the baseline scenario, when R0 was 1·5, the median cumulative number of infections at day 80 was 279 000 (IQR 245 000–320 000), corresponding to 7·4% (IQR 6·5–8·5) of the resident population of Singapore. The median number of infections increased with higher infectivity: 727 000 cases (670 000–776 000) when R0 was 2·0, corresponding to 19·3% (17·8–20·6) of the Singaporean population, and 1 207 000 cases (1 164 000–1 249 000) when R0 was 2·5, corresponding to 32% (30·9–33·1) of the Singaporean population; Compared with the baseline scenario, the combined intervention was the most effective, reducing the estimated median number of infections by 99·3% (IQR 92·6–99·9) when R0 was 1·5, by 93·0% (81·5–99·7) when R0 was 2·0, and by 78·2% (59·0 −94·4) when R0 was 2·5. Assuming increasing asymptomatic fractions up to 50·0%, up to 277 000 infections were estimated to occur at day 80 with the combined intervention relative to 1800 for the baseline at R0 of 1·5.",Countries: Singapore; Timeline: Day 80,04/08/2020
8,2020-03-23,Effectiveness and cost-effectiveness of public health measures to control COVID-19: a modelling study,https://doi.org/10.1101/2020.03.20.20039644,medRxiv,Modeling Study,school closures; case isolation; workplace non-attendance; community contact reduction,Y,"N/A; The effective reproduction number (Re) was 1.84 (95%CI: 1.81, 1.87) and 3.80 (95%CI: 3.53, 4.06) respectively when the transmission constant was one in scenario I and II (Additional file 1: Table S4). Varying the transmission constant from the 0.25 to two, the isolation-and-quarantine was the most cost-effective single intervention, and program A was the most cost-effective joint intervention.",-,04/08/2020
9,2020-03-23,The Effectiveness of Social Distancing in Mitigating COVID-19 Spread: a modelling analysis,https://doi.org/10.1101/2020.03.20.20040055,medRxiv,Modeling Study,school closures; case isolation; workplace non-attendance; community contact reduction,Y,"66% infection rate (179,788 infected individuals) - no activation delay, SC = school closure , CI = case isolation, WN = workplace non-attendance , CCR = community contact reduction ; ""SC + CI + 50% WN + 30% CCR: 1.14% IR (3,094), SC + CI + 90% WN + 70% CCR: 0.42% IR (1,131) """,Countries: Australia; cities: Newcastle; Timeline: 10 weeks,04/08/2020
