,Date,Study,Study Link,Journal,Study Type,Factors,Influential,Excerpt,Measure of Evidence,Added on,Sample,Sample Text,Matches,Entry
,2020-08-15,"Lockdown, one, two, none, or smart. Modeling containing covid-19 infection. A conceptual model",https://doi.org/10.1016/j.scitotenv.2020.138917,Science of The Total Environment,Modeling,,,,,,,,"For all initial quarantines, isolation effectiveness of 90% was considered, that is, they reduce contacts by this percentage.",2020-05-12
,2020-06-30,"Evaluation and prediction of the COVID-19 variations at different input population and quarantine strategies, a case study in Guangdong province, China",https://doi.org/10.1016/j.ijid.2020.04.010,International Journal of Infectious Diseases,Case series,,,,,,,"Scenarios results of quarantine rates impacting on the cumuletive confirmed COVID-19 cases at four time points: (A) t 1 = 10, (B) t 1 = 20, (C) t 1 = 28 and (D) t 1 = 38 corresponding to Feb 6, 2020, Feb 16, 2020, Feb 24, 2020 and Mar 5, 2020.","We assume that exposed individuals E(t) and quarantined exposed individuals E q (t) are transmitted to infectious individuals I(t) and quarantined infectious individuals I q (t) with the same transition rate of n. The quarantined rates of exposed individuals E(t) and infectious individuals I(t) are q 1 (t) and q 3 .

In this study, according to the characteristics of the COVID-19 transmission, the whole population at time t is divided into seven compartments which include the susceptible individuals S(t), exposed individuals E(t), infectious individuals I(t), removed individuals R(t), quarantined susceptible individuals S q (t), quarantined exposed individuals E q (t) and quarantined infectious individuals I q (t).",2020-05-12
,2020-05-31,Coronavirus disease 2019 (COVID-19): A literature review,https://doi.org/10.1016/j.jiph.2020.03.019,Journal of Infection and Public Health,Other,,,,,,425.0,"In a study of 425 COVID-19 patients in Wuhan, published on January 29, there were no cases in children under 15 years of age .","For example, immediate actions taken by Chinese health authorities included isolating the infected people and quarantining of suspected people and their close contacts .",2020-05-12
,2020-05-04,A stochastic epidemic model of COVID-19 disease,https://doi.org/,ArXiv,Modeling,,,,,,30.0,If we consider an immunity of the 90% only in 8 of the 30 trials there have been infected people with a maximum of 12 individuals infected and no one deceased.,In this case the quarantine is effective.,2020-05-12
,2020-05-02,Using different epidemiological models to modeling the epidemic dynamics in Brazil,https://doi.org/10.1101/2020.04.29.20085100,medrxiv,Modeling,,,,,,,"For more detail of this model, we suggest (Zhao & Chen, 2020) 3.","In this model, S= S(t) is the number of susceptible individuals with no resistance to disease in the population; U=U(t), is the number of infected and un-quarantined individuals that can be either presymptomatic or symptomatic; Q=Q(t), is the number of quarantined infected individuals.",2020-05-12
,2020-04-30,COVID-19 Control Strategies and Intervention Effects in Resource Limited Settings: A Modeling Study,https://doi.org/10.1101/2020.04.26.20079673,medrxiv,Modeling,,,,,,185.0,"46, 47 We overcame this limitation by assuming that there already were about 185 infected individuals and that local transmission was under way when we began our model simulation.","and ξ J are infectiousness factors for individuals in isolation and quarantine respectively, which we ξ Q estimate at 0·15 and 0·30 based on the extent to which their contact with susceptible individuals is reduced.",2020-05-12
,2020-04-30,Early analysis of the Australian COVID-19 epidemic,https://doi.org/10.1101/2020.04.25.20080127,medrxiv,Modeling,,,,,,6533.0,"As of 18 April 2020, there had been 6,533 confirmed cases of COVID-19 in Australia.","These measures were in addition to case targeted interventions, specifically case isolation and quarantine of their contacts.",2020-05-12
,2020-04-29,"Effectiveness of isolation, testing, contact tracing and physical distancing on reducing transmission of SARS-CoV-2 in different settings",https://doi.org/10.1101/2020.04.23.20077024,medrxiv,Modeling,,,,,,269.0,"For 269 cases with known date of onset and confirmation in Singapore, of those who were confirmed within 5 days, 2% were confirmed on date of onset, 26% on second day, 27% on 3rd day, 14% on 4th day and 31% on 5th day (41) .","In this example, two infected contacts pre-isolation are successfully traced and quarantined (i.e.",2020-05-12
,2020-04-29,"The United Kingdom’s Coronavirus Act, Deprivations of Liberty, and The Right to Liberty and Security of the Person",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7197562/,J Law Biosci,Other,,,,,,,"32 Ibid., Schedule 21, s7.","Such measures have included the closure of businesses, travel restrictions, isolation of confirmed cases, and the quarantine of individuals who have been exposed to the virus.",2020-05-12
,2020-04-28,Strong correlations between power-law growth of COVID-19 in four continents and the inefficiency of soft quarantine strategies,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7192349/,Chaos,Modeling,,,,,,3.4,"Very high asymptotic values of infected individuals are reached, 3.4×107 cases for Brazil and 5.9×107 cases for USA.","8, In this case, quarantine means the identification and isolation of infected individuals.

Our SEIR model takes into account the isolation of infected individuals.8,21–23 In this case, quarantine means the identification and isolation of infected individuals.",2020-05-12
