,Date,Study,Study Link,Journal,Study Type,Factors,Influential,Excerpt,Measure of Evidence,Added on
0,2020-04-29,Detection and isolation of asymptomatic individuals can make the difference in COVID-19 epidemic management medrxiv,https://www.medrxiv.org/content/10.1101/2020.04.23.20077255v1.full.pdf,medRxiv,Modeling Study,reduction in traveling between communities within the Mendoza province,Y,N/A; outbreak reached the West with a 17-day lag (Ro=4) and a 42-day delay (Ro=2) when traveling between communities was reduced to a tenth,Countries: Argentina cities: Mendoza; Timeline: none,5/11/20
1,2020-04-15,Household Secondary Attack Rate of COVID-19 and Associated Determinants,https://doi.org/10.1101/2020.04.11.20056010,medRxiv,Modeling Study,case isolation/quarantine's effect on close contacts,Y,"a COVID-19 case infected 0.48 (95% CI: 0.39-0.58) close contacts; had isolation not been implemented, this number increases to 0.62 (95% CI: 0.51-0.75)",Countries: China cities: Guangzhou; Timeline: Feb 17th 2020,4/19/20
2,2020-04-07,A hybrid multi-scale model of COVID-19 transmission dynamics to assess the potential of non-pharmaceutical interventions,https://doi.org/10.1101/2020.04.05.20054460,medRxiv,Modeling Study,case isolation/isolation of exposed individuals (i.e. quarantine) to prevent secondary transmission in health care and community settings,Y,"The model predicts that, in the absence of any control intervention, the disease will infect 98.4 % of the system population by the of the simulation time. The model predicts that the case fatality rate (CFR) is 6.5%.; If 80% of the population stayed home, there would be an infection rate of 30%",Countries: Italy; Timeline: March 30th 2020,4/15/20
3,2020-03-31,COVID-19 infection and recovery in various countries: Modeling the dynamics and evaluating the non-pharmaceutical mitigation scenarios,https://arxiv.org/abs/2003.13901,ARxiv,Modeling Study,attempted quarantine (forced quarantine for infected individuals before the outbreak),Y,"No quarantine: total number of infected people 9,336; Attempted quarantine: total number of infected people 9,322",Countries: unknown; Timeline: Unknown,5/3/20
4,2020-03-30,Symptom-Based Isolation Policies: Evidence from a Mathematical Model of Outbreaks of Influenze and COVID-19,https://doi.org/10.1101/2020.03.26.20044750,medRxiv,Modeling Study,symptom based isolation,Y,50% of the cases detect fever: no isolation: attack rate is 79% (IQR: 56-90%); one day post-fever isolation reduces attack rate to 71% (IQR: 43-86%),-,5/3/20
5,2020-03-23,Interventions to mitigate early spread of SARS-CoV-2 in Singapore: a modelling study,https://doi.org/10.1016/S1473-3099(20)30162-6,Lancet Infect Dis,Modeling Study,isolation measures for infected individuals and quarantining of family members,Y,"R0 = 1.5 270,000 people infected (7.4% population); The combined intervention decreased the median cumulative infection count on day 80 to 1800 (200–23 000; table; appendix p 9), representing a 99·3% (IQR 92·6–99·9) reduction from the baseline scenario",Countries: Singapore; Timeline: 80 days,4/8/20
6,2020-03-23,Effectiveness and cost-effectiveness of public health measures to control COVID-19: a modelling study,https://doi.org/10.1101/2020.03.20.20039644,medRxiv,Modeling Study,isolation of infected cases and quarantine of humans exposed to the cases,Y,"N/A; The effective reproduction number (Re) was 1.84 (95%CI: 1.81, 1.87) and 3.80 (95%CI: 3.53, 4.06) respectively when the transmission constant was one in scenario I and II (Additional file 1: Table S4). Varying the transmission constant from the 0.25 to two, the isolation-and-quarantine was the most cost-effective single intervention, and program A was the most cost-effective joint intervention.",-,4/8/20
7,2020-03-23,The Effectiveness of Social Distancing in Mitigating COVID-19 Spread: a modelling analysis medrxiv,https://doi.org/10.1101/2020.03.20.20040055,medRxiv,Modeling Study,increased case isolation,Y,"66% infection rate (179,788 infected individuals) - no activation delay; With no significant activation delay, the most effective single measure is the 70% reduction in community-wide contact. This reduces the infection attack rate to approximately a third, from 180,000 to 64,000 (Table 3) and from 66% of the population down to 24%",Countries: Australia; cities: Newcastle; Timeline: 10 weeks,4/8/20
8,2020-03-18,Is a 14-day quarantine period optimal for effectively controlling coronavirus disease 2019 (COVID-19)?,https://doi.org/10.1101/2020.03.15.20036533,medRxiv,Respective Cohort Analysis,effectiveness of a 14 day quarantine period,Y,N/A ;88.5% effective in reducing infected cases,"Countries: 2015 confirmed labratory cases; Timeline: Jan. 1, 2020 - Feb. 25, 2020",4/15/20
9,2020-03-18,Is a 14-day quarantine period optimal for effectively controlling coronavirus disease 2019 (COVID-19)?,https://doi.org/10.1101/2020.03.15.20036533,medRxiv,Respective Cohort Analysis,effectiveness of a 14 day quarantine period,Y,17 day quarantine; 94.8% effective,,
10,2020-03-18,Is a 14-day quarantine period optimal for effectively controlling coronavirus disease 2019 (COVID-19)?,https://doi.org/10.1101/2020.03.15.20036533,medRxiv,Respective Cohort Analysis,effectiveness of a 14 day quarantine period,Y,18 day quarantine; 96.2% effective,,
11,2020-03-18,Is a 14-day quarantine period optimal for effectively controlling coronavirus disease 2019 (COVID-19)?,https://doi.org/10.1101/2020.03.15.20036533,medRxiv,Respective Cohort Analysis,effectiveness of a 14 day quarantine period,Y,21 day quarantine; 98.3% effective,,
12,2020-03-18,Is a 14-day quarantine period optimal for effectively controlling coronavirus disease 2019 (COVID-19)?,https://doi.org/10.1101/2020.03.15.20036533,medRxiv,Respective Cohort Analysis,effectiveness of a 14 day quarantine period,Y,"70% quarantined rate; Peak date: Feb 19th with 59,953 individuals confirmed",,
13,2020-03-18,Is a 14-day quarantine period optimal for effectively controlling coronavirus disease 2019 (COVID-19)?,https://doi.org/10.1101/2020.03.15.20036533,medRxiv,Respective Cohort Analysis,effectiveness of a 14 day quarantine period,Y,"63% quarantined rate; Peak date: Feb 20th with 64,740 individuals confirmed",,
14,2020-03-11,Modeling the epidemic dynamics and control of COVID-19 outbreak in China,https://doi.org/10.1007/s40484-020-0199-0,Quantitative Biology,Modeling Study,strict quarantine and traffic control measures,Y,Reproductive number before quarantine = 4.7092; Reproductive number after quarantine = 0.7575,Countries: China cities: Wuhan; Timeline: Jan 30th - Feb 15th 2020,4/11/20
15,2020-03-11,Modeling the epidemic dynamics and control of COVID-19 outbreak in China,https://doi.org/10.1007/s40484-020-0199-0,Quantitative Biology,Modeling Study,strict quarantine and traffic control measures,Y,Reproductive number before quarantine =  5.934; Reproductive number after quarantine = 0.6079,"Countries: China Hubei (excluding Wuhan), China; Timeline: Jan 30th - Feb 15th 2020",
16,2020-03-11,Modeling the epidemic dynamics and control of COVID-19 outbreak in China,https://doi.org/10.1007/s40484-020-0199-0,Quantitative Biology,Modeling Study,strict quarantine and traffic control measures,Y,Reproductive number before quarantine =  1.5283; Reproductive number after quarantine = 0.5753,Countries: China mainland (excluding Hubei); Timeline: Jan 30th - Feb 15th 2020,
17,2020-03-11,Modeling the epidemic dynamics and control of COVID-19 outbreak in China,https://doi.org/10.1007/s40484-020-0199-0,Quantitative Biology,Modeling Study,strict quarantine and traffic control measures,Y,Reproductive number before quarantine =  0.884; Reproductive number after quarantine = 0.5254,Countries: China cities: Beijing; Timeline: Jan 30th - Feb 15th 2020,
18,2020-03-11,Modeling the epidemic dynamics and control of COVID-19 outbreak in China,https://doi.org/10.1007/s40484-020-0199-0,Quantitative Biology,Modeling Study,strict quarantine and traffic control measures,Y,Reproductive number before quarantine =  3.6288; Reproductive number after quarantine =  0.5104,Countries: China cities: Shanghai; Timeline: Jan 30th - Feb 15th 2020,
19,2020-03-11,Modeling the epidemic dynamics and control of COVID-19 outbreak in China,https://doi.org/10.1007/s40484-020-0199-0,Quantitative Biology,Modeling Study,strict quarantine and traffic control measures,Y,Reproductive number before quarantine = 1.2026; Reproductive number after quarantine = 0.5082,Countries: China cities: Guangzhou; Timeline: Jan 30th - Feb 15th 2020,
20,2020-03-11,Modeling the epidemic dynamics and control of COVID-19 outbreak in China,https://doi.org/10.1007/s40484-020-0199-0,Quantitative Biology,Modeling Study,strict quarantine and traffic control measures,Y,Reproductive number before quarantine =  5.934; Reproductive number after quarantine = 0.5331,Countries: China cities: Shenzhen; Timeline: Jan 30th - Feb 15th 2020,
21,2020-03-06,Effect of non-pharmaceutical interventions for containing the COVID-19 outbreak in China,https://doi.org/10.1101/2020.03.03.20029843,medRxiv,Modeling Study,early detection and isolation of cases,Y,"114,325 COVID-19 cases ( [IQR] 76,776 - 164,576); Without early detection and isolation, the number of COVID-19 cases would likely have shown a 5.0-fold increase (IQR: 3.3 - 7.1)","Countries: China; Timeline: Feb 29th, 2020",4/8/20
22,2020-02-28,Feasibility of controlling COVID-19 outbreaks by isolation of cases and contacts,https://doi.org/10.1016/S2214-109X(20)30074-7,Lancet Glob Health,Modeling Study,isolation of cases and contact tracing,Y,Reproduction number 2.5; 80% of contacts traced and isolated necessary for control of 90% of outbreaks,-,5/3/20
