,Date,Study,Study Link,Journal,Study Type,Factors,Influential,Excerpt,Measure of Evidence,Added on
0,2020-04-29,Detection and isolation of asymptomatic individuals can make the difference in COVID-19 epidemic management,https://doi.org/10.1101/2020.04.23.20077255,medRxiv,Modeling Study,reduction in traveling between communities within the Mendoza province,Y,outbreak reached the West with a 17-day lag (Ro=4) and a 42-day delay (Ro=2) when traveling between communities was reduced to a tenth,Countries: Argentina cities: Mendoza; Timeline: none,05/11/2020
1,2020-04-24,COVID-19 pandemic scenario in India compared to China and rest of the world: a data driven and model analysis medrxiv,https://www.medrxiv.org/content/10.1101/2020.04.20.20072744v1.full.pdf,MedRxiv,Modeling Study,21-day lockdown,Y,"112,042 case estimates in absence of lockdown; 24,431 COVID-19 infected cases with lockdown is (78% lower)","Countries India; Timeline: April 9, 2020.",05/11/2020
2,2020-04-21,Estimating the impact of non-pharmaceutical interventions on documented infections with COVID-19: A cross-country analysis,https://www.medrxiv.org/content/10.1101/2020.04.16.20062141v1.full.pdf,MedRxiv,Modeling Study,closure of national borders for individuals,Y,border closures (31 %; 95% CI 19-42 %) reduction in the number of new cases,"Countries: United States, Canada, Australia, the EU-15 countries, Norway, and Switzerland; Timeline:  April 15, 2020",05/11/2020
3,2020-04-14,A Stratified Model to Quantify the Effects of Containment Policies on the Spread of COVID-19,https://doi.org/10.1101/2020.04.10.20060681,medRxiv,Modeling Study,lock-down: interactions of all individuals reduced to 10%,Y,uncontained: eventual removed ratio 65.29%; maximum instantaneous infectious ratio 11.03%; R0 2.28; Lock-down: eventual removed ratio 7.90%; maximum instantaneous infectious ratio 3.72%; R0 0.23,Countries: Iran Timeline: first 90 days COVID-19 spread,04/19/2020
4,2020-03-20,"Extended SIR prediction of the epidemics trend of COVID-19 in Italy and compared with Hunan, China",https://doi.org/10.1101/2020.03.18.20038570,medRxiv,Modeling Study,country blockade,Y,There would 27 be totally 30 086 infected cases (95%CI:7920-81 869) under the current country blockade and the 28 endpoint would be Apr 25 (95%CI: Mar 30 to Aug 07) in Italy; 5 day delay in country blockade would expand total infected cases 1.50 times,"Countries: Italy; Timeline: Jan 22, 2020 to Mar 16, 2020",05/03/2020
5,2020-03-12,"Revealing the influence of national public health policies for the outbreak of the SARS-CoV-2 epidemic in Wuhan, China through status dynamic modeling",https://doi.org/10.1101/2020.03.10.20032995,medRxiv,Modeling Study,lockdown,Y,"There had already been 4,153 infected people and 6,536 exposed ones with the basic reproduction number of 2.65 before lockdown; , whereas  dropped to 1.98 for the first 30 days after the lockdown. The peak point is Feb. 17th, 2020 with 24,115 infected people and the end point is Jun. 17th, 2020. In t","Countries: China cities: Wuhan; Timeline: Jan. 27th, 2020 - Feb. 2nd, 2020",04/11/2020
6,2020-03-06,Effect of non-pharmaceutical interventions for containing the COVID-19 outbreak in China,https://doi.org/10.1101/2020.03.03.20029843,medRxiv,Modeling Study,inter-city travel restriction,Y,"114,325 COVID-19 cases ( [IQR] 76,776 - 164,576); Without inner-city contact reduction, the number of COVID-19 cases would likely have shown a 1.0-fold increase (IQR: 0.6 - 1.4)","Countries: China; Timeline: Feb 29th, 2020",04/08/2020
7,2020-02-24,"Lessons learnt from 288 COVID-19 international cases: importations over time, effect of interventions, underdetection of imported cases",https://www.medrxiv.org/content/10.1101/2020.02.24.20027326v1,medRxiv,Modeling Study,travel ban,Y,"The model predicted a rapid exponential growth of importations from Hubei, with a growth rate = 0.26 [95% CI 0.21, 0.31], corresponding to a doubling time of 2.8 days; After the implementation of travel restrictions, a negative growth rate was estimated, signaling a decline in imported cases. The decline was sharp for Hubei (growth rate = -0.64 [-0.85, -0.48]) and more gradual for the rest of China (growth rate = -0.19 [-0.54, 0.00])","Countries: China; Timeline: Jan 3 to Feb 13, 2020",04/30/2020
8,2020-02-20,Estimation of the epidemic properties of the 2019 novel coronavirus: A mathematical modeling study,https://doi.org/10.1101/2020.02.18.20024315,medRxiv,Modeling Study,city closure,Y,Before the closure of Wuhan city the basic reproduction number of COVID-19 was 4.38 (95% CI: 3.63 – 5.13); dropping to 3.41 (95% CI: 3.16 – 3.65) after the closure of Wuhan city,Countries: China; cities: Wuhan; Timeline: 10th January to 23rd January (preclosure) and 23rd January to 8th February (after closure),05/03/2020
9,2020-02-17,Estimating the Efficacy of Traffic Blockage and Quarantine for the Epidemic Caused by 2019-nCoV (COVID-19),https://www.medrxiv.org/content/10.1101/2020.02.14.20022913v3,medRxiv,Modeling Study,traffic blockage,Y,"current Hubei traffic blockage factor (HTbF)  0.66, current outside Hubei traffic blockage factor (oHTbF) 0.26; ""HTbF increased by 0.01 peak infections decrease by 2.14%, oHTbF increased by 0.01 peak infections decrease by 4.01%, total traffic blockage - 21.06% - 22.39% decrease in peak value """,Countries: China; Timeline: Unknown,04/08/2020
