,Date,Study,Study Link,Journal,Results,Measure of Evidence Strength,Study Type,Sample (n)
0,2020-04-01,"Guidance for Cardiac Electrophysiology During the Coronavirus (COVID-19) Pandemic from the Heart Rhythm Society COVID-19 Task Force; Electrophysiology Section of the American College of Cardiology; and the Electrocardiography and Arrhythmias Committee of the Council on Clinical Cardiology, American Heart Association",https://doi.org/10.1016/j.hrthm.2020.03.028,Heart Rhythm,"In patients with suspected COVID-19 infection, it is recommended that PPE be donned by all clinicians and health care providers. This includes a face mask, protective eyewear, gown and gloves",,Retrospective Cohort,
1,2020-04-01,AGA Institute Rapid Recommendations for Gastrointestinal Procedures During the COVID-19 Pandemic,https://doi.org/10.1053/j.gastro.2020.03.072,Gastroenterology,there was a strong association between use of N95 respirators (compared to no masks) and protection from SARS infection in health care workers,,Prospective Cohort,
2,2020-04-01,Novel Coronavirus International Public Health Emergency: Guidance on Radiation Oncology Facility Operation,https://doi.org/10.1016/j.adro.2020.03.008,Advances in Radiation Oncology,Personnel protection measures are employed including personal protection equipment against the spread of droplets and aerosols.,,Unknown Design,
3,2020-03-31,Beyond the assistance: additional exposure situations to COVID-19 for healthcare workers,https://doi.org/10.1016/j.jhin.2020.03.033,Journal of Hospital Infection,"WHO has recommended that HCWs should use proper personal protective equipment (PPE), such as medical masks, gowns, gloves and eye protection .",,Unknown Design,
4,2020-03-31,Creating a Palliative Care Inpatient Response Plan for COVID19 – The UW Medicine Experience,https://doi.org/10.1016/j.jpainsymman.2020.03.025,Journal of Pain and Symptom Management,"A second consideration was the implementation of Personal Protective Equipment (PPE) preservation, which has been a core strategy to maintain healthcare worker safety.",,Retrospective Cohort,
5,2020-03-31,How to protect the protectors: 10 lessons to learn for doctors fighting the COVID-19 Coronavirus,https://doi.org/10.1016/j.mjafi.2020.03.009,Medical Journal Armed Forces India,"The HCWs involved in patient care should use a N-95 mask, eye protection (goggles) or face shield to prevent contamination of mucus membranes, clean non sterile long sleeved gown and gloves.",,Retrospective Cohort,
6,2020-03-28,"Spinal anaesthesia for patients with coronavirus disease 2019 and possible transmission rates in anaesthetists: retrospective, single-centre, observational cohort study",https://doi.org/10.1016/j.bja.2020.03.007,British Journal of Anaesthesia,Level 3 personal protective equipment appears to reduce the risk of transmission to anaesthetists who are exposed to mildly symptomatic surgical patients.,,Retrospective Cohort,
7,2020-03-27,UV Sterilization of Personal Protective Equipment with Idle Laboratory Biosafety Cabinets During the Covid-19 Pandemic,https://doi.org/10.1101/2020.03.25.20043489,medrxiv,"Personal protective equipment (PPE), including surgical masks and N95 respirators, is crucially important to the safety of both patients and medical personnel, particularly in the event of infectious pandemics.",,Retrospective Cohort,
8,2020-03-27,COVID-19 in Canada: Predictions for the future and control lessons from Asia,https://doi.org/10.1101/2020.03.21.20040667,medrxiv,"The ubiquitous use of face masks, at least in healthcare settings is a rapid adoption NPI which can have major impacts on COVID-19 related morbidity and mortality in Canada and elsewhere.",,Retrospective Cohort,
9,2020-03-26,Guidelines for preventing respiratory illness in older adults aged 60 years and above living in long-term care: A rapid review of clinical practice guidelines,https://doi.org/10.1101/2020.03.19.20039180,medrxiv,"The most commonly recommended prevention strategies across the clinical practice guidelines were hand hygiene, wearing personal protective equipment, social distancing/isolation, disinfecting surfaces, droplet precautions, surveillance and evaluation, conducting diagnostic testing to confirm suspected respiratory illness, policies and procedures for visitors, policies and procedures for staff, and respiratory hygiene/cough etiquette.",,Prospective Cohort,
10,2020-03-26,Preventing respiratory illness in older adults aged 60 years and above living in long-term care: A rapid overview of reviews,https://doi.org/10.1101/2020.03.19.20039081,medrxiv,One moderate quality SR with meta-analysis found a moderate non-statistically significant effect in favour of personal protective equipment (PPE) in preventing infection.,,Systematic Review,
11,2020-03-26,Working through the COVID-19 outbreak: Rapid review and recommendations for MSK and allied heath personnel,https://doi.org/10.1016/j.jcot.2020.03.014,Journal of Clinical Orthopaedics and Trauma,"By reducing the viral load acquired, such facemasks are protective for personnel as they are likely to reduce the severity of illness, especially at the height of the pandemic. It is recommended that a known patient of COVID-19 wears such a mask to reduce viral shedding and hence this measure is protective to the health workers.",,Unknown Design,
12,2020-03-24,Coronavirus Disease (COVID-19): A primer for emergency physicians,https://doi.org/10.1016/j.ajem.2020.03.036,The American Journal of Emergency Medicine,"When caring for a stable PUI, HCPs should adhere to droplet (surgical mask), contact (gown and gloves), and standard precautions with the addition of eye protection (face shield or goggles). If a PUI is critically ill or an aerosol-generating procedure (e.g., endotracheal intubation, suctioning of the airway, sputum induction) is necessary, HCPs should escalate to airborne precautions with the use of a fitted N95 respirator in place of a surgical mask]. Reusable respirators such as powered air purifying respirators (PAPRs) may also be used, but should be disinfected and maintained appropriately",,Retrospective Cohort,
13,2020-03-23,Coronavirus Disease 2019 (COVID-19) Pandemic and Pregnancy,https://doi.org/10.1016/j.ajog.2020.03.021,American Journal of Obstetrics and Gynecology,Surgical face masks are appropriate for general clinical duties as randomized trial data have shown them to be as effective as N95 respirators in preventing droplet transmission in influenza.,,Unknown Design,
14,2020-03-19,Hand hygiene and the novel coronavirus pandemic: The role of healthcare workers,https://doi.org/10.1016/j.jhin.2020.03.017,Journal of Hospital Infection,Most healthcare-acquired infections could be avoided by well-trained nurses with appropriate hand hygiene compliance and use of protective equipment .,,Unknown Design,
15,2020-03-19,Catheterization Laboratory Considerations During the Coronavirus (COVID-19) Pandemic: From ACC’s Interventional Council and SCAI,https://doi.org/10.1016/j.jacc.2020.03.021,Journal of the American College of Cardiology,"In patients with active COVID-19 in whom primary PCI is to be performed, appropriate personal protective equipment (PPE) should be worn including gown, gloves, goggles (or shields), and a N95 mask, especially given the limited ability to take a history from the patient as well as the potential for clinical deterioration in STEMI cases.",,Retrospective Cohort,
16,2020-03-16,Environmental contamination of the SARS-CoV-2 in healthcare premises: An urgent call for protection for healthcare workers,https://doi.org/10.1101/2020.03.11.20034546,medrxiv,"Early on during the COVID-19 outbreak, healthcare workers (HCW) were found to be at high risk of developing COVID-19, even when infection prevention measures were in place, including usage of personal protective equipment (PPE: eye protection/face shield, respiratory protection, isolation gowns, and gloves), hand hygiene, and patient placement in negative-pressure isolation rooms.",,Retrospective Cohort,
17,2020-03-15,The COVID-19 outbreak and psychiatric hospitals in China: managing challenges through mental health service reform,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098035/,Int J Biol Sci,"Clearly, preventive measures such as the provision of adequate medical supplies and protective equipment, public education on the risks of COVID-19 for hospital staff and patients, and restricting family visits to hospitals, are essential to reduce the likelihood of disease transmission in major psychiatric hospitals.",,Retrospective Cohort,
18,2020-03-14,Coronavirus (COVID-19) outbreak: what the department of endoscopy should know,https://doi.org/10.1016/j.gie.2020.03.019,Gastrointestinal Endoscopy,Personal protective equipment (PPE) is worn to reduce exposure to hazards that cause workplace injuries and illnesses.,,Retrospective Cohort,
19,2020-03-11,How Should U.S. Hospitals Prepare for Coronavirus Disease 2019 (COVID-19)?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7081177/,Ann Intern Med,"Health care personnel should receive training on proper donning and doffing of personal protective equipment, including fit testing of N95 masks and use of powered air-purifying respirators, as well as basic infection prevention tenets, such as hand hygiene.",,Unknown Design,
20,2020-03-05,Taking the right measures to control COVID-19,https://doi.org/10.1016/s1473-3099%2820%2930152-3,The Lancet Infectious Diseases,"Second, in the use of personal protective equipment, we should try to distinguish different risk factors, adopt different epidemic prevention measures, and reduce the waste of personal protective equipment, as these resources are already in short supply.",,Retrospective Cohort,
21,2020-03-03,Transmission routes of 2019-nCoV and controls in dental practice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7054527/,Int J Oral Sci,"Since airborne droplet transmission of infection is considered as the main route of spread, particularly in dental clinics and hospitals, barrier-protection equipment, including protective eyewear, masks, gloves, caps, face shields, and protective outwear, is strongly recommended for all healthcare givers in the clinic/hospital settings during the epidemic period of 2019-nCoV.",,Retrospective Cohort,
22,2020-02-26,The infection evidence of SARS-COV-2 in ocular surface： a single-center cross-sectional study,https://doi.org/10.1101/2020.02.26.20027938,medrxiv,"Therefore, to lower the SARS-COV-2 nosocomial infection, the protective goggles should be wore in all the health care workers.",,Cross Sectional Case Control,
23,2020-02-24,Staff safety during emergency airway management for COVID-19 in Hong Kong,https://doi.org/10.1016/s2213-2600%2820%2930084-9,The Lancet Respiratory Medicine,"All medical personnel involved in the management of patients with suspected COVID-19 must adhere to airborne precautions, hand hygiene, and donning of personal protective equipment.",,Retrospective Cohort,
24,2020-02-21,"Clinical features of patients infected with 2019 novel coronavirus in Wuhan, China",https://doi.org/10.1016/s0140-6736%2820%2930183-5,The Lancet,"Airborne precautions, such as a fit-tested N95 respirator, and other personal protective equipment are strongly recommended.",,Retrospective Cohort,
25,2020-02-13,Epidemiological research priorities for public health control of the ongoing global novel coronavirus (2019-nCoV) outbreak,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7029449/,Euro Surveill,"Face masks are essential components of personal protective equipment in healthcare settings, and should be recommended for ill persons in the community or for those who care for ill persons.",,Unknown Design,
26,2020-02-12,Facemask shortage and the coronavirus disease (COVID-19) outbreak: Reflection on public health measures,https://doi.org/10.1101/2020.02.11.20020735,medrxiv,"The World Health Organization's (WHO) guidance on prevention and control of the COVID-19 outbreak recommends hand, and respiratory hygiene and the use of appropriate personal protective equipment for healthcare workers in practice and patients with suspected SARS-CoV-2 infection should be offered a medical mask.",,Simulation,
