,Date,Study,Study Link,Journal,Study Type,Factors,Influential,Excerpt,Measure of Evidence,Added on
0,2020-04-21,Estimating the impact of non-pharmaceutical interventions on documented infections with COVID-19: A cross-country analysis medrxiv,https://www.medrxiv.org/content/10.1101/2020.04.16.20062141v1.full.pdf,MedRxiv,Modeling Study,closure of schools (for primary schools and/or attendance rates below ~10%),Y,School closures yield a reduction of only 11 % (95% CrI 0–27 %) and its relative impact is one of the lowest among the various policy measures considered in this analysis,"Countries: United States, Canada, Australia, the EU-15 countries, Norway, and Switzerland; Timeline:  April 15, 2020",05/11/2020
1,2020-04-14,A Stratified Model to Quantify the Effects of Containment Policies on the Spread of COVID-19,https://doi.org/10.1101/2020.04.10.20060681,medRxiv,Modeling Study,schools and universities closed: interactions of [0-20] age groups decreases to 20%,Y,uncontained: eventual removed ratio 65.29%; maximum instantaneous infectious ratio 11.03%; R0 2.28; schools and universities closed: eventual removed ratio 47.20%; maximum instantaneous infectious ratio 9.80%; R0 2.21,Countries: Iran Timeline: first 90 days COVID-19 spread,04/19/2020
2,2020-03-23,Interventions to mitigate early spread of SARS-CoV-2 in Singapore: a modelling study The Lancet Infectious Diseases,https://doi.org/10.1016/S1473-3099(20)30162-6,Lancet Infect Dis,Modeling Study,school closure for 2 weeks,Y,"For the baseline scenario, when R0 was 1·5, the median cumulative number of infections at day 80 was 279 000 (IQR 245 000–320 000), corresponding to 7·4% (IQR 6·5–8·5) of the resident population of Singapore; School closure total number of infections 10 000 (200 - 28 000)",Countries: Singapore; Timeline: 80 days,04/08/2020
3,2020-03-23,Interventions to mitigate early spread of SARS-CoV-2 in Singapore: a modelling study The Lancet Infectious Diseases,https://doi.org/10.1016/S1473-3099(20)30162-6,Lancet Infect Dis,Modeling Study,school closure for 2 weeks,Y,"For the baseline scenario, when R0 was 2·0, the median cumulative number of infections at day 80 was 727 000 cases (670 000–776 000) when R0 was 2·0, corresponding to 19·3% (17·8–20·6) of the Singaporean population; School closure total number of infections 97 000 (14 000 - 219 000)",Countries: Singapore; Timeline: 80 days,04/08/2020
4,2020-03-23,Interventions to mitigate early spread of SARS-CoV-2 in Singapore: a modelling study The Lancet Infectious Diseases,https://doi.org/10.1016/S1473-3099(20)30162-6,Lancet Infect Dis,Modeling Study,school closure for 2 weeks,Y,"For the baseline scenario, when R0 was 2·5, the median cumulative number of infections at day 80 was 1 207 000 cases (1 164 000–1 249 000) corresponding to 32% (30·9–33·1) of the Singaporean population; School closure total number of infections 466 00 (175 000 - 728 000)",Countries: Singapore; Timeline: 80 days,04/08/2020
5,2020-03-23,The Effectiveness of Social Distancing in Mitigating COVID-19 Spread: a modelling analysis,https://doi.org/10.1101/2020.03.20.20040055,medRxiv,Modeling Study,schools and further education institutions closed,Y,"66% infection rate (179,788 infected individuals) - no activation delay; School Closure 61.90% IR (168,611)",Countries: Australia; cities: Newcastle; Timeline: 10 weeks,04/08/2020
6,2020-03-23,The Effectiveness of Social Distancing in Mitigating COVID-19 Spread: a modelling analysis,https://doi.org/10.1101/2020.03.20.20040055,medRxiv,Modeling Study,schools and further education institutions closed,Y,"1 week delay: School Closure 61.92% IR (168,688)",Countries: Australia; cities: Newcastle; Timeline: 10 weeks,04/08/2020
7,2020-03-23,The Effectiveness of Social Distancing in Mitigating COVID-19 Spread: a modelling analysis,https://doi.org/10.1101/2020.03.20.20040055,medRxiv,Modeling Study,schools and further education institutions closed,Y,"2 week delay: School Closure 61.82% IR (168,395)",Countries: Australia; cities: Newcastle; Timeline: 10 weeks,04/08/2020
8,2020-03-23,The Effectiveness of Social Distancing in Mitigating COVID-19 Spread: a modelling analysis,https://doi.org/10.1101/2020.03.20.20040055,medRxiv,Modeling Study,schools and further education institutions closed,Y,"3 week delay: School Closure 61.88% IR (168,573)",Countries: Australia; cities: Newcastle; Timeline: 10 weeks,04/08/2020
9,2020-03-23,The Effectiveness of Social Distancing in Mitigating COVID-19 Spread: a modelling analysis,https://doi.org/10.1101/2020.03.20.20040055,medRxiv,Modeling Study,schools and further education institutions closed,Y,"4 week delay: School Closure 61.93% IR (168,705)",Countries: Australia; cities: Newcastle; Timeline: 10 weeks,04/08/2020
10,2020-03-23,The Effectiveness of Social Distancing in Mitigating COVID-19 Spread: a modelling analysis,https://doi.org/10.1101/2020.03.20.20040055,medRxiv,Modeling Study,schools and further education institutions closed,Y,"5 week delay: School Closure 61.77% IR (168,258)",Countries: Australia; cities: Newcastle; Timeline: 10 weeks,04/08/2020
11,2020-03-23,The Effectiveness of Social Distancing in Mitigating COVID-19 Spread: a modelling analysis,https://doi.org/10.1101/2020.03.20.20040055,medRxiv,Modeling Study,schools and further education institutions closed,Y,"6 week delay: School Closure 61.87% IR (168,552)",Countries: Australia; cities: Newcastle; Timeline: 10 weeks,04/08/2020
12,2020-03-23,The Effectiveness of Social Distancing in Mitigating COVID-19 Spread: a modelling analysis,https://doi.org/10.1101/2020.03.20.20040055,medRxiv,Modeling Study,schools and further education institutions closed,Y,"7 week delay: School Closure 61.93% IR (168,703)",Countries: Australia; cities: Newcastle; Timeline: 10 weeks,04/08/2020
13,2020-03-23,The Effectiveness of Social Distancing in Mitigating COVID-19 Spread: a modelling analysis,https://doi.org/10.1101/2020.03.20.20040055,medRxiv,Modeling Study,schools and further education institutions closed,Y,"8 week delay: School Closure 61.92% IR (168,667)",Countries: Australia; cities: Newcastle; Timeline: 10 weeks,04/08/2020
14,2020-03-23,The Effectiveness of Social Distancing in Mitigating COVID-19 Spread: a modelling analysis,https://doi.org/10.1101/2020.03.20.20040055,medRxiv,Modeling Study,schools and further education institutions closed,Y,"9 week delay: School Closure 61.97% IR (168,820)",Countries: Australia; cities: Newcastle; Timeline: 10 weeks,04/08/2020
