,Date,Study,Study Link,Journal,Study Type,Factors,Influential,Excerpt,Measure of Evidence,Added on,Sample,Sample Text,Matches,Entry
,2020-05-06,Now casting and Forecasting of COVID-19 outbreak in the National Capital Region of Delhi,https://doi.org/10.1101/2020.05.01.20087783,medrxiv,Modeling,,,,,,,"In India, 10,197 tested positive, 1343 cured and 392 deaths related COVID-19 were reported as on 15 th April, 2020.","In social distancing intervention, we assume at least 50% of the individuals have followed the intervention in community and its effect is negligible in workplace and house due to repeated contact and closed environment.",2020-05-12
,2020-05-05,COVID-19 herd immunity strategies: walking an elusive and dangerous tightrope,https://doi.org/10.1101/2020.04.29.20082065,medrxiv,Modeling,,,,,,70,"Due to differences in the final age group of our model (70+) and those of the Wuhan study (70-79 and 80+), the hospitalization and fatality rates for 70+ individuals were calculated by summing the estimated 70-79 and 80+ rates weighted by their relative population sizes.","Social distancing by 60+ aged individuals results in a marked reduction of the final fraction of this age group that are exposed, however, unless both schools and workplaces are closed, additional social distancing measures do not lead to much further reduction ( Fig 4A) .

In this scenario, the principle effect of school and workplace closures is in delaying the peak, buying more time for preparations (Fig 4G) .",2020-05-12
,2020-05-05,Mathematical Model with Social Distancing Parameter for Early Estimation of COVID-19 Spread,https://doi.org/10.1101/2020.04.30.20086611,medrxiv,Modeling,,,,,,2,The day-wise COVID-19 cases are shown in the Figure 2 State-wise active COVID-19 cases in India is shown in Figure 2 .,The effect of social distancing has been discussed with different social distancing rates.,2020-05-12
,2020-05-03,Response strategies for COVID-19 epidemics in African settings: a mathematical modelling study,https://doi.org/10.1101/2020.04.27.20081711,medrxiv,Modeling,,,,,,1000000,"Simulations of an unmitigated epidemic in Niger resulted in a median of 4.1 million clinical cases during the first 12 months following introduction of the first case, 48.7 million in Nigeria and 490 000 in Mauritius (Table 2) , with the most probable epidemic peaks after 3, 4 and 2 months respectively ( Figure 1 ).",Self-isolation and moderate physical distancing can be effective interventions.,2020-05-12
,2020-05-02,"Protocol of a population-based prospective COVID-19 cohort study Munich, Germany (KoCo19)",https://doi.org/10.1101/2020.04.28.20082743,medrxiv,Modeling,,,,,,1.5,1.5 participants each were calculated.,"The measures include isolation of confirmed patients, quarantine of their contacts, use of personal protective equipment, social distancing (including school closures), and closure of borders .",2020-05-12
,2020-05-01,Modeling serological testing to inform relaxation of social distancing for COVID-19 control,https://doi.org/10.1101/2020.04.24.20078576,medrxiv,Modeling,,,,,,,"BAL and ANMK were supported by the Vaccine Impact Modeling Consortium; BAL and KNN were supported by NIH/NICHD R01 HD097175; BAL, KNN, and ANMK were supported by NIH/NIGMS R01 GM124280; JSW and CZ were supported by Simons Foundation (SCOPE Award ID 329108); JSW and CZ were supported by the Army Research Office (W911NF1910384); JSW and CZ were supported by NIH (1R01AI46592-01); JSW and CZ were supported by National Science Foundation (1806606 and 1829636).","Stop distancing 9/01/2020 Figure S1 : Critical care beds needed per day for different intervention scenarios assuming a 75% reduction in other contacts, school closures, nonessential workplace closures, and 90% reduction in workplace contacts for reduced contact employees for the duration of distancing 12 .

 Workers in reduced contact occupations increase their workplace contacts based on the intensity of social distancing maintained.",2020-05-12
,2020-05-01,Impact of virus testing on COVID-19 case fatality rate: estimate using a fixed-effects model,https://doi.org/10.1101/2020.04.26.20080531,medrxiv,Other,,,,,,2,9 We used two distinct samples: i) The all-department sample (AD sample) that includes 94 departments distributed across 12 regions; ii) The contiguous border department-pair sample (CBDP sample) that contains all the contiguous department pairs that straddle a region boundary.,"19, 20 A modeling from Singapore suggests that quarantining of infected individuals and their family members, school closure and workplace distancing could reduce the progression of the epidemic but is associated to a significant economic cost.",2020-05-12
,2020-04-30,COVID-19 Control Strategies and Intervention Effects in Resource Limited Settings: A Modeling Study,https://doi.org/10.1101/2020.04.26.20079673,medrxiv,Modeling,,,,,,185,"46, 47 We overcame this limitation by assuming that there already were about 185 infected individuals and that local transmission was under way when we began our model simulation.","Since a lockdown is already in place, we did not analyze the individual effect of school and workplace closures.

Physical distancing is estimated to be only 50% as effective as lockdown in reducing contacts.",2020-05-12
,2020-04-30,"COVID-19 and the cardiovascular system: implications for risk assessment, diagnosis, and treatment options",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7197627/,Cardiovasc Res,Other,,,,,,68,"In an analysis of 68 fatal cases in Wuhan, 36 patients (53%) died of respiratory failure, 5 (7%) patients with myocardial damage died from circulatory failure, and 22 patients (33%) died from both.",Preventive measures (social distancing and social isolation) also increase cardiovascular risk.,2020-05-12
,2020-04-29,Detection and isolation of asymptomatic individuals can make the difference in COVID-19 epidemic management,https://doi.org/10.1101/2020.04.23.20077255,medrxiv,Modeling,,,,,,0,Attenuation factor for asymptomatic patients 0.,"We assumed that mitigation measures (case-isolation, general social distancing, banning of public gatherings, school closures) lower R0 to 2 and suppression measures (complete lockdown or quarantine of the whole population except for essential activities) could make R0≤1 .",2020-05-12
