,Date,Study,Study Link,Journal,Study Type,Addressed Population,Challenge,Solution,Measure of Evidence,Added on
0,2020-04-22,Health professionals facing the coronavirus disease 2019 (COVID-19) pandemic: what are the mental health risks?,https://www.sciencedirect.com/science/article/pii/S0013700620300762?via%3Dihub,L'Encéphale,Expert Review,Health-care workers,"Concerns about the mental health, psychological adjustment, and recovery of health care workers treating and caring for patients with COVID-19","Stress may be caused by organizational factors, such as depletion of personal protection equipment, concern about not being able to provide competent care if deployed to new area, concern about rapidly changing information, lack of access to up-to-date information and communication, lack of specific drugs, the shortage of ventilators and intensive care unit beds necessary to care for the surge of critically ill patients, and significant change in their daily social and family life. Further risk factors include feelings of being inadequately supported, concerns about health of self, fear of taking home infection to family members or others, and not having rapid access to testing through occupational health if needed, being isolated, feelings of uncertainty and social stigmatization, overwhelming workload, or insecure attachment.",-,4/29/2020
1,2020-04-21,Barriers and facilitators to healthcare workers’ adherence with infection prevention and control (IPC) guidelines for respiratory infectious diseases: a rapid qualitative evidence synthesis,https://doi.org/10.1002/14651858.CD013582,Cochrane Library,Systematic review,Health-care workers,Identify barriers and facilitators to healthcare workers’ adherence to IPC guidelines for respiratory infectious diseases,"Healthcare workers felt unsure as to how to adhere to local guidelines when they were long and ambiguous or did not reflect national or international guidelines, so clear communication and collaborative workplace environment about IPC guidelines was seen as vital.",-,4/22/2020
2,2020-04-19,Modeling the COVID-19 outbreaks and the effectiveness of the containment measures adopted across countries,https://www.medrxiv.org/content/10.1101/2020.04.02.20046375v3,medRxiv,Simulation,General population,"Although the Case Fatality Rate (CFR) of COVID-19 is relatively low when optimal level of healthcare is granted to the patients, the high percentage of severe cases developing severe pneumonia and thus requiring respiratory support is worryingly high, and could lead to a rapid saturation of Intensive Care Units (ICUs).","We find that the effect of these measures is detectable, but tends to be gradual, and that a progressive strengthening of these measures usually reduces the R_0 below 1, granting a decay of the outbreak. We also discuss the biases and inconsistencies present in the publicly available data on COVID-19 cases, providing an estimate for the actual number of cases in Italy on March 12, 2020. Lastly, despite the data and model's limitations, we argue that the idea of ""flattening the curve"" to reach herd immunity is likely to be unfeasible.",models: Bayesian SEIR; countries: 4,4/29/2020
3,2020-04-17,Impact assessment of non-pharmaceutical interventions against coronavirus disease 2019 and influenza in Hong Kong: an observational study,https://www.sciencedirect.com/science/article/pii/S2468266720300906,The Lancet Public Health,Ecological Regression,General population,"A range of public health measures have been implemented to suppress local transmission of coronavirus disease 2019 (COVID-19) in Hong Kong. We examined the effect of these interventions and behavioural changes of the public on the incidence of COVID-19, as well as on influenza virus infections, which might share some aspects of transmission dynamics with COVID-19.","Our study shows that non-pharmaceutical interventions (including border restrictions, quarantine and isolation, distancing, and changes in population behaviour) were associated with reduced transmission of COVID-19 in Hong Kong, and are also likely to have substantially reduced influenza transmission in early February, 2020.",patients: 60; cities: Hong Kong,4/25/2020
4,2020-04-15,Personal protective equipment for preventing highly infectious diseases due to exposure to contaminated body fluids in healthcare staff.,https://doi.org/10.1002/14651858.CD011621.pub4,Cochrane Database of Systematic Reviews (CDSR),Systematic review,Health-care workers,Improving training and compliance in healthcare staff PPE usage to prevent spread,"Covering more parts of the body leads to better protection but usually comes at the cost of more difficult donning or doffing and less user comfort, and may therefore even lead to more contamination. More breathable types of PPE may lead to similar contamination but may have greater user satisfaction. Modifications to PPE design, such as tabs to grab, may decrease the risk of contamination. For donning and doffing procedures, following CDC doffing guidance, a one-step glove and gown removal, double-gloving, spoken instructions during doffing, and using glove disinfection may reduce contamination and increase compliance. Face-to-face training in PPE use may reduce errors more than folder-based training.",studies: 24; participants: 2278,4/22/2020
5,2020-04-15,Initial impacts of global risk mitigation measures taken during the combatting of the COVID-19 pandemic,https://doi.org/10.1016/j.ssci.2020.104773,Safety Science,Systematic review / meta-analysis,General population,Impacts of measures,Best mitigation results are reported when applying a combination of voluntary and enforceable measures.,studies: 50,4/28/2020
6,2020-04-15,Data-Driven Study of the COVID-19 Pandemic via Age-Structured Modelling and Prediction of the Health System Failure in Brazil amid Diverse Intervention Strategies,https://www.medrxiv.org/content/10.1101/2020.04.03.20052498v2,medRxiv,Simulation,General population,"We model the current scenario of closed schools and universities, social distancing of individuals above sixty years old and voluntary home quarantine","We model the current scenario of closed schools and universities, social distancing of individuals above sixty years old and voluntary home quarantine to show that it led to a considerable reduction in the number of infections as compared with a scenario without any control measures. Notwithstanding, our model predicts that the current measures are not enough to avoid overloading the health system, since the demand for intensive care units will soon surpass the number available. We also show that an urgent intense quarantine might be the only solution to avoid this scenario and, consequently, minimize the number of severe cases and deaths. On the other hand, we demonstrate that the early relaxation of the undergoing isolation measures would lead to an increase of millions of infections in a short period of time and the consecutive collapse of the health system.",model: SIRD-like epidemiological model; countries: Brazil,4/29/2020
7,2020-04-14,Coronavirus Disease 2019 (COVID-19) and Mental Health for Children and Adolescents,https://jamanetwork.com/journals/jamapediatrics/article-abstract/2764730,JAMA Pediatrics,Systematic review,Children and Adolescents,Effectiveness of school closures on controlling the outbreak and mental health,"Consider the potential associations school closures have with children’s well-being and what can be done to mitigate them. Schools are a major source of nutrition for many students, and ensuring food security has been a common component of school closure plans. However, other services are equally essential to children’s health and must be addressed. If untreated, mental health problems can lead to many negative health and social outcomes. Economic downturns are associated with increased mental health problems for youth that may be affected by the ways that economic downturns affect adult unemployment, adult mental health, and child maltreatment. Telemental health services are shown to be similarly effective to in-person services.",studies: 7,4/22/2020
8,2020-04-10,KCDC Risk Assessments on the Initial Phase of the COVID-19 Outbreak in Korea,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7104687/,Osong Public Health Res Perspect,Expert Review,General population,Risk-assessment,The KCDC’s 8 risk assessments were utilized to activate national emergency response mechanisms and eventually prepare for the pandemic to ensure the containment and mitigation of COVID-19 with non-pharmaceutical public health measures.,countries: Korea,4/29/2020
9,2020-04-07,The missing pieces in the jigsaw and need for cohesive research amidst COVID 19 global response,https://doi.org/10.1016/j.mjafi.2020.04.001,Medical Journal Armed Forces India,Expert Review,General population,Effects of restrictive public health measures,Public health information system must address pertinent issues based on dynamics of covid - 19 and effectiveness of the control measures,studies: 10,4/28/2020
