,Date,Study,Study Link,Journal,Study Type,Factors,Influential,Excerpt,Measure of Evidence,Added on,Study Population,Sample Text,Matches,Entry
,2020-08-15,Charged PVDF multilayer nanofiber filter in filtering simulated airborne novel coronavirus (COVID-19) using ambient nano-aerosols,https://doi.org/10.1016/j.seppur.2020.116887,Separation and Purification Technology,Modeling,,,,,,Tests were conducted with face velocity of 5.3 cm/s.,"There were two types of fibers in the present study, uncharged and charged nanofibers.",The evaporation rate depends on the relative humidity of the environment.,2020-05-12
,2020-08-15,Evolution of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) as coronavirus disease 2019 (COVID-19) pandemic: A global health emergency,https://doi.org/10.1016/j.scitotenv.2020.138996,Sci Total Environ,Other,,,,,,"The COVID-19 pandemic was confirmed to have spread to Africa on February 14, 2020 as the first confirmed in Egypt on February 13, 2020 (BBC, 2020a Egypt, 2020) whereas the first identified case in sub-Saharan Africa was in Nigeria on February 27, 2020 (Adepoju, 2020; BBC, 2020e) .","Lastly, the epidemic of SARS-CoV-2, a member of beta-coronaviruses, has started in China from December 2019 causing 198 confirmed infections with three fatal cases by January 20, 2020 (WHO, 2020k) .","Therefore, it was suggested that the transmission rate and stability of novel coronavirus (i.e., SARS-CoV-2) can be varied with different environmental parameters, i.e., temperature, humidity, sunlight etc.",2020-05-12
,2020-08-15,"Computational analysis of SARS-CoV-2/COVID-19 surveillance by wastewater-based epidemiology locally and globally: Feasibility, economy, opportunities and challenges",https://doi.org/10.1016/j.scitotenv.2020.138875,Science of The Total Environment,Modeling,,,,,,Data related to the physical layout of the wastewater collection system was obtained from the City of Tempe Water Utilities Department.,"Assuming a detection limit of 10 coronavirus RNA genomes per mL sewage, and further assuming absence of additional stormwater, commercial, and industrial flow inputs to the sewer system, successful detection of SARS-CoV-2 by qRT PCR in fully homogenized wastewater will require at worst as much as 0.88% of the population in a monitored sewershed to be infected (1 in 114 individuals) and at best, as few as 0.00005% (1 infected case in about 2 million non-infected individuals).","Seasonal changes in air and soil temperature affect the transfer of heat between wastewater and the surrounding environment (Fig.

Seasonal weather conditions influence soil and wastewater temperatures (A), which in turn modulate the in-sewer persistence of SARS-CoV-2 (t 1 2 ; B).",2020-05-12
,2020-07-15,Impact of meteorological factors on the COVID-19 transmission: A multi-city study in China,https://doi.org/10.1016/j.scitotenv.2020.138513,Sci Total Environ,Case series,,,,,,"The daily meteorological data, including hourly temperature and RH, were obtained from Shanghai Meteorological Bureau and Data Center of Ministry of Ecology from January 5th to March 2nd 2020.","As of March 2nd, 2020, a total of 3,905 cases were officially reported in 30 provincial capital cities in China.","Local weather condition with low temperature, mild diurnal temperature range and low humidity likely favor the transmission.

 The weather with low temperature, mild diurnal temperature range and low humidity likely favor the transmission of COVID-19.",2020-05-12
,2020-05-06,"UV light influences covid-19 activity through big data: trade offs between northern subtropical, tropical, and southern subtropical countries",https://doi.org/10.1101/2020.04.30.20086983,medrxiv,Modeling,,,,,,"In this study, the two ECMWF UV products were used as a comparison to the ground-based data collected from the three locations for the period of January to March 2020.","4a and 4b show the spread of coronavirus in some countries that less than 5000 confirmed cases and more than 5000 confirmed cases, respectively.","Temperature and humidity possibly influence the covid-19 spread .

It was found that greater survival of coronavirus occurs in lower temperature and humidity.",2020-05-12
,2020-05-06,Low ambient temperatures are associated with more rapid spread of COVID-19 in the early phase of the endemic,https://doi.org/10.1016/j.envres.2020.109625,Environmental Research,Other,,,,,,COVID-19 data were obtained from the Global Change Data Lab (ourworldindata.org) and cross checked against Centre of Disease Control (CDC) and European Centre of Disease Control (ECDC) data.,"On 23 rd March 2020, we identified 47 countries with > 200 cases diagnosed and determined the days required to diagnose 100 additional COVID-19 after the initial 100 cases.","While ambient temperatures may affect the COVID-19 survival in the environment, it is also possible that a population confined to indoor activities is more susceptible to the infection.",2020-05-12
,2020-05-05,Decline in PM2.5 Concentrations over Major Cities Around the World Associated with COVID-19,https://doi.org/10.1016/j.envres.2020.109634,Environmental Research,Other,,,,,,"We have considered December 2019-March 2020, and compared with earlier years 2017-2019 (depending upon the data availability), to compare changes in PM 2.5 from earlier years with the periods after the outbreak of COVID-19 from beginning of December 2019 until March 2020.",Significant decline (58%) in PM 2.5 is observed in during March 2020 compared to February 2020.,"The transmission of infection may also vary like PM 2.5 , depending on the meteorological parameters especially surface air temperature and relative humidity in a closed environment (Wang, and Du, 2020) .",2020-05-12
,2020-05-05,"Does weather affect the growth rate of COVID-19, a study to comprehend transmission dynamics on human health",https://doi.org/10.1101/2020.04.29.20085795,medrxiv,Other,,,,,,The current study focuses on the relationship between environmental parameters and the growth rate of COVID-19.,"The next factor that contribute could be precipitation, however, in this regards the past five 109 months data (Nov 2019 -March 2020) is carefully analyzed and presented in Figure 3 .","Indeed, out of various environmental factors such as humidity, cloud cover, wind speed and 91 precipitation, temperature contributes significantly to the decrease in the growth rate of 92 infection.",2020-05-12
,2020-05-04,Will environmental changes in temperature affect the course of COVID-19?,https://doi.org/10.1016/j.bjid.2020.04.007,The Brazilian Journal of Infectious Diseases,Other,,,,,,"We studied 3 groups; Group 1, 10 provinces from China with majority of COVID-19 cases since December 31, 2019 through February 29, 2020 (92.2% of the total cases in China): Hubei, Guangdong, Henan, Hunan, Shandong, Jiangsu, Sichuan, Hebei, Zhejiang, and Anhui.","4 Studies have found that low temperatures and dry conditions favor MERS-CoV survival and dissemination; nevertheless, Altamimi et al.",Although temperature and humidity changes in the environment can potentially affect the behavior of SARS-CoV-2 in a community.,2020-05-12
,2020-05-03,Brazilian Modeling of COVID-19 (BRAM-COD): a Bayesian Monte Carlo approach for COVID-19 spread in a limited data set context,https://doi.org/10.1101/2020.04.29.20081174,medrxiv,Modeling,,,,,,We fitted data from Brazil and São Paulo.,"Our current choice of probabilities of need ICU-level care, as discussed in the previous sections, entails an estimated number of infected individuals of approximately 2.5 million individuals (median) in April 25, 2020, and reaching a total of 4.15 million individuals in the end of August, 2020 (median).","The effects of climate and temperature could also affect the transmission capacity of the virus, because the viability of the virus seems to be influenced by sunlight, temperature, and humidity.",2020-05-12
,2020-05-03,Is this the beginning or the end of COVID-19 outbreak in India? A data driven mathematical model-based analysis,https://doi.org/10.1101/2020.04.27.20081422,medrxiv,Modeling,,,,,,The first case of COVID-19 in India was detected on 30 th January 2020.,"As of 14 th June, 283,348 individuals will be infected with COVID-19.","The physical factors like temperature, humidity, their influence have not been considered in the modeling.",2020-05-12
,2020-05-01,A fundamental model and predictions for the spread of the COVID-19 epidemic,https://doi.org/10.1101/2020.04.27.20081281,medrxiv,Modeling,,,,,,The first known case of COVID-19 in the US was confirmed on 20 January 2020 .,"On 19 February, the number of confirmed cases increased by 20, and on 20 February by 58 or 70, giving a total of 346 confirmed cases on 21 February 2020, which led to the cancellation of mass gatherings and enforced social distancing across the country .","Transmission rates may depend on the local geographic environments, such as the temperature and moisture of the region.",2020-05-12
,2020-04-30,Trend and forecasting of the COVID-19 outbreak in China,https://doi.org/10.1016/j.jinf.2020.02.014,Journal of Infection,Other,,,,,,"By using the public data from Jan. 20 to Feb. 11, 2020, we perform data-driven analysis and forecasting on the COVID-19 epidemic in mainland China, especially Hubei province.","Out of the ten patients with imported CHIKV infection examined in this study, nine patients had traveled back from Myanmar and one patient had travelled back from Thailand ( Fig.","5 Low humidity and temperature increased the stability of influenza virus in aerosols and on surfaces.

5 It remains unclear if high temperature and humidity levels have effect on aerosol and contact transmission of pre-2009 A(H1N1), A(H1N1)pdm09, B/Victoria and B/Yamagata virus among hosts and their stability on surfaces.",2020-05-01
,2020-04-30,Analysis of angiotensin-converting enzyme 2 (ACE2) from different species sheds some light on cross-species receptor usage of a novel coronavirus 2019-nCoV,https://doi.org/10.1016/j.jinf.2020.02.013,Journal of Infection,Other,,,,,,"2 On the basis of laboratory surveillance data from 30 Chinese provinces spanning about 12 years from October 2004 through January 2017, our study further characterized seasonal patterns of circulating influenza A subtypes and influenza B lineages in the three defined epidemiological regions.","Out of the ten patients with imported CHIKV infection examined in this study, nine patients had traveled back from Myanmar and one patient had travelled back from Thailand ( Fig.","5 Low humidity and temperature increased the stability of influenza virus in aerosols and on surfaces.

5 It remains unclear if high temperature and humidity levels have effect on aerosol and contact transmission of pre-2009 A(H1N1), A(H1N1)pdm09, B/Victoria and B/Yamagata virus among hosts and their stability on surfaces.",2020-04-10
,2020-04-30,Enteric involvement of coronaviruses: is faecal–oral transmission of SARS-CoV-2 possible?,https://doi.org/10.1016/s2468-1253(20)30048-0,The Lancet Gastroenterology & Hepatology,Other,,,,,,"Department of General Surgery, Tan Tock Seng Hospital, Singapore 308433","According to the WHO COVID-19 situation report-28 released on Feb 17, 2020, more than 71 000 cases have been confirmed and at least 1770 deaths.","The virus was viable on different surfaces for 48 h at 20°C and 40% relative humidity, although viability decreased to 8 h at 30°C and 80% relative humidity conditions.

13 MERS-CoV is viable in low temperature, low humidity conditions.

SARS-CoV and MERS-CoV are both viable in conditions with low temperatures and humidity.12, 13, 14 Although direct droplet transmission is an important route of transmission, faecal excretion, environmental contamination, and fomites might contribute to viral transmission.

SARS-CoV and MERS-CoV are both viable in conditions with low temperatures and humidity.

SARS-CoV can survive for up to 2 weeks after drying, remaining viable for up to 5 days at temperatures of 22–25°C and 40–50% relative humidity, with a gradual decline in virus infectivity thereafter.13 Viability of the SARS-CoV virus decreased after 24 h at 38°C and 80–90% relative humidity.13 MERS-CoV is viable in low temperature, low humidity conditions.

The virus was viable on different surfaces for 48 h at 20°C and 40% relative humidity, although viability decreased to 8 h at 30°C and 80% relative humidity conditions.14 At present, no viability data are available for SARS-CoV-2.",2020-04-10
,2020-04-29,Several countries in one: a mathematical modeling analysis for COVID-19 in inner Brazil,https://doi.org/10.1101/2020.04.23.20077438,medrxiv,Modeling,,,,,,We aimed a study capable of representing most of the small and medium cities of Brazil.,The simulations start with ten infected individuals (in the age class of 25 to 50 years) introduced in a whole susceptible population.,"We assume that temperature and humidity may influence the virus spread 12 .

The effect of temperature (T ) and humidity (H) on R 0 was considered using the expression given by 13 R 0 = 3.314 − 0.0225T − 0.0158H.",2020-05-12
,2020-04-29,Influence of socio-ecological factors on COVID-19 risk: a cross-sectional study based on 178 countries/regions worldwide,https://doi.org/10.1101/2020.04.23.20077545,medrxiv,Cross-sectional,,,,,,The initial outbreak of COVID-19 caused by SARS-CoV-2 in China in 2019 has been severely tested in other countries worldwide.,"We found that 37, 29 and 39 countries/regions were strongly opposite from the IR, CMR and DCI index ""spatial autocorrelation hypothesis"", respectively.","We also found that climatic factors (temperature, relative humidity, precipitation and wind speed) did not significantly reduce COVID-19 risk.",2020-05-01
,2020-04-26,Stochastic Transmission of Sneezed and Coughed Droplets -- Physicists' Perspective,https://doi.org/,ArXiv,Other,,,,,,We consider a droplet of radius 100 µm and mass 4186 nano-gm ejected at initial time (t = 0) with velocity varying from from 5 to 21 m/s.,We consider a droplet of radius 100 µm and mass 4186 nano-gm ejected at initial time (t = 0) with velocity varying from from 5 to 21 m/s.,The evaporation process will strongly depend on the air temperature and relative humidity.,2020-05-01
,2020-04-26,Pulmonary contusion mimicking COVID-19: A case report,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7190958/,World J Clin Cases,Other,,,,,,"On February 7, 2020, X-ray examination confirmed compressed fracture of the 12th thoracic vertebra and fracture of the spinous process of the 11th thoracic vertebra and the calcaneus of both sides.","CT performed on February 7, 2020 revealed that both lungs were scattered with patchy ground-glass opacity.","The patient’s temperature was 36.6 °C.

The patient's temperature was 36.6 °C.",2020-05-12
,2020-04-25,Will COVID-19 pandemic diminish by summer-monsoon in India? Lesson from the first lockdown,https://doi.org/10.1101/2020.04.22.20075499,medrxiv,Modeling,,,,,,We have used data for 2017-2019 from March 1 to April 30 and 2020 from 1 March to 15 April.,"In India, it is already reported more than 18 thousand cases and more than 600 deaths due to Coronavirus disease 2019 (COVID-19) till April 20, 2020.","The transmission of coronaviruses can be affected by several factors, including climate conditions (such as temperature and humidity), population density, and medical care quality .

The humidity dependency may be due to the less effective airborne nature of the viruses at higher absolute humidity, thus reducing the overall indirect transmission of 2019-nCoV at higher levels of humidity.

However, the role of temperature, humidity, and absolute humidity in the transmission of COVID-19 has not yet been well established.

Although higher humidity may increase the amount of virus deposited on surfaces, and virus survival time in droplets on surfaces, the reduction of the virus spread by indirect (through air) transmission may be the factor behind the reduced 2019-nCoV spread in the humid climate.

Absolute humidity, the mass of water vapor per cubic meter of air, relates to both temperature and relative humidity.",2020-05-01
,2020-04-23,Modeling ambient temperature and relative humidity sensitivity of respiratory droplets and their role in Covid-19 outbreaks,https://doi.org/,ArXiv,Other,,,,,,"We assume N P,0 = N P * ,0 .",7 at the two different locations and four different conditions are described below in Table 1 .,"Droplet evaporation/desiccation time is indeed dependent on ambient temperature and relative humidity, considered at both outdoor and indoor conditions.

Since the droplet evaporation time determines the infection rate constant, ambient temperature and relative humidity are shown to impact the outbreak growth rates.

For modeling purpose, the exhaled droplets are assumed to evaporate in a quiescent environment at a fixed ambient temperature and relative humidity.

The ""outdoor"" ambient conditions to T ∞ = 21.1 o C and RH ∞ = 50%.

The far field vapor concentration, on the other hand, is ascertained by the ambient condition, (temperature and relative humidity, RH), which in the case of Covid-19 corresponds to specific geographical locations.

This limit is such that the droplet surface temperature will be always lower than the ambient, implying a positive temperature gradient or heat input.

The far field vapor concentration, on the other hand, is related to the relative humidity of the ambient.",2020-05-01
,2020-04-22,Isothermal evaporation rate of deposited liquid aerosols and the SARS-CoV-2 coronavirus survival,https://doi.org/,ArXiv,Modeling,,,,,,Then we compare them with experimental data .,"Then, for the two limiting cases of evaporation of a viral liquid sample, we have the following equations for the dynamics of the virus population.","The influence of such factors as temperature and humidity on the distribution of coronavirus is undeniable.

At 100% relative humidity, the aerosol does not evaporate at all.

The evaporation rate depends on the thermal conductivity and thickness of the substrate, as well as the relative humidity of the surrounding air.

Here T lim is the temperature of the wet thermometer, which depends only on the temperature and humidity near the substrate.",2020-05-01
,2020-04-20,Factors determining the diffusion of COVID-19 and suggested strategy to prevent future accelerated viral infectivity similar to COVID,https://doi.org/10.1016/j.scitotenv.2020.138474,Science of The Total Environment,Other,,,,,,"Sources of data are The Ministry of Health in Italy for epidemiological data (Ministero della Salute, 2020), Legambiente for data of air pollution deriving from the Regional Agencies for Environmental Protection in Italy, il Meteo for data of weather trend in 2019 based on meteorological stations of Italian province capitals, finally data from the Italian National Institute of Statistics for density of population concerning cities under study (ISTAT, 2020) .","In particular, hinterland cities with average higher number of days exceeding the limits set for PM10 (and a low intensity of wind speed) have a very high number of infected people on 7th April 2020 (arithmetic mean about 2200 infected, with average polluted days greater than 80), than coastal cities also having days of exceeding the limits set for PM10 or ozone but with high intensity of wind speed (arithmetic mean about 944.70 infected individuals, with about 60 average polluted days); moreover, cities having more than 100 days of air pollution (exceeding the limits set for PM10), they have a very high average number of infected people (about 3350 infected individuals, 7th April 2020), whereas cities having less than 100 days of air pollution, they have a lower average number of infected individuals (about 1014).","Hence, microorganisms may be influenced by interactions with ambient particles leading to the inhibition or enhancement of viability (e.g., tolerance to variation in seasonality, temperature, humidity, etc.).

In particular, bacteria in the atmosphere to survive must withstand and adapt to ultraviolet exposure, reduced nutrient availability, desiccation, extreme temperatures and other factors.",2020-04-24
,2020-04-17,Effects of temperature and humidity on the spread of COVID-19: A systematic review.,https://doi.org/10.1101/2020.04.14.20064923,medrxiv,Systematic review,,,,,,"The electronic databases PubMed, Scopus, Web of Science, Cochrane Library, LILACS, OpenGrey and Google Scholar were examined with the searches restricted to the years 2019 and 2020.","Seventeen articles were included in this systematic review, and methodological issues were identified.","concluded that a temperature range of 13~19℃ and humidity of 50% ~ 80% are suitable for the survival and transmission of COVID-19.

For example, in the tropics, where high temperatures and humidity characterize the weather, the climatic suitability for spread of COVID-19 seems to be more difficult.

have support the role that temperature could have in changing the COVID-19 human-to-human transmission and that there might be an optimal temperature for the viral transmission.",2020-04-24
,2020-04-15,Association between short-term exposure to air pollution and COVID-19 infection: Evidence from China,https://doi.org/10.1016/j.scitotenv.2020.138704,Science of The Total Environment,Case series,,,,,,"Daily confirmed cases, air pollution concentration and meteorological variables in 120 cities were obtained from January 23, 2020 to February 29, 2020 in China.",Two sensitivity analyses were conducted.,"Meteorological factors during the same period were controlled for the possible confounding effect, including mean temperature , relative humidity ( ℎ ), air pressure and wind speed .",2020-04-24
,2020-04-14,An effect assessment of Airborne particulate matter pollution on COVID-19: A multi-city Study in China,https://doi.org/10.1101/2020.04.09.20060137,medrxiv,Other,,,,,,"Methods: In this study, we obtained confirmed cases of COVID-19, the data of airborne ambient PM with aerodynamic diameter ≤ 2.5 μm (PM2.5) and ≤ 10 μm (PM10), ambient temperature (AT), absolute humidity (AH) and migration scale index (MSI) in 72 cities of China (excluded Wuhan city) on a daily basis, each of which confirmed more than 50 cases from January 20th to March 2nd, 2020.","Results: During the study period, there were a total of 24 939 COVID-19 cases, most of which were reported in Hubei Province.","COVID-19 was also first confirmed in winter with low temperature and low humidity, which along with small diurnal temperature range were assessed to be the most important environmental factors favoring its transmission ( . )",2020-04-17
,2020-04-14,Global COVID-19 transmission rate is influenced by precipitation seasonality and the speed of climate temperature warming,https://doi.org/10.1101/2020.04.10.20060459,medrxiv,Other,,,,,,We obtained climate parameters from several databases based on the observation area 100,We confirmed that similar conclusions were obtained at the different cut-off values 96 (using the data within 30 days starting from the date when 50 and more cases were 97 confirmed).,"Several studies predicted that high temperature and humidity could reduce COVID-19 transmission.

Global COVID-19 transmission rate is influenced by precipitation seasonality and the speed of climate temperature warming

Several studies predicted that high temperature and humidity could reduce COVID-19 13

We also confirmed that the growth rate decreased with the temperature; however, the growth rate was affected by precipitation seasonality and warming velocity rather than temperature.",2020-04-17
,2020-04-11,Two mechanisms for accelerated diffusion of COVID-19 outbreaks in regions with high intensity of population and polluting industrialization: the air pollution-to-human and human-to-human transmission dynamics,https://doi.org/10.1101/2020.04.06.20055657,medrxiv,Other,,,,,,Days 2018 2020 2020 2019 2020 2020 2020 2020 2020,"6 Some studies show that in addition to human-to-human contact, ambient temperature is an important factor in the transmission and survival of coronaviruses as well as temperature variation and humidity may also be important factors affecting the COVID-19 mortality (Ma et al., 2020) .","6 Some studies show that in addition to human-to-human contact, ambient temperature is an important factor in the transmission and survival of coronaviruses as well as temperature variation and humidity may also be important factors affecting the COVID-19 mortality (Ma et al., 2020) .

Hence, microorganisms may be influenced by interactions with ambient particles leading to the inhibition or enhancement of viability and environmental stability (e.g., tolerance to variation in seasonality, temperature, humidity, etc.).

In particular, bacteria in the atmosphere to survive must withstand and adapt to ultraviolet exposure, reduced nutrient availability, desiccation, extreme temperatures and other factors.",2020-04-17
,2020-04-10,Air Pollution Increases Influenza Hospitalizations,https://doi.org/10.1101/2020.04.07.20057216,medrxiv,Other,,,,,,Hospitalization data: We use hospital admission data from the Healthcare Cost and Utilization Project (HCUP) and focus on the inpatient data from hospital stays .,"Seasonal influenza is a global health threat, with an average of 3-5 million severe cases per year and 290,000 to 650,000 respiratory deaths (1, 2) .","Temperature and humidity has been shown to affect both virus survival (see and air pollution .

Like humidity and temperature , air pollution particles could also impact the airborne survival of viruses outside the body and thus increase the probability of disease transmission.

 We include weather controls to address the link between both influenza and weather (temperature and humidity can both influence influenza transmission rates) and weather and pollution (different climatic conditions can lead to different levels of air quality, all else held constant).

Prior research has produced two broad sets of findings to explain this variation: a) meteorological factors that affect the spread of the virus, such as temperature, sunlight and humidity ; and b) individual level host factors, such as age, sex, underlying health and smoking that affect the intensity of symptoms .",2020-04-17
,2020-04-10,"The Italian Outbreak of COVID-19: Conditions, Contributors, and Concerns",https://doi.org/10.1016/j.mayocp.2020.04.003,Mayo Clinic Proceedings,Other,,,,,,"Italy was one of the first European countries that dealt with COVID-19, with first cases detected in January 2020.","At first, the fatality rates in Italy and China were comparable, approximating 2.3%.",Higher temperature and humidity may block virus diffusion and reduce its persistence in the air and on the objects.,2020-04-24
,2020-04-08,"Susceptibility of ferrets, cats, dogs, and other domesticated animals to SARS–coronavirus 2",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7164390/,Science,Other,,,,,,"Two viruses [SARS-CoV-2/F13/environment/2020/Wuhan, isolated from an environmental sample collected in the Huanan Seafood Market in Wuhan (F13-E), and SARS-CoV-2/CTan/human/2020/Wuhan (CTan-H), isolated from a human patient] were used in this study.","As of March 11, 2020, SARS-CoV-2 infections have been reported in more than 100 countries, and 118,326 human cases have been confirmed, with 4,292 fatalities (18).",The ambient conditions were set at 20-22℃and 30%-40% relative humidity.,2020-04-24
,2020-04-07,Susceptible supply limits the role of climate in the COVID-19 pandemic,https://doi.org/10.1101/2020.04.03.20052787,medrxiv,Modeling,,,,,,"For comparison, we show the relationship between specific humidity and SARS-CoV-2 in Wuhan, China during the first 9 weeks of 2020.",Our fitted values for a are -32.5 and -227.5 for OC43 and HKU1 respectively.,"Studies using a regression framework have found a role for temperature, relative humidity and specific humidity in the transmission of SARS-CoV-2 , suggesting that cold, dry conditions increase the transmission of the virus.

In the extreme cases, transmission (R 0 ) either rapidly declines as specific humidity increases or has no relationship with specific humidity.",2020-04-10
,2020-04-06,A Novel Methodology for Epidemic Risk Assessment: the case of COVID-19 outbreak in Italy,https://doi.org/,ArXiv,Other,,,,,,"2020 , Pepe 2020 The Guardian 2020, Teralytics 2020).","6 , three sequences of the geographic distribution of the total cases (a), total number of deaths (b) and actual intensive care occupancy (c) as a function of time, from March 9, 2020 to April 2, 2020.", report that a low temperature and low humidity environment may facilitate the virus transmission in subtropical areas during the spring and in air-conditioned environments.,2020-05-12
,2020-03-27,Climate affects global patterns of COVID-19 early outbreak dynamics,https://doi.org/10.1101/2020.03.23.20040501,medrxiv,Modeling,,,,,,"The datafile 5 considered for the analyses was downloaded on March 19, 2020, and included confirmed Covid-19 cases until March 18, 2020.","Results were highly consistent if we calculated growth rates after minimum thresholds of 25 or 100 cases (r 25 and r 100 , 15 respectively) instead of 50 (Tables S3 and S5 ).","We considered two climatic variables that are known to affect the spread of viruses: mean air 15 temperature and vapor pressure, which is a measure of absolute humidity.",2020-04-03
