,Date,Study,Study Link,Journal,Study Type,Material,Method,Property 1,Property 2,Conclusion,Measure of Evidence,Added on,Study Population,Sample Text,Matches,Entry
,2020-06-15,The cardiovascular burden of coronavirus disease 2019 (COVID-19) with a focus on congenital heart disease,https://doi.org/10.1016/j.ijcard.2020.03.063,International Journal of Cardiology,Other,,,,,,,,"Abstract Coronavirus disease 2019 (COVID-19), caused by a novel betacoronavirus severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), was first described in a cluster of patients presenting with pneumonia symptoms in Wuhan, China, in December of 2019.","Based on a single epidemiological study of 2143 pediatric patients evaluated and treated for COVID-19, there were 731 cases confirmed via RT-PCR testing .",The virus can remain viable as an aerosol for up to 3 h and on certain surfaces for up to 72 h .,2020-05-01
,2020-05-31,Dermatology practices as vectors for COVID-19 transmission: A call for immediate cessation of nonemergent dermatology visits,https://doi.org/10.1016/j.jaad.2020.03.037,Journal of the American Academy of Dermatology,Other,,,,,,,,"In this issue of the JAAD, Lan et al1 report on occupational dermatitis in health care workers managing patients with COVID-19.","3 Indeed, fever was only present in 43.9% of 7736 patients at the time of hospital admission with COVID-19 in a study of 552 hospitals in mainland China.",4 Emerging research also suggests that COVID-19 viral particles remain viable in aerosol for several hours and can survive several days on multiple surfaces.,2020-04-17
,2020-05-08,Characterisation of COVID-19 Pandemic in Paediatric Age Group: A Systematic Review,https://doi.org/10.1016/j.jcv.2020.104395,Journal of Clinical Virology,Systematic review,,,,,,,,Methods Articles published up to the 2nd April 2020 in PubMed and google Scholar were considered for this study.,described eight critically/severely ill patients who were admitted to the ICU.,It was found that the virus remains viable in aerosol particles for up to 3 hours with a median half-life of 1.,2020-05-12
,2020-05-07,SARS-CoV-2: air/aerosols and surfaces in laboratory and clinical settings,https://doi.org/10.1016/j.jhin.2020.05.001,Journal of Hospital Infection,Other,,,,,,,,"Lately, another study by Liu et al probed the aerodynamics of SARS-CoV-2 at hospitals in Wuhan, China 7 .","Later, to extend the cohort of the study, Guo et al included 39 patients in a COVID-19-specialised hospital in Wuhan, China, with 15 in the intensive care unit (ICU) and 24 in a general ward 45 .",SARS-CoV-2 retained viability in aerosols for up to 3 hours while it stayed viable on different surfaces for longer periods ranging from 4 to 72 hours.,2020-05-12
,2020-05-06,Cardiological Society of India: Document on Acute MI care during COVID-19,https://doi.org/10.1016/j.ihj.2020.04.009,Indian Heart Journal,Other,,,,,,,,"If hospitals are overwhelmed with COVID -19 patients , the feasibility of timely primary PCI will be a challenge and situation should be dealt in accordance with available resources.","If hospitals are overwhelmed with COVID -19 patients , the feasibility of timely primary PCI will be a challenge and situation should be dealt in accordance with available resources.","Fomites also play a role in transmission with the virus remaining viable in cardboard for 24 hours, on plastic and steel for 3 days.",2020-05-12
,2020-05-06,Sustainability of Coronavirus on different surfaces,https://doi.org/10.1016/j.jceh.2020.04.020,Journal of Clinical and Experimental Hepatology,Other,,,,,,,,"Graphs for both SARS-CoV-2 and SARS-CoV-1 are confined from 1 to Stainless Steel, 4-Copper and 5-Cardboard.",Around ten experiments with different conditions involving the above two viruses were done for five different environmental conditions.,"This virus can contaminate on different metal surfaces and stay on them from hours to days, with a maximum span on plastic and stainless and least on the copper surface.",2020-05-12
,2020-05-04,Recommendations for prevention and management of COVID-19 in peritoneal dialysis patients,https://doi.org/10.1016/j.cdtm.2020.04.003,Chronic Diseases and Translational Medicine,Other,,,,,,,,"The WHO characterized COVID-19 as a pandemic on March 11, 2020.","As of 18 March, 2020, there are 191127 confirmed cases and 7807 deaths globally, including 81116 confirmed infections with 3231 deaths in China.","As the virus can remain viable and infectious in aerosols for hours and on surfaces for up to days, it is indicated that aerosol and fomite transmission of SARS-CoV-2 is plausible.",2020-05-12
,2020-05-04,What makes a foodborne virus: comparison between coronaviruses with human noroviruses,https://doi.org/10.1016/j.cofs.2020.04.011,Current Opinion in Food Science,Other,,,,,,,,"Since molecular methods underestimate largely the infectivity decrease of viruses, we only included data generated with the use of cell culture based methods or from human volunteer studies.","Mussels 2017, Spain Thirty-nine people were sick after consuming mussels contaminated with NoV First outbreak: 8 faecal samples from symptomatic individuals and coleslaw samples were positive for NoV GII.","SARS-CoV-2 at 21 to 23°C and 40% relative humidity (RH): more stable on plastic (3.1-log reduction after 3 days) and stainless steel (3.1-log reduction on plastic after 2 days) than on copper and cardboard, and viable virus was detected up to 3 days after application to these surfaces.",2020-05-12
,2020-05-04,Protecting against COVID-19 aerosol infection during intubation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7199771/,J Chin Med Assoc,Other,,,,,,,,"The novel coronavirus was first reported in Wuhan, China, in late December of 2019.",,Recently it has been reported that the virus responsible for COVID-19 can be viable in aerosols for up to 3 hours and remain detectable on plastic and stainless steel surfaces for approximately 72 hours.,2020-05-12
,2020-05-01,Rising to the Challenge of COVID-19: Advice for Pulmonary and Critical Care and an Agenda for Research,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193856/,Am J Respir Crit Care Med,Other,,,,,,,,These findings are similar to those of a retrospective Chinese series on 54 patients who died in hospital (out of 191 admitted) .,These findings are similar to those of a retrospective Chinese series on 54 patients who died in hospital (out of 191 admitted) (4).,"In experimental studies, SARS-CoV-2 can remain viable in aerosols for hours and on surfaces for days, making aerosol and environmental spread possible .

In experimental studies, SARS-CoV-2 can remain viable in aerosols for hours and on surfaces for days, making aerosol and environmental spread possible .",2020-05-12
