,Date,Study,Study Link,Journal,Result,Study Type,Measure of Evidence Strength,Sample (n),Study Population,Sample Text,Matches,Entry
,2020-08-01,"Inter nation social lockdown versus medical care against COVID-19, a mild environmental insight with special reference to India",https://doi.org/10.1016/j.scitotenv.2020.138914,Science of The Total Environment,,Other,,100,"This was reported by WHO up-to February 20, 2020.","Clinical administration of this drug to several hundred COVID-19 positive patients in USA, Europe, and Japan resulted into satisfactory recovery rate.",A strong innate immune system is induced by the host cells.,2020-05-12
,2020-06-30,COVID-19: Immunology and treatment options,https://doi.org/10.1016/j.clim.2020.108448,Clinical Immunology,,Other,,85,It was first used successfully in a COVID-19 patient in January 2020 .,"The third study reported significant leukopenia (11.8%), lymphopenia (77.6%), thrombopenia (41.2%), anemia (48.2%), hypofibrinogenemia (22.4%), and hypo-albuminemia (78.8%) in a cohort of 85 patients who died from COVID-19 .","2 ) Activation and priming of innate and adaptive immune responses should result in pathogen clearance and recovery.

The previously discussed mechanisms of infection, immune evasion, and dysregulation of innate and adaptive immune responses cause significant concern for and among patients on systemic immune modulating treatments, including patients with malignant or systemic autoimmune/inflammatory diseases.

), adaptive immune cells become involved in the host's defense against viral infections.

As is true for a number of systemic autoimmune/inflammatory conditions, uncontrolled activation of immune responses is (likely) not limited to the innate mechanisms.

Indeed, immune evasion through the suppression of anti-viral responses and T1IFN expression in respiratory epithelia results in high viral loads .",2020-05-01
,2020-05-31,Influence of immune aging on vaccine responses,https://doi.org/10.1016/j.jaci.2020.03.017,Journal of Allergy and Clinical Immunology,,Other,,75,37 Below we discuss the current literature on primary and recall vaccination responses during aging.,75 Other studies have found vaccine efficacies against invasive pneumococcal disease ranging from 45% to 73%.,"Because T cells more specifically mediate influenza and herpes zoster protection, we will examine these vaccine responses independently and attempt to integrate what we know about their B-cell and T-cell responses into a collective understanding of the capacity of the aging adaptive immune system to mount recall responses.",2020-05-12
,2020-05-31,Viroporins and inflammasomes: A key to understand virus-induced inflammation,https://doi.org/10.1016/j.biocel.2020.105738,The International Journal of Biochemistry & Cell Biology,,Other,,,"International Journal of Biochemistry and Cell Biology 122 105738 et al., 2010) .","International Journal of Biochemistry and Cell Biology 122 (2020) 105738 et al., 2010) .",Production of these cytokines is essential for activation of the whole immune response against the viral infection.,2020-05-12
,2020-05-06,Better prepare for the next one. Lifestyle lessons from the COVID-19 pandemic,https://doi.org/10.1016/j.phanu.2020.100193,PharmaNutrition,,Other,,3500,Lifestyle lessons from the COVID-19 pandemic,"It is clear that the scientific knowledge accumulated during these years has not been useful in avoiding the current SARS-CoV-2 (COVID-19) pandemic, either by not providing the necessary solutions or because the rulers, whose responsibility is to protect health and well-being of their people, have not been aware of some useful information likely disseminated among the aforementioned 3,500 publications.","This includes modulating the response of the immune system through activation of innate immune responses, considering that personal genetic profiles affect immune variables.",2020-05-12
,2020-05-04,Design of a peptide-based subunit vaccine against novel coronavirus SARS-CoV-2,https://doi.org/10.1016/j.micpath.2020.104236,Microbial Pathogenesis,,Modeling,,,The protein sequences of SARS-CoV-2 were retrieved from the NCBI database ( for subunit vaccine development (Table 1 ) .,A total of six highest immunogenic epitopes of 15-mer 8 were selected based on their percentile rank and IC 50 values.,"B-cells are the main components of humoral immunity during the adaptive immune response that produces antibodies, which recognize antigens.

Helper T-lymphocytes are the key players of the adaptive immune response.",2020-05-12
,2020-05-04,Trained immunity: a tool for reducing susceptibility and severity of SARS-CoV-2 infection,https://doi.org/10.1016/j.cell.2020.04.042,Cell,,Other,,1000,"Since the first reports of cases in Wuhan, SARS-CoV-2 spread rapidly throughout the world and on March 11 th 2020 the World Health Organization (WHO) declared the coronavirus outbreak a pandemic.","Millions of people have been already infected, and more than one hundred thousand individuals have died.","It can thus be postulated that when someone with a potent immune response encounters the SARS-CoV-2 virus, a strong activation of local innate and adaptive immune responses keeps viremia under control, leading to low systemic inflammation and recovery.

These data therefore suggest that an exuberant innate immune response in the later part of the disease is the main immune dysregulation in patients with severe, but not mild, COVID-19 infection.

Innate immune responses are the first line of defense against invading pathogens.

Viral entry and cell infection trigger the host's immune response, and an inflammatory cascade is initiated by innate immune cells.

Trained immunity is defined as an enhanced innate immune response to different pathogens, after an initial challenge such a vaccination or infection.

Long-term boosting of innate immune responses, also termed ‘trained immunity’, by certain live vaccines (BCG, oral polio vaccine, measles) induces heterologous protection against infections, through epigenetic, transcriptional and functional reprogramming of innate immune cells.

For a long time, it was believed that only cells of the adaptive immune system can mount immunological memory, and protect against recurrent infections.

We therefore argue that induction of innate immune reprogramming (trained immunity) before infection may be a rational approach for boosting antiviral responses and thus preventing infection.",2020-05-12
,2020-05-03,Detection of SARS-CoV-2-specific humoral and cellular immunity in COVID-19 convalescent individuals,https://doi.org/10.1016/j.immuni.2020.04.023,Immunity,,Other,,10,All patient data were anonymized before study inclusion.,"In our study, production of S-RBD-specific antibodies were readily detected in recovered 10 patients.","However, there is very limited understanding on the immune responses, especially adaptive immune responses to SARS-CoV-2 infection.

Of note, patients #1, 2, 4, 5 and 8 developed both strong humoral and cellular 1 immune responses.",2020-05-12
,2020-05-03,Crucial Inflammatory Mediators and Efficacy of Drug Interventions in Pneumonia Inflated COVID-19: An Invivo Mathematical Modelling Study,https://doi.org/,ArXiv,,Modeling,,2,"Motivated by these facts, in this paper, we study the invivo dynamics of Covid-19.",There are two cases that we need to consider here.,"Drug intervention to boost immune response: The innate immune response that is inherent in the human body is the first to counter and reduce the growth of infected cells and viral load.

The purpose of drug interventions can be two fold, the first to target the virus replication cycle and the second based on immunotherapy approaches either aimed to boost innate antiviral immune responses or alleviate damage induced by dysregulated inflammatory responses.",2020-05-12
,2020-05-02,PSGL-1 blocks SARS-CoV-2 S protein-mediated virus attachment and infection of target cells,https://doi.org/10.1101/2020.05.01.073387,biorxiv,,Other,,,  Data availability All data generated or analyzed during this study are included in this article and its extended data file.,"Cells were pretreated with Infectin II (kindly provided by Virongy) for 1 hour at 37°C, and then infected for 5 hours.","In addition to the adaptive arm of the host immune response, viral infections trigger an innate immune response, largely induced by IFN, that sets up an antiviral state.",2020-05-12
