,Date,Study,Study Link,Journal,Study Type,Sample Size,Age,Sample Obtained,Serial Interval (days),Characteristic Related to Question 2,Excerpt,Added on,Study Population,Sample Text,Matches,Entry
,2020-05-06,Time-adjusted Analysis Shows Weak Associations Between BCG Vaccination Policy and COVID-19 Disease Progression,https://doi.org/10.1101/2020.05.01.20087809,medrxiv,Modeling,200.0,,,,,,,"The data set covers reports from 266 countries from January 22, 2020 until April 13, 2020.",Italy served as the reference with a threshold of 200 cases (threshold chosen was always at least 10).,"The infectiousness is approximated by the distribution of the serial interval, which is defined as the time between the onset of symptoms of a case and the onset of symptoms of secondary cases infected by the primary case.",2020-05-12
,2020-05-02,Chinese effective control and other countries uncharted challenge against COVID-19: an epidemiological and modelling study,https://doi.org/10.1101/2020.04.28.20083899,medrxiv,Modeling,126.0,,,,,,,"Methods: We used data from Jan 20, 2019, to Feb 29, 2020, on the number of newly confirmed cases, obtained from the reports published by the CDC, to infer the incidence of infectious over time.","Results: Based on a total of 126 index-secondary cases pairs from 4 international regions, we estimated that the serial interval for SARS-2-CoV was 4.18 (IQR 1.92 − 6.65) days.","Second, 126 infector-infected pairs of confirmed cases characteristics were described, including age, gender and the relationship between infectors and the infected.",2020-05-12
,2020-05-01,"Modeling Return of the Epidemic: Impact of Population Structure, Asymptomatic Infection, Case Importation and Personal Contacts",https://doi.org/10.1101/2020.04.26.20081109,medrxiv,Modeling,10.0,,,,,,,"Methods: we built a modified Susceptible-exposed-Infectious-Removed (SEIR) model with parameters mirroring those of the COVID-19 pandemic and reported simulated characteristics of epidemics for incidence, hospitalizations and deaths under different scenarios.","We assume only one imported young exposed case every two days for 20 days (i.e., 10 imported cases).",The serial interval is the average duration between the infectious point (often symptom onset) of the index case and the symptom onset (or diagnosis) of secondary cases.,2020-05-12
,2020-04-30,Inferred duration of infectious period of SARS-CoV-2: rapid scoping review and analysis of available evidence for asymptomatic and symptomatic COVID-19 cases,https://doi.org/10.1101/2020.04.25.20079889,medrxiv,Systematic review,201.0,,,,,,,"Literature review with fixed search terms, up to 1st April 2020.",tracked infections of close contacts to infected persons and considered 201 patients asymptomatic at time of diagnosis.,"Furthermore, the author's 333 estimate using a separate infector-infectee dataset (n=77) that 44% (95% CI: 25-69%) of infectee 334 cases were infected during the pre-symptomatic stage of the infector.",2020-05-12
,2020-04-28,Strong correlations between power-law growth of COVID-19 in four continents and the inefficiency of soft quarantine strategies,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7192349/,Chaos,Modeling,3.4,,,,,,,Data were collected from the situation reports published daily by the World Health Organization (WHO).,"Very high asymptotic values of infected individuals are reached, 3.4×107 cases for Brazil and 5.9×107 cases for USA.", T serial = 7.5 days: mean serial interval.,2020-05-12
,2020-04-27,COVID-19 serial interval estimates based on confirmed cases in public reports from 86 Chinese cities,https://doi.org/10.1101/2020.04.23.20075796,medrxiv,Other,556.0,,,,,,,"We obtained publicly available data from 264 cities in mainland China on 9,120 reported COVID-19 infection events, which were accessible online as of February 19, 2020 .","Of the 556 unique cases in the dataset, 1.3%, 2.2%, 51.08%, 32.01% and 13.49% were ages 0-4, 5-17, 18-49, 50-64, and over 65 years, respectively.",Negative values suggest that the infectee developed symptoms before the infector.,2020-05-01
,2020-04-24,The impact of changes in diagnostic testing practices on estimates of COVID-19 transmission in the United States,https://doi.org/10.1101/2020.04.20.20073338,medrxiv,Modeling,0.8,,,,,,,"Daily data on the reported number of positive and negative tests for COVID-19 in the US and by state were downloaded from www.covidtracking.com on April 18, 2020 .",(D) The testing ratio decreases from 0.8 individuals per case to 0.2 individuals per case on day 40.,"where r is the growth rate, V is the serial interval (also known at the generation interval), and f is the proportion of the serial interval spent in the latent period.",2020-05-01
,2020-04-23,"Epidemiological characteristics of the first 53 laboratory-confirmed cases of COVID-19 epidemic in Hong Kong, 13 February 2020",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7189647/,Euro Surveill,Case series,53.0,,,,,,,METHODS: We extracted data of confirmed COVID-19 cases and their close contacts from the publicly available information released by the Hong Kong Centre for Health Protection.,"As at 13 February 2020, there were 53 cases reported by the CHP.","For serial intervals, the estimation was based on infector-infectee paired data (thereafter denoted as 'paired data').

Serial interval, was the time elapsed between symptom onsets of two successive generations of cases (Figure 1) .

Serial interval, was the time elapsed between symptom onsets of two successive generations of cases ( Figure 1 ) .",2020-05-12
,2020-04-21,Epidemiology of COVID-19,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7195982/,Turk J Med Sci,Retrospective observational,8.0,,,,,,,"According to a study about analyzing of 38 pregnant women with COVID-19, there were no signs of intrauterine transmission of SARS CoV-2 from mothers to their fetuses .","In a familial cluster, 3 of 8 laboratory-confirmed patients were asymptomatic .","found that a serial interval was 5.7 days (95% CI, 3.8–8.9 days) .

found that a serial interval was 5.7 days (95% CI, 3.8-8.9 days) .",2020-05-12
,2020-04-20,Data Driven Modeling of Projected Mitigation and Suppressing Strategy Interventions for SARS-COV 2 in Ghana,https://doi.org/,ArXiv,Modeling,6774.0,,,,,,,Data on mitigation and suppression were gathered from publicly available data of the ongoing COVID -19 epidemic.,"The ""Business as usual"" scenario projection (Figure 2 , Table 5 ) transmission ranges from 6,774 to 55,436 transmission cases with modal value of 6, 845 cases projected for 30 days in Ghana if mass testing of affected areas are carried out.","where 0 R is the transmission rate,  exponential growth rate,  is mean serial interval,  is the standard deviation of the serial interval, 1/a is latent period and 1/b the infectious period.",2020-05-01
