,Date,Study,Study Link,Journal,Study Type,Method,R0,Other,Measure of Evidence,Added on
0,2020-05-14,Tracking R of COVID-19: A New Real-Time Estimation Using the Kalman Filter,https://doi.org/10.1101/2020.04.19.20071886,medRxiv,Simulation,SIR model + Kalman Estimator,2.67 (95% CI: 1.96–3.44),"Effective reproduction number (Rt) in Italy, China, US < 1 (at May 5)",countries: 124 countries across the world,2020-05-15
1,2020-04-27,Estimating the impact of mobility patterns on COVID-19 infection rates in 11 European countries,https://doi.org/10.1101/2020.04.13.20063644,medRxiv,Simulation,Bayesian Approach,R0 (mean at 29 March): Austria 0.30; Belgium 0.46; Denmark 1.30; France 0.27;  Germany 0.52; Italy 0.19; Norway 0.81; Spain 0.26; Sweden 2.02; Switzerland 0.47; United Kingdom 0.53,,"countries: Austria, Belgium, Denmark, France,  Germany, Italy, Norway, Spain, Sweden, Switzerland, United Kingdom",2020-05-15
2,2020-04-24,The impact of changes in diagnostic testing practices on estimates of COVID-19 transmission in the United States,https://doi.org/10.1101/2020.04.20.20073338,medRxiv,Simulation,Poisson Regression,"3.45 (95% CI 3.44, 3.46)",-,countries: United States,2020-05-02
3,2020-04-22,"A Bayesian analysis of the total number of cases of the COVID 19 when only a few data is available. A case study in the state of Goias, Brazil",https://doi.org/10.1101/2020.04.19.20071852,medRxiv,Simulation,Bayesian Approach,,Outbreak peak is between 51 and 68 days after the beginning; prevalence rate is around 4.53 per 10000 inhabitants,countries: Brazil,2020-05-12
4,2020-04-22,Modeling the COVID-19 epidemic in Okinawa,https://doi.org/10.1101/2020.04.20.20071977,medRxiv,Simulation,SEIR Model,2.5,-,countries: Japan,2020-05-02
5,2020-04-17,Epidemic Landscape and Forecasting of SARS-CoV-2 in India,https://doi.org/10.1101/2020.04.14.20065151,medRxiv,Simulation,SIRD,1.85,-,countries: India,2020-05-02
6,2020-04-14,A Bayesian Logistic Growth Model for the Spread of COVID-19 in New York,https://doi.org/10.1101/2020.04.05.20054577,medRxiv,Simulation,Bayesian logistic regression,infection rate mean: 0.23; SD = 0.1; 95% HDIs: 0.21; 0.25,,countries: United States,2020-05-15
7,2020-04-14,"COVID-19 in India: Predictions, Reproduction Number and Public Health Preparedness",https://doi.org/10.1101/2020.04.09.20059261,medRxiv,Simulation,Mathematical Model,2.56,-,countries: India,2020-05-02
8,2020-04-11,Outbreak dynamics of COVID-19 in China and the United States,https://www.medrxiv.org/content/10.1101/2020.04.06.20055863v2,Biomechanics and Modeling in Mechanobiology,Simulation,SEIR Model,"12.58 ± 3.17 (China), 5.30 ± 0.95 (US)","Latent period=2.56 ± 0.72, infectious period=17.82 ± 2.95","countries: China, United States",2020-04-25
9,2020-04-10,"Predicting the number of reported and unreported cases for the COVID-19 epidemics in China, South Korea, Italy, France, Germany and United Kingdom",https://doi.org/10.1101/2020.04.09.20058974,medRxiv,Simulation,Mathematical Model,,"Size of reported and unreported cases are respectively Feb.6 − 7, 67 000 − 69 000 and 45 000 − 46 000 for China, Feb.29−Mar.1, 9 000 − 9 400 and 2 250 − 2 350 for South Korea, Mar.24 − 26, 156 000 − 177000, and 234 000 − 265 000 for Italy, Mar.30−Apr.9, 104 000 − 212 000, and 177 000 − 318 000 for France, Mar.30−Apr.20, 141 000 − 912 000, and 197 000 − 1 369 000 for Germany, Apr.1−May12, 140 000 − 473 000, and 210 000 − 709 000 for United","countries: China, South Korea, Italy, France, Germany and United Kingdom",2020-05-15
10,2020-04-10,COVID-19 UK Lockdown Forecasts and R0,https://doi.org/10.1101/2020.04.07.20052340,medRxiv,Simulation,Metropolis-Hastings,"5.81 (95% CI 5.08, 6.98)",-,countries: United Kingdom,2020-05-10
11,2020-04-06,Monitoring Italian COVID-19 spread by an adaptive SEIRD model,https://doi.org/10.1101/2020.04.03.20049734,medRxiv,Simulation,SEIRD,R0 (at 31 days): Lombardia 3.9;  Emilia Romagna 4.8,,countries: Italy,2020-05-15
