,Date,Study,Study Link,Journal,Study Type,Material,Method,Days After Onset/Admission (+) Covid-19 Presence (maximum unless otherwise stated),Property 2,Conclusion,Measure of Evidence,Added on,Study Population,Sample Text,Matches,Entry
,2020-06-30,Epidemiology and clinical features of COVID-19: A review of current literature,https://doi.org/10.1016/j.jcv.2020.104357,Journal of Clinical Virology,Other,,,,,,,,Evaluation of all positive cases from mainland China showed 3.8 % being from healthcare workers (1716/44672) .,tested 445 people that were in close contact (at least 6 feet from the source for a minimum of 10 min) with 10 COVID-19-confirmed patients.,COVID-19 RNA viral shedding persists for about 18 days (by nasopharyngeal swab) or 19 days (via feces) .,2020-05-12
,2020-04-30,Inferred duration of infectious period of SARS-CoV-2: rapid scoping review and analysis of available evidence for asymptomatic and symptomatic COVID-19 cases,https://doi.org/10.1101/2020.04.25.20079889,medrxiv,Systematic review,,,,,,,,"Literature review with fixed search terms, up to 1st April 2020.",tracked infections of close contacts to infected persons and considered 201 patients asymptomatic at time of diagnosis.,"Positive 343 cultures were found from day 3-8 post-symptom onset ( Figure 5 ), and the minimum 5% isolation 344 success was achieved up to 9.8 (95% CI: 8.5-21.8) days post onset from throat and lung samples but 345 not faeces, blood or urine.",2020-05-12
,2020-04-27,Impact of contact tracing on SARS-CoV-2 transmission,https://doi.org/10.1016/s1473-3099(20)30357-1,The Lancet Infectious Diseases,Modeling,,,,,,,,"To dissect the drivers of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) transmission, the authors modelled PCR-confirmed infections in 391 cases and 1286 of their close contacts from Jan 14 to Feb 12, 2020.","To dissect the drivers of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) transmission, the authors modelled PCR-confirmed infections in 391 cases and 1286 of their close contacts from Jan 14 to Feb 12, 2020.","6 Viral shedding studies and epidemiological investigations suggest that in the household, around 40% of transmission occurs before symptom onset, the live virus is shed for at least 1 week after symptom onset, and there is high shedding in asymptomatic individuals.",2020-05-01
,2020-04-22,Persistent viral shedding of SARS-CoV-2 in faeces - a rapid review,https://doi.org/10.1101/2020.04.17.20069526,medrxiv,Systematic review,,,,,,,,Medline was searched to find articles published until 3 April 2020.,A total of 824 patients were included across the studies and 540 were tested for faecal viral RNA .,"The duration for faecal shedding of viral RNA after clearance of respiratory samples ranged from 1 to 33 days and in 1 patient up to 47 days from symptom onset .

The duration of viral shedding in the faeces is mostly reported from 1 to 33 days after a negative nasopharyngeal swab but can continue for up to 47 days after onset of symptoms in patients with COVID-19.",2020-05-12
,2020-04-19,Profile of RT-PCR for SARS-CoV-2: a preliminary study from 56 COVID-19 patients,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7188124/,Clin Infect Dis,Other,,,,,,,,"At the end of follow-up, all patients recovered and were discharged from hospital.",A total of 56 patients diagnosed as COVID-19 were included in this study.,We found virus shedding was up to 6 weeks after onset of symptoms.,2020-05-12
,2020-04-09,Factors associated with prolonged viral RNA shedding in patients with COVID-19,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7184421/,Clin Infect Dis,Retrospective observational,,,,,,,,"Clinical characteristics, treatments and outcome data were obtained from electronic medical records.","As of Feb 19, a total of 161 confirmed patients were admitted to the two hospitals.",The median duration of viral RNA shedding for these 84 patients was 15 days.,2020-05-12
,2020-04-06,Epidemiology and clinical features of coronavirus disease 2019 in children,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7170785/,Clin Exp Pediatr,Case series,,,,,,,,"A study reported 20 pediatric COVID-19 patients admitted to the Wuhan Children’s Hospital in China between January 23 and February 8, 2020.","By March 11, 2020, 167 patients were confirmed to have COVID-19, 6 (3.6%) of whom were children who were 6 months, 1 year, 2 years, 5 years, 12 years, and 17 years of age.","Prolonged shedding of viral RNA in the feces was observed for 18–30 days in 5 patients .

Prolonged shedding of viral RNA in the feces was observed for 18-30 days in 5 patients.",2020-05-01
,2020-04-06,"Virologic and clinical characteristics for prognosis of severe COVID-19: a retrospective observational study in Wuhan, China",https://doi.org/10.1101/2020.04.03.20051763,medrxiv,Retrospective observational,,,,,,,,"All of the studied adult patients with COVID-19 infection were hospitalized on February 9, 2020.","Fifty patients with COVID-19 were enrolled in this study on February 9, 2020.","As of March 17, 2020, the median duration of viral shedding was 31 days (IQR, 27-34 days) after symptom onset, and the longest duration of viral shedding was 57 days ( Figure 1A ).

The longest viral shedding was 57 days after symptom onset.",2020-04-10
,2020-03-31,Review article: gastrointestinal features in COVID‐19 and the possibility of faecal transmission,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7161803/,Aliment Pharmacol Ther,Retrospective observational,,,,,,,,We included data on COVID-19 patients who have confirmed in case reports and retrospective clinical studies relating to the digestive system that were published in English or Chinese from the end of December 2019 to the end of February 2020.,All of the nine patients had a history of exposure to confirmed or suspected SARS‐CoV‐2‐infected patients and were confirmed by the throat swab test after screening.,Faecal excretion persisted after sputum excretion in 23% (17/73)‐82% (54/66) patients for 1‐11 days.,2020-04-24
,2020-03-31,An evidence-based framework for priority clinical research questions for COVID-19,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7125419/,PMC,Systematic review,,,,,,,,METHODS: Three bibliographic databases were searched to identify clinical studies published on SARS-CoV and MERS-CoV in the outbreak setting.,"The first aggregated patient data comes from a publication by Chaolin Huang and colleagues, who described clinical features of 41 admitted hospital patients, 6 of whom died.","However, one patient showed viral shedding in saliva up to 11 days .",2020-04-10
,2020-03-30,Virus shedding patterns in nasopharyngeal and fecal specimens of COVID-19 patients,https://doi.org/10.1101/2020.03.28.20043059,medrxiv,Other,,,,,,,,we focused on comparative analysis of virus dynamics between the upper respiratory and feces specimens in the COVID-19 patients.,"A total of 66 upper respiratory swabs, 51 feces, 56 urine and 56 plasma samples were sequentially collected from 23 patients in a designated hospital.","In addition, the median duration of virus shedding was 10.0 days (IQR 8.0 to 17.0) in the upper respiratory swabs, but was 22.0 days (IQR 15.5 to 23.5) for the feces.",2020-04-03
,2020-03-26,The COVID-19 pandemic: implications for the cytology laboratory,https://doi.org/10.1016/j.jasc.2020.03.001,Journal of the American Society of Cytopathology,Other,,,,,,,,"Notwithstanding our imperfect understanding of the SARS-CoV-2 infection, we can summarize what we know from the current COVID-19 outbreak in China and the lessons from other outbreaks of severe respiratory diseases caused by coronaviruses.","20 MERS has a much higher case fatality rate (about 35% for the 2500 patients with clinical infections 21, 22 ).","Survivors had a median duration of viral shedding of 20 days, but viral shedding continued until death in fatal cases.",2020-04-17
,2020-03-21,Comparisons of viral shedding time of SARS-CoV-2 of different samples in ICU and non-ICU patients,https://doi.org/10.1016/j.jinf.2020.03.013,Journal of Infection,Other,,,,,,,,"We analyzed a total of thirty-two COVID-19 patients admitted to Central Hospital of Xiangtan from January to February, 2020.","We analyzed a total of thirty-two COVID-19 patients admitted to Central Hospital of Xiangtan from January to February, 2020.","1 (A) , the viral shedding (from positive to negative) time of SARS-CoV-2 of nasal swab was significantly longer than that of blood ( p = 0.0 0 0) and saliva ( p = 0.05).

For blood, the viral shedding time was 10.17 ±6.13 and 14.63 ±5.88 days in non-ICU and ICU patients respectively.",2020-04-24
,2020-03-06,Restoration of leukomonocyte counts is associated with viral clearance in COVID-19 hospitalized patients,https://doi.org/10.1101/2020.03.03.20030437,medrxiv,Other,,,,,,,,"The role of leukomonocytes in viral clearance of COVID-19 patients is not yet well defined.Methods: From January 26 to February 28, 2020, an observational study was launched at Zhongnan Hospital of Wuhan University, Wuhan, China.","We enrolled 25 laboratory-confirmed COVID-19 patients, whose throat-swab specimens were tested positive for SARS-CoV-2 infection by qRT-PCR.",the shedding of SARS-CoV-2 in saliva continued up to 11 days .,2020-03-27
,2020-02-28,A Case Series of children with 2019 novel coronavirus infection: clinical and epidemiological features,https://doi.org/10.1093/cid/ciaa198,Clin Infect Dis,Case series,,,,,,,,"Between 19 January and 3 February, 2020, a total of ten children with confirmed 2019-nCoV infection were admitted to the Children's Hospital in Shanghai, Hainan, Hefei in Anhui province, and Qingdao in Shandong province.","Between 19 January and 3 February, 2020, a total of ten children with confirmed 2019-nCoV infection were admitted to the Children's Hospital in Shanghai, Hainan, Hefei in Anhui province, and Qingdao in Shandong province.",Prolonged virus shedding is observed in respiratory tract and feces at the convalescent stage.,2020-04-10
,2020-02-12,Consistent Detection of 2019 Novel Coronavirus in Saliva,https://doi.org/10.1093/cid/ciaa149,Clin Infect Dis,Other,,,,,,,,"In December 2019, a SARS-CoV-like coronavirus, the 2019 novel coronavirus (2019-nCoV), has emerged in Hubei Province of China and has spread rapidly in mainland China and to other parts of the world .",A total of 12 patients with laboratory-confirmed 2019-nCoV infection in Hong Kong were included.,"For patient B, viral shedding in saliva was still detected on day 11 after hospitalization.",2020-04-10
0,2020-03-26,Viral Kinetics and Antibody Responses in Patients with COVID-19,https://doi.org/10.1101/2020.03.24.20042382,medRxiv,Prospective Cohort,Blood,qRT-PCR confirmed,-,-,Only 5.7% plasma samples positive; blood is not a major shedding route,patients: 67,04/08/2020,,,,
1,2020-03-11,Comparisons of nucleic acid conversion time of SARS-CoV-2 of different samples in ICU and non-ICU patients,https://www.journalofinfection.com/article/S0163-4453(20)30139-0/fulltext,Journal of Infection,Retrospective Analysis,Blood,RT-PCR confirmed,median: 10.17±6.134 (non-ICU); median: 14.63±5.878 (ICU),-,Positive rate in blood = 87.5% (7/8) in ICU and 66.7% (16/24) in non-ICU,patients: 32,04/13/2020,,,,
2,2020-03-03,Epidemiologic Features and Clinical Course of Patients Infected With SARS-CoV-2 in Singapore,https://doi.org/10.1001/jama.2020.3204,JAMA,Descriptive case series,Blood,RT-PCR confirmed,-,-,Only 8% blood samples positive,patients: 12,04/08/2020,,,,
3,2020-02-04,Molecular and serological investigation of 2019-nCoV infected patients: implication of multiple shedding routes,https://www.tandfonline.com/doi/full/10.1080/22221751.2020.1729071,Emerging Microbes & Infections,Retrospective Analysis,Blood,qRT-PCR confirmed,-,-,40% (6/15) of blood samples were positive; none of the patients with viremia blood had positive oral swabs,patients: 15,04/15/2020,,,,
