,Date,Study,Study Link,Journal,Study Type,Material,Method,Days After Onset/Admission (+) Covid-19 Presence (maximum unless otherwise stated),Property 2,Conclusion,Measure of Evidence,Added on
0,2020-05-04,The presence of SARS‐CoV‐2 RNA in the feces of COVID‐19 patients,https://onlinelibrary.wiley.com/doi/full/10.1002/jmv.25825,Journal of Medical Virology,Retrospective Analysis,Fecal matter,RT-PCR confirmed,median: 20,-,Stool sheeding changed with the severity of the cases,"patients: 28, severity: uncomplicated",5/4/2020
1,2020-05-04,The presence of SARS‐CoV‐2 RNA in the feces of COVID‐19 patients,https://onlinelibrary.wiley.com/doi/full/10.1002/jmv.25825,Journal of Medical Virology,Retrospective Analysis,Fecal matter,RT-PCR confirmed,median: 19,-,Stool sheeding changed with the severity of the cases,patients: 28; severity: mild,5/4/2020
2,2020-05-04,The presence of SARS‐CoV‐2 RNA in the feces of COVID‐19 patients,https://onlinelibrary.wiley.com/doi/full/10.1002/jmv.25825,Journal of Medical Virology,Retrospective Analysis,Fecal matter,RT-PCR confirmed,median: 25,-,Stool sheeding changed with the severity of the cases,patients: 28; severity: severe,5/4/2020
3,2020-03-30,Virus shedding patterns in nasopharyngeal and fecal specimens of COVID-19 patients,https://www.medrxiv.org/content/10.1101/2020.03.28.20043059v1,medRxiv,Prospective Cohort,Fecal matter,RT-PCR confirmed,median: 22,-,Intestinal samples recommended for diagnosis/monitoring relapse of patients; viral titers of feces peaked at 14-18 DAO,patients: 23,4/8/2020
4,2020-03-28,Prolonged Viral Shedding in Feces of Pediatric Patients with Coronavirus Disease 2019,https://www.sciencedirect.com/science/article/pii/S1684118220300815?via%3Dihub,"Journal of Microbiology, Immunology and Infection",Prospective Cohort,Fecal matter,RT-PCR confirmed,range: 4-33,-,Stool shedding indiciates transmission through contaminated fomites is possible; fecal specimens should be used to guide decision-making on discharge.,patients: 3,4/8/2020
5,2020-03-26,Viral Kinetics and Antibody Responses in Patients with COVID-19,https://www.medrxiv.org/content/10.1101/2020.03.24.20042382v1,medRxiv,Prospective Cohort,Fecal matter,RT-PCR confirmed,range: 7-26; median: 18,-,Stool is a major shedding route,patients: 67,4/8/2020
6,2020-03-19,Do children need a longer time to shed SARS-CoV-2 in stool than adults?,https://www.sciencedirect.com/science/article/pii/S1684118220300700?via%3Dihub,"Journal of Microbiology, Immunology and Infection",Retrospective Analysis,Fecal matter,RT-PCR confirmed,mean: 30,-,Positive stool with negative respiratory; fecal shedding longer in children,patients: 27,4/8/2020
7,2020-03-19,Prolong Presence of SARS-CoV-2 Viral RNA in faecal samples,https://www.thelancet.com/pdfs/journals/langas/PIIS2468-1253(20)30083-2.pdf,The Lancet,Retrospective Analysis,Fecal matter,RT-PCR confirmed,mean: 27.9,-,Fecal samples were positive of COVID-19 RNA 11.2 days longer than respiratory samples,patients: 41,5/4/2020
8,2020-03-15,Evaluation of SARS-CoV-2 RNA shedding in clinical specimens and clinical characteristics of 10 patients with COVID-19 in Macau,https://www.ijbs.com/v16p1698.htm,International Journal of Biological Sciences,Prospective Cohort,Fecal matter,RT-PCR confirmed,mean: 14,-,90% patients positive; use stool testing to increase sensitivity,patients: 10,4/8/2020
9,2020-03-08,Clinical presentation and virological assessment of hospitalized cases of coronavirus disease 2019 in a travel-associated transmission cluster,https://www.medrxiv.org/content/10.1101/2020.03.05.20030502v1.full.pdf,medRxiv,Retrospective Analysis,Fecal matter,RT-PCR confirmed,mean: 21,-,Stool and sputum samples remained RNA-positive over even longer periods in spite of full resolution of symptoms,patients: 9,4/8/2020
10,2020-03-03,Epidemiologic Features and Clinical Course of Patients Infected With SARS-CoV-2 in Singapore,https://jamanetwork.com/journals/jama/fullarticle/2762688,JAMA,Descriptive Case Series,Fecal matter,RT-PCR confirmed,-,-,"Virus was detected in 50% (4/8) of patient's stool, regardless of diarrhea.",patients: 8,4/8/2020
11,2020-03-03,Fecal specimen diagnosis 2019 novel coronavirus–infected pneumonia,https://onlinelibrary.wiley.com/doi/full/10.1002/jmv.25742?casa_token=fdg-1TFOv3MAAAAA%3AcoTagSHY3Sc-XG7wGggI_fN1_rHHeo92J8BTm9HK8dnaHZDTH0_wnNmPiK5KtA2YZ8o_V01AG45j95qQ,Journal of Medical Virology,Retrospective Analysis,Fecal matter,RT-PCR confirmed,-,-,Stool is positive without GI symptoms,patients: 14,4/9/2020
12,2020-02-20,Evidence for gastrointestinal infection of SARS-CoV-2,https://www.medrxiv.org/content/10.1101/2020.02.17.20023721v1,medRxiv,Prospective Cohort,Fecal matter,RT-PCR confirmed,mean: 26,-,53% (39) patients had positive stool samples; remained positive after negative respiratory sample.,patients: 73,4/9/2020
