,Date,Study,Study Link,Journal,Study Type,Material,Method,Days After Onset/Admission (+) Covid-19 Presence (maximum unless otherwise stated),Property 2,Conclusion,Measure of Evidence,Added on,Study Population,Sample Text,Matches,Entry
,2020-09-30,Strategies for daily operating room management of ambulatory surgery centers following resolution of the acute phase of the COVID-19 pandemic,https://doi.org/10.1016/j.jclinane.2020.109854,Journal of Clinical Anesthesia,Other,,,,,,,,Data for all surgery in hospitals in Iowa 2013 through 2015 were studied .,"For example, to apply these results to the University of Iowa's phase I postanesthesia care unit, approximately 1.3% of the > 1000 presymptomatic or asymptomatic patients screened for essential procedures have been SARS-CoV-2 positive by RT-PCR.","Early in the disease, viral load is predominantly that of the upper airway (nasopharynx, oropharynx) .",2020-05-12
,2020-08-31,COVID-19: From bench to bed side,https://doi.org/10.1016/j.dsx.2020.04.011,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,Other,,,,,,,,"Methods We systematically searched the PubMed database up till April 2, 2020 and retrieved all the articles published on SARS-CoV-2, SARS-CoV-1, MERS-CoV that dealt with viral dynamics.","The Chinese epidemic also doubled about every seven days and on average, each patient transmits the infection to an additional 2.2 individuals, suggesting the basic reproduction number (R0 or R naught) to be 2.2, which is a bit lesser compared to R0 of the SARS-CoV-1 epidemic of nearly 3.0, in 2002e2003 .","Serology: Blood sampling is much easier than swab sampling from oropharynx or nasopharynx.

 Serology: Blood sampling is much easier than swab sampling from oropharynx or nasopharynx.",2020-05-12
,2020-08-15,Evolution of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) as coronavirus disease 2019 (COVID-19) pandemic: A global health emergency,https://doi.org/10.1016/j.scitotenv.2020.138996,Sci Total Environ,Other,,,,,,,,"The COVID-19 pandemic was confirmed to have spread to Africa on February 14, 2020 as the first confirmed in Egypt on February 13, 2020 (BBC, 2020a Egypt, 2020) whereas the first identified case in sub-Saharan Africa was in Nigeria on February 27, 2020 (Adepoju, 2020; BBC, 2020e) .","Lastly, the epidemic of SARS-CoV-2, a member of beta-coronaviruses, has started in China from December 2019 causing 198 confirmed infections with three fatal cases by January 20, 2020 (WHO, 2020k) .","The nasopharyngeal swab is a collection method of clinical test sample of nasopharyngeal secretions from the back of the nose and posterior pharynx (WHO, 2020g).",2020-05-12
,2020-06-30,Epidemiology and clinical features of COVID-19: A review of current literature,https://doi.org/10.1016/j.jcv.2020.104357,Journal of Clinical Virology,Other,,,,,,,,Evaluation of all positive cases from mainland China showed 3.8 % being from healthcare workers (1716/44672) .,tested 445 people that were in close contact (at least 6 feet from the source for a minimum of 10 min) with 10 COVID-19-confirmed patients.,COVID-19 RNA viral shedding persists for about 18 days (by nasopharyngeal swab) or 19 days (via feces) .,2020-05-12
,2020-05-31,Patients with respiratory symptoms are at greater risk of COVID-19 transmission,https://doi.org/10.1016/j.rmed.2020.105935,Respiratory Medicine,Other,,,,,,,,"Supported by Medical Science Advancement Program (Basical Medical Sciences) of Wuhan University, Grant NO.","As of 10 March 2020, China had confirmed 80 754 cases of COVID-19 and there had been 3136 deaths.","Second, the duration of virus shedding from nasopharynx was longer.",2020-04-17
,2020-05-31,Intensive care management of coronavirus disease 2019 (COVID-19): challenges and recommendations,https://doi.org/10.1016/s2213-2600(20)30161-2,The Lancet Respiratory Medicine,Systematic review,,,,,,,,Articles published in English and Chinese were included.,"11, 13, 15, 17 In one report, out of 28 patients who received ECMO, 14 died, nine were still on ECMO, and only five were successfully weaned.",61 Viral shedding in the upper respiratory tract continues beyond 10 days after symptom onset in severe COVID-19.,2020-05-12
,2020-05-05,Role of adjunctive treatment strategies in COVID-19 and a review of international and national clinical guidelines,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7199873/,Mil Med Res,Systematic review,,,,,,,,"The keywords “COVID-19”, “SARS-CoV-2”, and “2019 novel coronavirus” were used in the search strategy.",Two patients died from ventricular tachycardia.,The main outcome of the trial was virus carriage in nasopharyngeal swabs at day 6.,2020-05-12
,2020-05-03,Impact of COVID-19 on maxillofacial surgery practice: a worldwide survey,https://doi.org/10.1016/j.ijom.2020.04.015,International Journal of Oral and Maxillofacial Surgery,Other,,,,,,,,"Responses from Canada, Mexico, and the USA were recorded between March 23, 2020 and March 28, 2020.","This characteristic results in the potential of encountering patients who are positive for COVID-19 but who may still be asymptomatic, or so-called 'carrier' patients 4, 8 .","In the postoperative phase, the nasopharynx swab test was repeated.",2020-05-12
,2020-04-29,Arterial and venous abdominal thrombosis in a 79-year-old woman with COVID-19 pneumonia,https://doi.org/10.1016/j.radcr.2020.04.055,Radiology Case Reports,Other,,,,,,,,Imaging features of bowel ischemia in a 79-year-old COVID-19 patient.,,Nasopharynx PCR was negative for SARS-CoV-2.,2020-05-01
,2020-04-29,Systematic review of international guidelines for tracheostomy in COVID-19 patients.,https://doi.org/10.1101/2020.04.26.20080242,medrxiv,Systematic review,,,,,,,,"This review of international guidelines for tracheostomy in COVID-19 infected patients, aiming to summarize in a systematic way the available recommendations from 18 guidelines from all over the world.",The optimal timing of tracheostomy in patients with COVID-19 is unknown.,"Moreover, data regarding viral load in the upper airway (nasopharynx and oropharynx) is confusing.",2020-05-12
