,Date,Study,Study Link,Journal,Study Type,Material,Method,Days After Onset/Admission (+) Covid-19 Presence (maximum unless otherwise stated),Property 2,Conclusion,Measure of Evidence,Added on,Study Population,Sample Text,Matches,Entry
,2020-06-30,Epidemiology and clinical features of COVID-19: A review of current literature,https://doi.org/10.1016/j.jcv.2020.104357,Journal of Clinical Virology,Other,,,,,,,,Evaluation of all positive cases from mainland China showed 3.8 % being from healthcare workers (1716/44672) .,tested 445 people that were in close contact (at least 6 feet from the source for a minimum of 10 min) with 10 COVID-19-confirmed patients.,COVID-19 RNA viral shedding persists for about 18 days (by nasopharyngeal swab) or 19 days (via feces) .,2020-05-12
,2020-04-30,Inferred duration of infectious period of SARS-CoV-2: rapid scoping review and analysis of available evidence for asymptomatic and symptomatic COVID-19 cases,https://doi.org/10.1101/2020.04.25.20079889,medrxiv,Systematic review,,,,,,,,"Literature review with fixed search terms, up to 1st April 2020.",tracked infections of close contacts to infected persons and considered 201 patients asymptomatic at time of diagnosis.,"Positive 343 cultures were found from day 3-8 post-symptom onset ( Figure 5 ), and the minimum 5% isolation 344 success was achieved up to 9.8 (95% CI: 8.5-21.8) days post onset from throat and lung samples but 345 not faeces, blood or urine.",2020-05-12
,2020-04-30,SARS-CoV-2 in wastewater: State of the knowledge and research needs,https://doi.org/10.1016/j.scitotenv.2020.139076,Science of The Total Environment,Other,,,,,,,,"Here, we review the current knowledge related to the potential of wastewater surveillance to understand the epidemiology of COVID-19, methodologies for the detection and quantification of SARS-CoV-2 in wastewater, and information relevant for human health risk assessment of SARS-CoV-2.",Four key studies were reviewed as shown in Table 5 .,"At 20°C, SARS-CoV persisted in three fecal samples for 3 days and two urine samples for 17 days (inoculated titer of 10 5 TCID 50 ).",2020-05-12
,2020-04-27,Impact of contact tracing on SARS-CoV-2 transmission,https://doi.org/10.1016/s1473-3099(20)30357-1,The Lancet Infectious Diseases,Modeling,,,,,,,,"To dissect the drivers of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) transmission, the authors modelled PCR-confirmed infections in 391 cases and 1286 of their close contacts from Jan 14 to Feb 12, 2020.","To dissect the drivers of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) transmission, the authors modelled PCR-confirmed infections in 391 cases and 1286 of their close contacts from Jan 14 to Feb 12, 2020.","6 Viral shedding studies and epidemiological investigations suggest that in the household, around 40% of transmission occurs before symptom onset, the live virus is shed for at least 1 week after symptom onset, and there is high shedding in asymptomatic individuals.",2020-05-01
,2020-04-24,Disinfection technology of hospital wastes and wastewater: Suggestions for disinfection strategy during coronavirus Disease 2019 (COVID-19) pandemic in China,https://doi.org/10.1016/j.envpol.2020.114665,Environ Pollut,Other,,,,,,,,"Up to January 27, 2020, there has been 1512 COVID-19 designated hospitals all over China.",This result was in line with findings reported by Wang et al.,"SARS-CoV-1 could exist for 2 days, 3 days, and 17 days in the hospital wastewater, stool, and urine at 20 C, respectively .",2020-05-12
,2020-04-24,What do surgeons need to know about the digestive disorders and paraclinical abnormalities induced by COVID-19?,https://doi.org/10.1016/j.jviscsurg.2020.04.017,Journal of Visceral Surgery,Retrospective observational,,,,,,,,A recent retrospective analysis of abdominal imagery from patients admitted to Hôpital Saint-Louis in Paris with documented COVID-19 infection did not seem to show parietal abnormalities (personally obtained data).,"In a recent retrospective study involving 1141 patients presenting with documented infection, the frequency of initially isolated digestive disorders came to 16%, whereas in 96% of cases, injured lungs appeared on CT-scan .","In a study published in 2003, 100% of patients presented with viral excretion in stool specimens and 67% still had a detectable virus 3 weeks after the onset of clinical symptoms .",2020-05-01
,2020-04-22,Persistent viral shedding of SARS-CoV-2 in faeces - a rapid review,https://doi.org/10.1101/2020.04.17.20069526,medrxiv,Systematic review,,,,,,,,Medline was searched to find articles published until 3 April 2020.,A total of 824 patients were included across the studies and 540 were tested for faecal viral RNA .,"The duration of viral shedding in the faeces is mostly reported from 1 to 33 days after a negative nasopharyngeal swab but can continue for up to 47 days after onset of symptoms in patients with COVID-19.

The duration for faecal shedding of viral RNA after clearance of respiratory samples ranged from 1 to 33 days and in 1 patient up to 47 days from symptom onset .",2020-05-12
,2020-04-16,Sequential analysis of viral load in a neonate and her mother infected with SARS-CoV-2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7184375/,Clin Infect Dis,Other,,,,,,,,"A 27-day old neonate and her mother were diagnosed with COVID-19 and hospitalized at Seoul Metropolitan Government-Seoul National University (SMG-SNU) Boramae Medical Center on March 8, 2020.",Laboratory findings were normal and serial chest radiographs were unremarkable.,"SARS-CoV-2 RNA was detected in the nasopharynx, oropharynx, stool, saliva, plasma, and urine.",2020-05-12
,2020-04-14,"Physiological and pathological regulation of ACE2, the SARS-CoV-2 receptor",https://doi.org/10.1016/j.phrs.2020.104833,Pharmacol Res,Retrospective observational,,,,,,,,"Rectal swabs, stool, urine, and saliva sampled from some COVID-19 patients were positive for the SARS-CoV-2 virus .","According to a retrospective study published in the Lancet that included 41 COVID-19 patients, 12 % developed acute cardiac injury, 80 % of these cases were diagnosed as severe cases .","Rectal swabs, stool, urine, and saliva sampled from some COVID-19 patients were positive for the SARS-CoV-2 virus .",2020-05-12
,2020-04-10,Prolonged Virus Shedding Even after Seroconversion in a Patient with COVID-19,https://doi.org/10.1016/j.jinf.2020.03.063,Journal of Infection,Other,,,,,,,,Clinical specimens for SARS-CoV-2 testing were obtained in accordance with guidelines from the Centers for Disease Control and Prevention.,1 Several studies discussing the clinical pictures of COVID-19 and specific antibody responding to SARS-CoV-2 have been published.,Such prolonged virus shedding was also observed among asymptomatic pediatric patients in fecal specimen.,2020-04-17
,2020-04-06,Epidemiology and clinical features of coronavirus disease 2019 in children,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7170785/,Clin Exp Pediatr,Case series,,,,,,,,"A study reported 20 pediatric COVID-19 patients admitted to the Wuhan Children’s Hospital in China between January 23 and February 8, 2020.","By March 11, 2020, 167 patients were confirmed to have COVID-19, 6 (3.6%) of whom were children who were 6 months, 1 year, 2 years, 5 years, 12 years, and 17 years of age.","Prolonged shedding of viral RNA in the feces was observed for 18–30 days in 5 patients .

Prolonged shedding of viral RNA in the feces was observed for 18-30 days in 5 patients.",2020-05-01
,2020-04-06,Infection and Rapid Transmission of SARS-CoV-2 in Ferrets,https://doi.org/10.1016/j.chom.2020.03.023,Cell Host & Microbe,Other,,,,,,,,"In late December of 2019, a novel coronavirus disease (COVID-19) was identified in Wuhan City, Hubei Province, China from patients with severe pneumonia .","This study was repeated in three independent trials (total n = 24; direct infection [n = 6], DC [n = 6], IC [n = 6], and PBS control [n = 6] ferrets).","Although fatalities were not observed, SARS-CoV-2-infected ferrets shed virus in nasal washes, saliva, urine, and feces up to 8 days post-infection.",2020-04-10
,2020-04-03,First Case of an Infant with COVID-19 in the Middle East,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7198082/,PMC,Other,,,,,,,,These findings serve as a practical reference for the clinical diagnosis and medical treatment of children with COVID-19.,These findings serve as a practical reference for the clinical diagnosis and medical treatment of children with COVID-19.,"Stool and urine cultures were negative.

Cultures for blood, urine, and stool were taken.",2020-05-12
,2020-04-03,SARS-CoV-2 and COVID-19,https://doi.org/10.1016/j.jmii.2020.03.033,"Journal of Microbiology, Immunology and Infection",Other,,,,,,,,"analyzed all the available data of confirmed cases of COVID-19 from January 20, 2020 until February 18, 2020 worldwide.","analyzed all the available data of confirmed cases of COVID-19 from January 20, 2020 until February 18, 2020 worldwide.","found that near 30% patients with recovery of COVID-19 had viral shedding in their stool but no viral shedding in respiratory specimens, and 75% of these patients were children.",2020-05-12
,2020-04-03,Severe acute respiratory syndrome (SARS) and coronavirus disease-2019 (COVID-19): From causes to preventions in Hong Kong,https://doi.org/10.1016/j.ijid.2020.03.059,Int J Infect Dis,Other,,,,,,,,"On 22th of January 2020, the first COVID-19 case was confirmed in Hong Kong and announced by the Centre of Health Protection (CHP).",11 of 19 participants were diagnosed with COVID-19 infection.,"The peak detection period in SARS-CoV after illness: respiratory specimen is week 2; stool and rectal swab specimens are weeks 2 to 3 and urine specimen is week 4 (Chan et al., 2004).

The peak detection period in SARS-CoV after illness: respiratory specimen is week 2; stool and rectal swab specimens are weeks 2 to 3 and urine specimen is week 4 (Chan et al., 2004) .",2020-05-12
,2020-04-03,Gastrointestinal Manifestations of SARS-CoV-2 Infection and Virus Load in Fecal Samples from the Hong Kong Cohort and Systematic Review and Meta-analysis,https://doi.org/10.1053/j.gastro.2020.03.065,Gastroenterology,Systematic review,,,,,,,,"Methods We collected data from the cohort of patients with COVID-19 in Hong Kong (n=59; diagnosis from February 2 through Feb 29, 2020), and searched PubMed, Embase, Cochrane and three Chinese databases through March 11, 2020 according to the Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines.",We included a cohort of 59 patients with virologically confirmed COVID-19 diagnosed between 2 nd and 29 th February 2020 in Hong Kong.,"Moreover, viral shedding in stool was detected in 48.1% of patients, and could persist for up to ≥33 days from illness onset even after viral RNA negativity in respiratory specimens.",2020-05-12
,2020-04-02,Infectious diseases in children and adolescents in China: analysis of national surveillance data from 2008 to 2017,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7114954/,BMJ,Other,,,,,,,,Data were drawn from CISDCP.,"RESULTS: From 2008 to 2017, 44 notifiable infectious diseases were diagnosed in 4 959 790 participants (3 045 905 males, 1 913 885 females) and there were 2532 deaths (1663 males, 869 females).","Patients had direct or indirect contact with rats or their excreta (faeces, or urine), secretions, etc.",2020-05-12
,2020-04-01,"Novel coronavirus in a 15-day-old neonate with clinical signs of sepsis, a case report",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7157949/,Infect Dis (Lond),Other,,,,,,,,"Only three newborns with the Novel coronavirus were reported, by 1 March 2020 .","Only three newborns with the Novel coronavirus were reported, by 1 March 2020 .","Blood, urine and stool culture were negative.",2020-04-24
,2020-03-31,Review article: gastrointestinal features in COVID‐19 and the possibility of faecal transmission,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7161803/,Aliment Pharmacol Ther,Retrospective observational,,,,,,,,We included data on COVID-19 patients who have confirmed in case reports and retrospective clinical studies relating to the digestive system that were published in English or Chinese from the end of December 2019 to the end of February 2020.,All of the nine patients had a history of exposure to confirmed or suspected SARS‐CoV‐2‐infected patients and were confirmed by the throat swab test after screening.,Faecal excretion persisted after sputum excretion in 23% (17/73)‐82% (54/66) patients for 1‐11 days.,2020-04-24
