,Date,Study,Study Link,Journal,Study Type ,Sample Size,Age,Sample obtained,Days,Range (Days),Excerpt
0,2020-04-28,The incubation period of COVID-19: A rapid systematic review and meta-analysis of observational research,https://doi.org/10.1101/2020.04.24.20073957,medRxiv,Meta-analysis,8 articles,-,-,mean: 5.8; median: 5.1,95th percentile:11.6,-
1,2020-04-27,"Epidemiology and transmission of COVID-19 in 391 cases and 1286 of their close contacts in Shenzhen, China: a retrospective cohort study",https://doi.org/10.1016/s1473-3099(20)30287-5,The Lancet Infectious Diseases,Retrospective cohort,183,mean: 45,-,"median: 4.8; 95% CI: 4.2, 5.4",-,-
2,2020-04-18,"Statistical and network analysis of 1212 COVID-19 patients in Henan, China",https://doi.org/doi:10.1016/j.ijid.2020.04.051,IJID,Case series,1212,81% between 21-60 years,-,mean: 7.4; median: 7,IQR: 4-11,-
3,2020-04-07,Longitudinal analysis of laboratory findings during the process of recovery for patients with COVID-19,https://doi.org/10.1101/2020.04.04.20053280,medRxiv,Prospective cohort,59,"median: 41, range: 10-87",-,median: 4,IQR: 2-7,-
4,2020-04-06,Epidemiological Characteristics of COVID-19: A Systemic Review and Meta-Analysis,https://doi.org/10.1101/2020.04.01.20050138,medRxiv,Meta-analysis,14 studies,"median: 46.2, range: 17 days to 78.5 years",-,"mean: 5.84; 99% CI: 4.83, 6.85",range: 2.5-12.1,-
5,2020-04-02,"Evolving epidemiology and transmission dynamics of coronavirus disease 2019 outside Hubei province, China: a descriptive and modelling study",https://doi.org/10.1016/S1473-3099(20)30230-9,Lancet Infect Dis,Case series,49,"median: 44, IQR 33-56",-,mean: 5.2,95th percentile: 10.5,-
6,2020-03-31,"Epidemiological Characteristics on the Clustering Nature of COVID-19 in Qingdao City, 2020: A Descriptive Analysis",https://doi.org/10.1017/dmp.2020.59,Cambridge University Press,Case series,44,20-59 yo accounted for 68.18% cases,-,mean: 6.28,range: 1-14,-
7,2020-03-30,Clinical characteristics and durations of hospitalized patients with COVID-19 in Beijing: a retrospective cohort study,https://doi.org/10.1101/2020.03.13.20035436,medRxiv,Retrospective cohort,23,"mean: 52, range 1-94",-,median: 4,IQR: 3-7; max: 14,-
8,2020-03-26,"Early Transmission Dynamics in Wuhan, China, of Novel Coronavirus–Infected Pneumonia",https://doi.org/10.1056/NEJMoa2001316,NEJM,Case series,425,"median: 59, range 15-89",-,mean: 5.2,95th percentile: 12.5,-
9,2020-03-24,"Clinical features and obstetric and neonatal outcomes of pregnant patients with COVID-19 in Wuhan, China: a retrospective, single-centre, descriptive study",https://doi.org/10.1016/s1473-3099%2820%2930176-6,The Lancet ID,Case series,7; all pregnant women,"mean: 32, range 29-34",-,mean: 5,range: 2-9,-
10,2020-03-24,Epidemiological parameters of coronavirus disease 2019: a pooled analysis of publicly reported individual data of 1155 cases from seven countries,https://doi.org/10.1101/2020.03.21.20040329,medRxiv,Case series,587,"mean: 46.26, range: 5 days to 90 years",-,mean: 7.44; median: 7,"range: 0-23, 6.64% cases > 14 days",-
11,2020-03-24,"Epidemiological, clinical and virological characteristics of 74 cases of coronavirus-infected disease 2019 (COVID-19) with gastrointestinal symptoms",https://doi.org/10.1136/gutjnl-2020-320926,Gut,Case series,216,mean: 46.14 (GI sxs),-,median: 4,IQR: 3-7,-
12,2020-03-24,"Epidemiological, clinical and virological characteristics of 74 cases of coronavirus-infected disease 2019 (COVID-19) with gastrointestinal symptoms",https://doi.org/10.1136/gutjnl-2020-320926,Gut,Case series,216,mean: 45.09 (no GI sxs),-,median: 5,IQR: 3-8,-
13,2020-03-22,A cluster of pneumonia associated with the SARS-Cov-2 outside of Wuhan related to a house-warming banquet,https://doi.org/10.1016/j.jinf.2020.03.034,Journal of Infection,Case series,7,range: 23-72 years,-,-,range: 3-11,-
14,2020-03-18,The difference in the incubation period of 2019 novel coronavirus (SARS-CoV-2) infection between travelers to Hubei and non-travelers: The need of a longer quarantine period,https://doi.org/10.1017/ice.2020.81,Cambridge University Press,Retrospective cohort,175,mean: 41.2 (travelers to Hubei),-,mean: 1.8,95th percentile: 3.2,-
15,2020-03-18,The difference in the incubation period of 2019 novel coronavirus (SARS-CoV-2) infection between travelers to Hubei and non-travelers: The need of a longer quarantine period,https://doi.org/10.1017/ice.2020.81,Cambridge University Press,Retrospective cohort,175,mean: 41.2 (non-travelers to Hubei),-,mean: 7.2,95th percentile: 14.6,-
