,Date,Study,Study Link,Journal,Study Type,Therapeutic method(s) utilized/assessed,Sample,Severity of Disease,General Outcome/Conclusion Excerpt,Primary Endpoint(s) of Study,Clinical Improvement (Y/N),Added On
0,2020-05-05,Pulmonary intravascular coagulation in COVID-19: possible pathogenesis and recommendations on anticoagulant/thrombolytic therapy,https://doi.org/10.1007/s11239-020-02129-0,Journal of Thrombosis and Thrombolysis,Expert review,Low molecular weight heparin;  Tissue Plasminogen Activator (TPA) or defbrotide,-,-,"LMWH at prophylactic doses should be administered to all symptomatic patients with microbiologically or radiologically documented COVID19 diagnosis and escalated to therapeutic doses in case of respiratory distress. In case LMWH is insufcient of preventing further activation of PIC and the thromboses extend to pulmonary veins, The treatment option at this step should be Tissue Plasminogen Activator (TPA) or defbrotide. These two fbrinolytic modalities can prevent intubation and progression to disseminated intravascular coagulation.",-,-,5/12/2020
1,2020-04-29,Acute limb ischemia in patients with COVID-19 pneumonia,https://doi.org/10.1016/j.jvs.2020.04.483,Journal of Vascular Surgery,Prospective observational study,systemic anticoagulation with a weight-adjusted therapeutic regimen of low-molecular-weight heparin or intravenous heparin infusion,20,-,Successful revascularization was not significantly associated with the postoperative use of intravenous heparin. The use of continuous postoperative systemic heparin infusion was significantly associated with survival.,"The clinical status was defined using the Rutherford classification system. The medical comorbidity grade and operative outcomes were defined in accordance with the recommended reporting standards and best practice documents from the Society for Vascular Surgery (SVS) and European Society for Vascular Surgery. Complications were recorded as perioperative (<30 days) or late (>1 month) and classified as graft-related or procedurerelated. The complications were described as mild (spontaneous resolution or with nominal intervention, did not prolong the hospital stay, and/or did not cause permanent disability), moderate (required significant intervention, prolonged hospitalization for >24 hours, resulted in a minor amputation, or was associated with a minor disability that did not interfere with normal daily activities), or severe (necessitated a major surgical, medical, and/or endovascular intervention or resulted in prolonged convalescence, major amputation, permanent disability, or death). Major amputations were classified as transfemoral or transtibial. Minor amputations were any toe or forefoot amputation and were not considered in the analysis of freedom from amputation. Successful revascularization of the treated segment was defined as the absence of early (<30 days) reocclusion or persistent forefoot ischemia or major amputation or death within 24 hours. The primary outcomes were successful revascularization, early (<30 days) and late survival, postoperative (<30 days) complications, and limb salvage at the last clinical evaluation available at least 7 days after revascularization.",Y,5/12/2020
2,2020-04-24,COVID-19 Coagulopathy in Caucasian patients,https://onlinelibrary.wiley.com/doi/abs/10.1111/bjh.16749,British Journal of Haematology,Prospective observational study,Low Molecular Weight Heparin (LMWH),83,Severe,Severe COVID-19 infection associated with significant coagulopathy that correlates with disease severity. However Caucasian COVID-19 patients on LMWH thrombo-prophylaxis rarely develop overt DIC.,"Coagulation testing performed on admission in the total cohort demonstrated normal PT and APTT (Table 1). In contrast, plasma D-dimer levels were significantly increased (median 732; range 200 to 10,000 ng/ml). D-dimer levels were above the normal range in 67% of the total cohort on admission. Importantly however, despite the increased D-dimers, disseminated intravascular coagulopathy (DIC) was not evident. In particular, platelet counts were within the normal range in 83.1% with a platelet count <100 x 109/L observed in only 5 patients on admission. Fibrinogen levels were significantly increased (median 4.7; range 3.0 to 9.9 g/L) on admission, with levels remaining persistently elevated throughout hospitalisation. No patient had a fibrinogen level < 2.0 g/L at any time point. This increase in fibrinogen levels is probably due to an acute phase response, as significantly elevated C-reactive protein levels (median 56 mg/L; normal range 0-5 mg/L) were also observed. Thus, despite the fact that thrombotic risk is much higher in Caucasian patients and the significant elevated levels of D-dimers observed, overt DIC as defined according to the ISTH SSC DIC score16 was present in none of our COVID-19 patients at time of admission. Nevertheless, our data confirm that severe COVID-19 infection is associated with a significant coagulopathy in Caucasian patients that appears to be similar in magnitude to that previously reported in the original Chinese cohorts. ",Y,4/27/2020
3,2020-04-23,"Venous and arterial thromboembolic complications in COVID-19 patients admitted to an academic hospital in Milan, Italy",https://doi.org/10.1016/j.thromres.2020.04.024,Thrombosis Research,Retrospective observational study,Thromboprophylaxis with low-molecularweight heparin; prophylactic dosage Thromboprophylaxis; intermediate-dosage thromboprophylaxis; therapeutic-dose Thromboprophylaxis,388,A total of 61 (16%) patients required intensive care; the remaining 327 patients were admitted to general wards,"Despite the use of anticoagulant prophylaxis, the rate of venous and arterial thromboembolic complications in hospitalized COVID-19 patients was remarkable, approxmatly 8%.","The primary outcome was a composite of venous and arterial thromboembolic events, encompassing VTE and other cardiovascular events. VTE included pulmonary embolism (PE) and deep vein thrombosis  (DVT) diagnosed by accepted imaging tests. During the period considered for the present analysis, no VTE screening strategy among COVID-19 patients was in place at the study site: VTE imaging tests were performed in subjects with signs or symptoms of DVT or with an unexplained clinical worsening of the respiratory function, primarily assessed using the PaO2/FIO2 ratio, or a rapid increase of D-dimer levels. Two-point compression ultrasonography (CUS) was used on the intensive care unit (ICU); whole-leg ultrasound was performed in symptomatic patients on the general ward. Cardiovascular events included acute coronary syndrome/myocardial infarction and ischemic stroke, as reported by the treating physicians in the medical charts. Secondary outcome was overt disseminated intravascular coagulation (DIC). We reviewed the electronic medical charts and patients´ laboratory findings (platelet count, D-dimer, prothrombin time, fibrinogen level) of all COVID-19 patients to retrospectively calculate the International Society on Thrombosis and Haemostasis (ISTH) score for overt DIC, which was considered present if the score was 5 or greater.",-,5/12/2020
4,2020-04-22,Heparin therapy improving hypoxia in COVID-19 patients - a case series,https://doi.org/10.1101/2020.04.15.20067017,MedRxiv,Case-series,Heparin,27,Severe,"Heparin decreased ventilatory support requirements. PaO2/FiO2 ratio increased significantly over the 72 hours following the start of anticoagulation, from 254(SD 90) to 325(SD 80), p=0.013, and over half of the patients were discharged home within an average time of 7.3 (SD 4.0) days. Half of mechanically ventilated patients were extubated within 10.3 (SD 1.5) days. The remaining patients showed progressive improvement and there were no bleeding complications or fatal events."," PaO2/FiO2 ratio increased significantly over the 72 hours following the start of anticoagulation, from 254(±90) to 325(±80), p=0.013, and 81% of the patients were discharged home within a mean time of 11.4 (±7.9) days. Most mechanically ventilated patients (67%) were extubated within 12.5(± 5.7) days. There were no bleeding complications or fatal events.",Y,4/26/2020
5,2020-04-22,"Sex-Specific SARS-CoV-2 Mortality: Among Hormone-Modulated ACE2 Expression, Risk of Venous Thromboembolism and Hypovitaminosis D",https://doi.org/10.3390/ijms21082948,International Journal of Molecular Science,Expert review,Selective Androgen Receptor Modulators,-,-,The involvement of the polymorphisms of AR activator and repressor proteins as well as the role of selective androgen receptor modulators as therapeutic agents in men could be deserving of investigation.,-,-,4/26/2020
6,2020-04-22,High incidence of venous thromboembolic events in anticoagulated severe COVID-19 patients,https://doi.org/10.1111/jth.14869,Journal of Thrombosis and Hemostasis,Retrospective observational study,Prophylactic anticoagulation (drug/dose decision left to treating physician),26 (18 with intervention),ICU-level,Suggests both systematic screening of VTE and early therapeutic anticoagulation in severe ICU COVID-19 patients. (However data showed statistically higher rate of VTE and pulmonary emboli in early intervention cohort),We performed a retrospective study in 2 French intensive care units (ICU) were CDU is performed as a standard of care. A CDU from thigh to ankle at selected sites with Doppler waveforms and images was performed early during ICU stay in patients admitted with COVID-19. Anticoagulation dose was left to the discretion of the treating physician based on the individual risk of thrombosis. Patients were classified as treated with prophylactic anticoagulation or therapeutic anticoagulation. Pulmonary embolism was systematically searched in patients with persistent hypoxemia or secondary deterioration. ,Y,4/24/2020
7,2020-04-21,Hospital-based use of thromboprophylaxis in patients with COVID-19,https://doi.org/10.1016/,The Lancet,Expert review,Thromboprophylaxis,-,-,"It seems prudent to use thromboprophylaxis in patients with evidence of activation of the coagulation system (eg, increased D-dimer concentrations) on admission",-,-,5/12/2020
8,2020-04-20,Chinese expert consensus on diagnosis and treatment of coagulation dysfunction in COVID-19,https://doi.org/10.1186/s40779-020-00247-7,Military Medical Research,Expert review,"Unfractionated heparin, LMWH, Topical citrate local anticoagulation, argatroban/bivaliruden (in COVID patients experiencing HIT), Goal-directed replacement therapy (fresh frozen plasma, platelets), recombinant factor VII, plasma exchange (in patients experiencing liver failure),",-,Severe,"Anticoagulant therapy can be utilized without anticoagulant contraindication in severe COVID-19 patients without thrombosis; In severe COVID-19 patients with coagulation dysfunction, anticoagulant therapy using unfractionated heparin/low-molecularweight heparin is recommended to reduce the depletion of coagulation substrates; For severe COVID-19 patients with coagulation dysfunction requiring continuous renal replacement therapy, unfractionated heparin/LMWH for systemic anticoagulation or no anticoagulation is recommended; Topical citrate anticoagulation is recommended for severe COVID-19 patients with active bleeding who require CRRT; For severe COVID-19 patients with coagulation dysfunction requiring external membrane oxygenation therapy, unfractionated heparin is the preferred anticoagulant and there should be more monitoring of their coagulation status; If heparin-induced thrombocytopenia occurs in severe COVID-19 patients, the anticoagulant argatroban/bivalirudin is recommended; Goal-directed replacement therapy is recommended for severe COVID-19 patients with coagulation dysfunction (fresh frozen plasma, platelets); If bleeding is not effectively stopped after active replacement therapy in severe COVID-19 patients, recombinant factor VII is recommended; In severe COVID-19 patients with coagulation dysfunction experiencing liver failure, plasma exchange is recommended; For severe COVID-19 patients with coagulation dysfunction, heparin flush during vascular access placement should be avoided ",-,-,5/11/2020
9,2020-04-20,Potential therapeutic effects of dipyridamole in the severely ill patients with COVID-1,https://doi.org/10.1016/j.apsb.2020.04.008,Acta Pharmaceutica Sinica B,Prospective observational study,Dipyramidole,31,Severe: The diagnosis of severe case was made if patients met any of the following criteria: (1) respiratory rate ≥ 30 breaths/min; (2) SpO2≤93% while breathing room air; (3) PaO2/FiO2≤300 mmHg. A critically ill case was diagnosed if any of the following criteria was met: (1) respiratory failure which requiring mechanical ventilation; (2) shock; (3) combined with other organ failure and need to be admitted to ICU.,"Dipyridamole supplementation was associated with significantly decreased concentrations of D-dimers, increased lymphocyte and platelet recovery in the circulation, and markedly improved clinical outcomes in comparison to the control patients.","A retrospective review of the medical records of thesepatients was conducted to retrieve coagulation indexes and plateletparameters, including prothrombin time (PT), activated partialthromboplastin time (APTT), plasma fibrinogen (FIB), D-dimer,platelet (PLT) count, and mean platelet volume (MPV). Systemicinflammation was assessed according to the C-reactive protein(CRP),  procalcitonin  (PCT),  and  interleukin  6  (IL-6)concentrations.",Y,4/26/2020
