,Date,Title,URL,Journal,Severe,Severe lower bound,Severe upper bound,Severe p-value,Severe Significant,Severe Adjusted,Severe Calculated,Fatality,Fatality lower bound,Fatality upper bound,Fatality p-value,Fatality Significant,Fatality Adjusted,Fatality Calculated,Multivariate adjustment,Design,Sample,Study population,Added on,Critical only,Discharged vs. death?,Sample Text,Matches,Entry
,2020-08-31,"Diabetes in COVID-19: Prevalence, pathophysiology, prognosis and practical considerations",https://doi.org/10.1016/j.dsx.2020.04.004,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,,,,,,,,,,,,,,,,Retrospective observational,161,"Methods PubMed database and Google Scholar were searched using the key terms ‘COVID-19’, ‘SARS-CoV-2’, ‘diabetes’, ‘antidiabetic therapy’ up to April 2, 2020.",,,,A study in 161 patients with COVID-19 in Wuhan found increased time for viral clearance in patients with diabetes .,"the odds ratio (OR) of severe COVID-19 was not significantly higher in patients with diabetes (OR, 2.07; 95% CI, 0.89 to 4.82), unlike hypertension (OR, 2.36; 95% CI, 1.46 to 3.83) and CVD (OR, 3.42; 95% CI, 1.88 to 6.22).",2020-05-12
,2020-05-08,Hematopoietic cell transplantation with cryopreserved grafts for severe aplastic anemia,https://doi.org/10.1016/j.bbmt.2020.04.027,Biology of Blood and Marrow Transplantation,,,,,,,,,,,,,,,,Other,52,Patients with severe aplastic anemia were identified from the database of the CIBMTR,,,,"Fifty-two patients (cases) who were transplanted with a cryopreserved graft were matched on age (≤17, 18 -39 and ≥40 years), 11, 12 donor type (HLA-matched sibling, haploidentical relative, HLA-matched or HLA-mismatched unrelated donor) 12, 13 and graft type (bone marrow or peripheral blood) 14, 15 to 195 controls from a pool of 979 patients transplanted during the same period with non-cryopreserved grafts.","The corresponding incidence of 1-year chronic GVHD was 23% (95% CI 12 -37) and 28% (95% CI 21 -35), p=0.49.",2020-05-12
,2020-05-07,"Human Coronavirus-229E, -OC43, -NL63, and -HKU1",https://doi.org/10.1016/b978-0-12-809633-8.21501-x,Reference Module in Life Sciences,,,,,,,,,,,,,,,,Other,,"This work was partially supported by National Natural Science Foundation of China grant 31972660 and grant 31900135, Natural Science Foundation of Guangdong Province grant 2018A030313472, and Guangdong Province Key Laboratory of Microbial Signals and Disease Control grant MSDC-2017-05 and MSDC-2017-06.",,,,"HCoV-229E RNA is detected in about 44% (40 of 90) of human brains tested, with similar frequencies in brains from multiple sclerosis patients and patients who died from other neurologic diseases or normal control subjects.","In addition, HCoVs have been associated with wheezing and exacerbations of asthma.",2020-05-12
,2020-05-07,Coast-to-Coast Spread of SARS-CoV-2 during the Early Epidemic in the United States,https://doi.org/10.1016/j.cell.2020.04.021,Cell,,,,,,,,,,,,,,,,Other,168,"Daily COVID-19 cases from international locations were obtained from the European Centre for Disease Prevention and Control via Our World in Data ( International data were accessed on March 19, 2020.",,,,"The COVID-19 Outbreak in Connecticut Is Phylogenetically Linked to SARS-CoV-2 from Washington (A) We constructed a maximum-likelihood tree using 168 global SARS-CoV-2 protein coding sequences, including 9 sequences from COVID-19 patients identified in Connecticut from March 6-14, 2020.", : 0.092 (95% CI = 0.05-0.20).,2020-05-12
,2020-05-06,"Asthma, Biologics, Corticosteroids, and COVID-19",https://doi.org/10.1016/j.anai.2020.05.001,"Annals of Allergy, Asthma & Immunology",,,,,,,,,,,,,,,,Other,86,Explore racial and ethnic disparities in outcomes from COVID-19 infection in patients with asthma,,,,We admit that current data on the risk of acquiring COVID-19 or disease severity in patients 86 with asthma is limited.,As many as 80% of asthma exacerbations are related to viral 55 infections.,2020-05-12
,2020-05-06,30-day mortality in patients hospitalized with COVID-19 during the first wave of the Italian epidemic: a prospective cohort study,https://doi.org/10.1101/2020.05.02.20088336,medrxiv,,,,,,,,,,,,,,,,Prospective observational,233,"Between 21 February and 19 March 2020, a total of 233 COVID-19 patients were admitted to L. Sacco Hospital, Milan, Italy.",,,,"Between 21 February and 19 March 2020, a total of 233 COVID-19 patients were admitted to L. Sacco Hospital, Milan, Italy.","Age (adjusted hazard ratio [aHR] 2.08, 95% CI 1.48-2.92 per ten years more) and obesity (aHR 3.04, 95% CI 1.42-6.49) were independently associated with an increased risk of death, which was also associated with critical disease (aHR 8.26, 95% CI 1.41-48.29), C-reactive protein levels (aHR 1.17, 95% CI 1.02-1.35 per 50 mg/L more) and creatinine kinase levels above 185 U/L (aHR 2.58, 95% CI 1.37-4.87) upon admission.",2020-05-12
,2020-05-05,Risk Factors of the Severity of COVID-19: A Meta-Analysis,https://doi.org/10.1101/2020.04.30.20086744,medrxiv,,,,,,,,,,,,,,,,Systematic review,2272,"Both of the authors searched through PubMed, Google Scholar, EMBASE, and Cochrane Library using keywords:",,,,We have extracted 2272 patients' information from 10 autonomous studies 14-23 and incorporated them into this research.,"This study found sex (male) (Risk ratio [RR] =1.29, 95% CI, 1.07 to 1.54), hypertension (RR=1.79, 95% CI, 1.57 to 2.04), diabetes (RR=1.57, 95% CI, 1.25 to 1.98), fatigue or myalgia (RR=1.17, 95% CI, 1.02; 1.35), and smoking history (RR=1.71, 95% CI,1.25; 2.35) are potential risk factors for the severity of COVID-19.",2020-05-12
,2020-05-04,Granulocyte-targeted therapies for airway diseases,https://doi.org/10.1016/j.phrs.2020.104881,Pharmacological Research,,,,,,,,,,,,,,,,Other,III,Here we discuss the role of granulocytes in respiratory diseases and summarize therapeutic strategies focused on granulocyte recruitment and activation in the lungs.,,,,"Several Phase IIb and III clinical trials had shown the clinical efficacy of benralizumab in reducing exacerbations and controlling severe asthma , prior to its approval by the FDA in 2017 and by the EMA in 2018 for the treatment of patients with severe eosinophilic asthma.","Current therapies of asthma can be grouped into those targeting allergic asthma (high serum IgE and atopy), eosinophilic asthma (exacerbations, sputum eosinophils and steroiddependent asthma), neutrophilic asthma (sputum neutrophils, steroid-resistant and/or non-Th2 phenotype) and chronic airflow obstruction (low lung function and high serum periostin) .",2020-05-12
,2020-05-01,"Racial, Economic and Health Inequality and COVID-19 Infection in the United States",https://doi.org/10.1101/2020.04.26.20079756,medrxiv,,,,,,,,,,,,,,,,Cross-sectional,1981,"Data source: Data sources in this study include, 1) publicly available data from USAfacts and the US Census Bureau for COVID-19 cases and county-level demographic data, 9, 10 2) COVID-19 data reported by each state on their department of health websites, 9 3) State Population by Race/Ethnicity data, 11, 12 and 4) mobility data extracted from Google.",,,,"African Americans were more vulnerable to COVID-19 than other ethnic groups (1,981 African American infected cases versus 658 Whites per million).","CI: -0.41, -0.12, q<0.003).",2020-05-12
,2020-04-28,Health Insurance Status and Risk Factors for Poor Outcomes With COVID-19 Among U.S. Health Care Workers: A Cross-sectional Study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7197038/,Ann Intern Med,,,,,,,,,,,,,,,,Cross-sectional,,Moderate/severe asthma = Had an asthma attack in past 12 mo or had an emergency department visit for asthma in past 12 mo or used more than 3 canisters or disks of inhalers in past 3 mo.,,,,Moderate/severe asthma = Had an asthma attack in past 12 mo or had an emergency department visit for asthma in past 12 mo or used more than 3 canisters or disks of inhalers in past 3 mo.,"Of these highrisk persons, 275 000 (CI, 154 000 to 396 000), or 7.5% (CI, 4.2% to 10.8%), were uninsured, including 11.4% (CI, 4.6% to 18.2%) of those with diabetes and 20.8% (CI, 13.8% to 27.8%) of those with chronic lung disease other than asthma.",2020-05-12
