,Date,Title,URL,Journal,Severe,Severe lower bound,Severe upper bound,Severe p-value,Severe Significant,Severe Adjusted,Severe Calculated,Fatality,Fatality lower bound,Fatality upper bound,Fatality p-value,Fatality Significant,Fatality Adjusted,Fatality Calculated,Multivariate adjustment,Design,Sample,Study population,Added on,Critical only,Discharged vs. death?
0,2020-04-29,Supplementing the National Early Warning Score (NEWS2) for anticipating early deterioration among patients with COVID-19 infection,https://doi.org/10.1101/2020.04.24.20078006,medrxiv,OR 2.06,1.13,3.77,0.02,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,708,UK NHS hospital from 1st March to 5th April 2020,5/6/2020,Y,N
1,2020-04-28,"Features of 16,749 hospitalised UK patients with COVID-19 using the ISARIC WHO Clinical Characterisation Protocol",https://doi.org/10.1101/2020.04.23.20076042,medrxiv,,,,,,,,HR 1.19,1.05,1.34,<0.05,Significant,Not Adjusted,Extracted,,Retrospective observational study,16749,166 UK hospitals between 6 th February and 18 th April 2020,5/6/2020,N,N
2,2020-04-25,The role of comorbidities and clinical predictors of severe disease in COVID-19: a systematic review and meta-analysis Emails,http://doi.org/10.1101/2020.04.21.20074633,,OR 4.07,2.3,7.22,,Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,8 studies,"PubMed, Scopus, EMBASE, Web of Science, and Google Scholar searched through March 12 2020",5/6/2020,Y,N
3,2020-04-17,Clinical Characteristics of Covid-19 in New York City,https://doi.org/10.1056/nejmc2010419,New England Journal of Medicine,OR 1.09,0.43,2.81,0.85,Not Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,393,"2 hospitals in Manhattan from March 3 - March 27, 2020",5/6/2020,Y,N
4,2020-04-16,Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio,http://doi.org/10.1101/2020.04.13.20063545,,,,,,,,,HR 1.1,0.7,1.7,,Not Significant,Adjusted,Extracted,Age and gender,Retrospective observational study,2362,"All patients in Reggio Emilia, Italiy from Feb 27 to April 2, 2020",5/6/2020,N,N
5,2020-04-16,Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio,https://doi.org/10.1101/2020.04.13.20063545,medRxiv,HR 1.9,1.4,2.5,,Significant,Not Adjusted,Extracted,HR 1.1,0.7,1.7,,Not Significant,Not Adjusted,Extracted,,Retrospective observational study,2653,"All symptomatic patients who tested positive in Reggio from February 27 to April 2, 2020.",5/6/2020,N,N
6,2020-04-10,The Use of Adjuvant Therapy in Preventing Progression to Severe Pneumonia in Patients with Coronavirus Disease 2019: A Multicenter Data Analysis,http://doi.org/10.1101/2020.04.08.20057539,medRxiv,OR: 10.46,3.76,29.1,<0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,564,"Third Xiangya Hospital of Central South University, Changsha Public Health Treatment Center, First Hospital of Yueyang, Junshan People’s Hospital of Yueyang, Central Hospital of Shaoyang, Central Hospital of Xiangtan, Second Hospital of Changde, Central Hospital of Loudi, and First Affiliated Hospital of University of South China from January 17, 2020 to February 28, 2020.",4/20/2020,N,N
7,2020-04-03,History of coronary heart disease increases the mortality rate of COVID-19 patients: a nested case-control study,https://doi.org/10.1101/2020.03.23.20041848,medRxiv,,,,,,,,HR 2.6,1.2,5.6,0.01,Significant,Not Adjusted,Extracted,,Retrospective observational study,275,"mainland China outside of Hubei Province, from December 18th, 2019 to March 8, 2025",4/10/2020,N,N
8,2020-04-03,Coronavirus Disease 2019 in elderly patients: characteristics and prognostic factors based on 4-week follow-up [Journal of Infection],https://doi.org/10.1016/j.jinf.2020.03.019,Journal of Infection,,,,,,,,AHR 2.24,1.12,4.5,0.02,Significant,Adjusted,Extracted,"age, cardiovascular disease, cerebrovascular disease, COPD",Prospective observational study,339,"age over 60 years old admitted to Renmin Hospital of Wuhan University from Jan 1 to Feb 6, 2020 (followed up until March 5)",4/10/2020,N,N
9,2020-04-03,History of coronary heart disease increases the mortality rate of COVID-19 patients: a nested case-control study,https://doi.org/10.1101/2020.03.23.20041848,medRxiv,,,,,,,,AHR 1.9,0.9,3.9,0.1,Not Significant,Adjusted,Extracted,"Age, gender, admitted before 1/11/2020, renal failure, heart disease, cerebral infarction",Retrospective observational study,275,"mainland China outside of Hubei Province, from December 18th, 2019 to March 8, 2030",4/10/2020,N,N
