,Date,Title,URL,Journal,Severe,Severe lower bound,Severe upper bound,Severe p-value,Severe Significant,Severe Adjusted,Severe Calculated,Fatality,Fatality lower bound,Fatality upper bound,Fatality p-value,Fatality Significant,Fatality Adjusted,Fatality Calculated,Multivariate adjustment,Design,Sample,Study population,Added on,Critical only,Discharged vs. death?,Sample Text,Matches,Entry
,2020-08-31,"Diabetes in COVID-19: Prevalence, pathophysiology, prognosis and practical considerations",https://doi.org/10.1016/j.dsx.2020.04.004,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,,,,,,,,,,,,,,,,Retrospective observational,161.0,"Methods PubMed database and Google Scholar were searched using the key terms ‘COVID-19’, ‘SARS-CoV-2’, ‘diabetes’, ‘antidiabetic therapy’ up to April 2, 2020.",,,,A study in 161 patients with COVID-19 in Wuhan found increased time for viral clearance in patients with diabetes .,"the odds ratio (OR) of severe COVID-19 was not significantly higher in patients with diabetes (OR, 2.07; 95% CI, 0.89 to 4.82), unlike hypertension (OR, 2.36; 95% CI, 1.46 to 3.83) and CVD (OR, 3.42; 95% CI, 1.88 to 6.22).

demonstrated a HR of 1.58 (95% CI, 0.80 to 3.13, p = 0.19) for death in patients with diabetes with COVID-19.",2020-05-12
,2020-05-31,In This Issue/Research Watch/News in Brief,https://doi.org/10.1016/j.jtho.2020.03.017,Journal of Thoracic Oncology,,,,,,,,,,,,,,,,Other,690.0,"On February 2020, the European Medical Agency (EMA) Committee for Medical Products for Human use (CMPH) adopted a positive opinion recommending a change to the terms of marketing authorisation for brigatinib 1 .",,,,"Out of 690 patients treated with pembrolizumab, 79 completed 35 cycles/2 years of pembrolizumab.","57.7% of patients were diagnosed with lung cancer, and approximately 18% had breast cancer.",2020-05-12
,2020-05-07,Coast-to-Coast Spread of SARS-CoV-2 during the Early Epidemic in the United States,https://doi.org/10.1016/j.cell.2020.04.021,Cell,,,,,,,,,,,,,,,,Other,168.0,"Daily COVID-19 cases from international locations were obtained from the European Centre for Disease Prevention and Control via Our World in Data ( International data were accessed on March 19, 2020.",,,,"The COVID-19 Outbreak in Connecticut Is Phylogenetically Linked to SARS-CoV-2 from Washington (A) We constructed a maximum-likelihood tree using 168 global SARS-CoV-2 protein coding sequences, including 9 sequences from COVID-19 patients identified in Connecticut from March 6-14, 2020.", : 0.092 (95% CI = 0.05-0.20).,2020-05-12
,2020-05-06,Cancer is associated with the severity and mortality of patients with COVID-19: a systematic review and meta-analysis,https://doi.org/10.1101/2020.05.01.20087031,medrxiv,,,,,,,,,,,,,,,,Systematic review,34.0,"We identified 1592 records through the literature search, among which 838 were from English databases, 751 were from Chinese databases, and 3 were from other .",,,,Results: Thirty-four studies with 8080 patients were included.,The pooled prevalence of cancer in patients with COVID-19 was 2.0% (95% CI: 2.0% to 3.0%).,2020-05-12
,2020-05-06,Androgen-deprivation therapies for prostate cancer and risk of infection by SARS-CoV-2: a population-based study (n=4532),https://doi.org/10.1016/j.annonc.2020.04.479,Annals of Oncology,,,,,,,,,,,,,,,,Case series,9280.0,We extracted data regarding 9280patients with laboratory-confirmed SARS-CoV-2 infection from 68 hospitals in the Veneto.,,,,"Results There were 9280 SARS-CoV-2 positive patients in the Veneto on April 1, 2020.",A greater difference was found comparing prostate cancer patients receiving ADT to patients with any other type of cancer (OR 5.17; 95% CI 2.02-13.40).,2020-05-12
,2020-05-06,Impact of policy interventions and social distancing on SARS-CoV-2 transmission in the United States,https://doi.org/10.1101/2020.05.01.20088179,medrxiv,,,,,,,,,,,,,,,,Case series,500.0,"In order to retrospectively analyze metrics of disease spread and mortality, case and death data were compiled up to April 30th, 2020 from the COVID-19 time series made available by The New York Times.",,,,The primary outcomes were average Rt in the week following 500 cases and doubling time from 500 to 1000 cases.,"(ß = -0.15, 95% CI -0.23 to -0.07, p < 0.001, Table 2 ).",2020-05-12
,2020-05-05,Risk Factors of the Severity of COVID-19: A Meta-Analysis,https://doi.org/10.1101/2020.04.30.20086744,medrxiv,,,,,,,,,,,,,,,,Systematic review,2272.0,"Both of the authors searched through PubMed, Google Scholar, EMBASE, and Cochrane Library using keywords:",,,,We have extracted 2272 patients' information from 10 autonomous studies 14-23 and incorporated them into this research.,"This study found sex (male) (Risk ratio [RR] =1.29, 95% CI, 1.07 to 1.54), hypertension (RR=1.79, 95% CI, 1.57 to 2.04), diabetes (RR=1.57, 95% CI, 1.25 to 1.98), fatigue or myalgia (RR=1.17, 95% CI, 1.02; 1.35), and smoking history (RR=1.71, 95% CI,1.25; 2.35) are potential risk factors for the severity of COVID-19.",2020-05-12
,2020-05-05,ai-corona: Radiologist-Assistant Deep Learning Framework for COVID-19 Diagnosis in Chest CT Scans,https://doi.org/10.1101/2020.05.04.20082081,medrxiv,,,,,,,,,,,,,,,,Other,2121.0,"Respiratory samples including pharyngeal swabs/washing were obtained from February 20 th till April 3 rd , 2020, from the hospitalized patients.",,,,"Method: Our dataset comprises 2121 cases of axial spiral chest CT scans in three classes; COVID-19 abnormal, non COVID-19 abnormal, and normal, from which 1764 cases were used for training and 357 cases for validation.","ai-corona achieves an AUC score of 0.989 (95% CI: 0.984, 0.994), 0.997 (95% CI: 0.995, 0.999), 0.986 (95% CI: 0.981, 0.991), 0.959 (95% CI: 0.944, 0.974), 0.978 (95% CI: 0.968, 0.988), and 0.961 (95% CI: 0.951, 0.971) in each combination, respectively.",2020-05-12
,2020-05-01,"Racial, Economic and Health Inequality and COVID-19 Infection in the United States",https://doi.org/10.1101/2020.04.26.20079756,medrxiv,,,,,,,,,,,,,,,,Cross-sectional,1981.0,"Data source: Data sources in this study include, 1) publicly available data from USAfacts and the US Census Bureau for COVID-19 cases and county-level demographic data, 9, 10 2) COVID-19 data reported by each state on their department of health websites, 9 3) State Population by Race/Ethnicity data, 11, 12 and 4) mobility data extracted from Google.",,,,"African Americans were more vulnerable to COVID-19 than other ethnic groups (1,981 African American infected cases versus 658 Whites per million).","CI: -0.41, -0.12, q<0.003).",2020-05-12
,2020-04-29,Type I IFN immunoprofiling in COVID-19 patients,https://doi.org/10.1016/j.jaci.2020.04.029,Journal of Allergy and Clinical Immunology,,,,,,,,,,,,,,,,Other,3.0,"Contamines, Haute Savoie, France) in February 2020.",,,,"Firstly, we explored three patients issued from the first COVID cluster diagnosed in France (Les 66",Cancer (n (%)) 1 (20%) 3 (14%),2020-05-01
