,Date,Title,URL,Journal,Severe,Severe lower bound,Severe upper bound,Severe p-value,Severe Significant,Severe Adjusted,Severe Calculated,Fatality,Fatality lower bound,Fatality upper bound,Fatality p-value,Fatality Significant,Fatality Adjusted,Fatality Calculated,Multivariate adjustment,Design,Sample,Study population,Added on,Critical only,Discharged vs. death?,Sample Text,Matches,Entry
,2020-08-31,Comorbidities in COVID-19: Outcomes in hypertensive cohort and controversies with renin angiotensin system blockers,https://doi.org/10.1016/j.dsx.2020.03.016,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,,,,,,,,,,,,,,,,Retrospective observational,187.0,"Methods We have systematically searched the medical database up to March 27, 2020 and retrieved all the published articles in English language related to our topic using MeSH key words.",,,,"In a study of 187 patients with COVID-19, Guo et al.","found hypertension to have an odds ratio (OR) of 3.05 (95% CI, 1.57 to 5.92; p < 0.006), diabetes with OR of 2.85 (95% CI, 1.35 to 6.05; p < 0.001), whereas presence of coronary artery disease had an OR of 21.40 (95% CI, 4.64 to 98.76; p < 0.0001) for in-hospital mortality, in an univariate analysis .

found hypertension to have a hazard ratio (HR) of 1.82 (95% CI, 1.13 to 2.95; p = 0.01) for acute respiratory distress syndrome (ARDS) and 1.70 (95% CI, 0.92 to 3.14, p = 0.09) for death.",2020-04-17
,2020-08-31,"Diabetes in COVID-19: Prevalence, pathophysiology, prognosis and practical considerations",https://doi.org/10.1016/j.dsx.2020.04.004,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,,,,,,,,,,,,,,,,Retrospective observational,161.0,"Methods PubMed database and Google Scholar were searched using the key terms ‘COVID-19’, ‘SARS-CoV-2’, ‘diabetes’, ‘antidiabetic therapy’ up to April 2, 2020.",,,,A study in 161 patients with COVID-19 in Wuhan found increased time for viral clearance in patients with diabetes .,"the odds ratio (OR) of severe COVID-19 was not significantly higher in patients with diabetes (OR, 2.07; 95% CI, 0.89 to 4.82), unlike hypertension (OR, 2.36; 95% CI, 1.46 to 3.83) and CVD (OR, 3.42; 95% CI, 1.88 to 6.22).

found diabetes to have an OR of 2.85 (95% CI, 1.35 to 6.05; p < 0.001) for in-hospital mortality.

demonstrated a HR of 1.58 (95% CI, 0.80 to 3.13, p = 0.19) for death in patients with diabetes with COVID-19.",2020-05-12
,2020-07-15,Myocardial injury and COVID-19: Possible mechanisms,https://doi.org/10.1016/j.lfs.2020.117723,Life Sci,,,,,,,,,,,,,,,,Cross-sectional,419.0,"in a single center in Wuhan, China examined mortality associated with CVD comorbidity and troponin T (TnT) elevation on admission .",,,,"In another case-series of 419 cases with COVID-19 in Shenzhen, China, patients were divided into 36 ICU patients and 383 non-ICU patients.","of 1527 patients mostly in Wuhan, China indicated the prevalence of hypertension, cardiac and cerebrovascular disease, and diabetes to be 17.1%, 16.4%, and 9.7% respectively amongst patients with COVID-19.",2020-05-12
,2020-06-30,Epidemiology and clinical features of COVID-19: A review of current literature,https://doi.org/10.1016/j.jcv.2020.104357,Journal of Clinical Virology,,,,,,,,,,,,,,,,Other,10.0,Evaluation of all positive cases from mainland China showed 3.8 % being from healthcare workers (1716/44672) .,,,,tested 445 people that were in close contact (at least 6 feet from the source for a minimum of 10 min) with 10 COVID-19-confirmed patients.,"Comorbidities associated with severe COVID-19 cases include elderly age, hypertension, cardiovascular disease, cerebrovascular disease, and chronic kidney disease .",2020-05-12
,2020-05-31,Coronavirus disease 2019 (COVID-19): A literature review,https://doi.org/10.1016/j.jiph.2020.03.019,Journal of Infection and Public Health,,,,,,,,,,,,,,,,Other,425.0,"Outside China, as of February 12, 2020, there were 441 confirmed COVID-19 cases reported in 24 countries of which the first imported case was reported in Thailand on January 13, 2020 .",,,,"In a study of 425 COVID-19 patients in Wuhan, published on January 29, there were no cases in children under 15 years of age .","SARS-CoV-2 is also more likely to infect people with chronic comorbidities such as cardiovascular and cerebrovascular diseases and diabetes .

The highest proportion of severe cases occurs in adults ≥60 years of age, and in those with certain underlying conditions, such as cardiovascular and cerebrovascular diseases and diabetes .",2020-05-12
,2020-05-08,Clinical course of severe and critical COVID-19 in hospitalized pregnancies: a US cohort study,https://doi.org/10.1016/j.ajogmf.2020.100134,American Journal of Obstetrics & Gynecology MFM,,,,,,,,,,,,,,,,Other,64.0,"Study Design This is a cohort study of pregnant women with severe or critical COVID-19 infection hospitalized at 12 US institutions between March 5, 2020 and April 20, 2020.",,,,"Results Of 64 pregnant women hospitalized with COVID-19, 44 (69%) had severe and 20 (31%) critical disease.","In one study, patients requiring ICU care were more likely to have comorbid hypertension, cardiovascular disease, diabetes, and cerebrovascular disease 16 .",2020-05-12
,2020-05-08,Coronavirus: the geriatric emergency of 2020. Joint document of the Section on Geriatric Cardiology of the Spanish Society of Cardiology and the Spanish Society of Geriatrics and Gerontology,https://doi.org/10.1016/j.rec.2020.05.001,Revista Española de Cardiología (English Edition),,,,,,,,,,,,,,,,Other,177.0,Confirmed cases of COVID-19,,,,"8, 9 According to data published by the Spanish Ministry of Health (table 1) , 177 633 patients were diagnosed with COVID-19 in Spain by April 15, 2020 ; of the 57 106 hospitalized individuals, 24.1% were aged between 70 and 79 years, 19% were aged between 80 and 89 years, and 5.1% were older than 90 years.","8, 9 Specifically, a meta-analysis of 6 studies with a total of 1527 patients determined prevalences of hypertension, CVD and cerebrovascular disease, and diabetes of 17.1%, 16.4%, and 9.7%, respectively.",2020-05-12
,2020-05-03,A review of cardiac manifestations and predictors of outcome in patients with COVID – 19,https://doi.org/10.1016/j.hrtlng.2020.04.019,Heart & Lung,,,,,,,,,,,,,,,,Other,90.0,"21, 28 Electrocardiography Data on EKG findings on patients with COVID-19 is scanty.",,,,The study including 90 patients who underwent non contrast computed tomography (CT) of chest reported pericardial effusion in 1% of patients.,"Most studies have shown that patients with cardiovascular risk factors like advanced age, hypertension, DM, cardiovascular diseases, cerebrovascular disease had the worst clinical outcome.

Established cardiovascular risk factors such as diabetes mellitus, hypertension, and coronary artery disease predispose to cardiac injury, the severity of illness and mortality.

15 Across all studies, cardiovascular risk factors like advanced age, hypertension, DM, coronary artery disease, heart failure, atrial fibrillation, cerebrovascular disease have been reported to be associated with increased mortality.

Cardiovascular risk factors in terms of DM, ischemic heart disease, atrial fibrillation and a history of stroke was present in 35.5%, 30%, 24.5%, and 9.6% respectively in a subset of patients who succumbed to the disease.

6, 7 Cardiovascular comorbidities including hypertension, diabetes mellitus (DM), coronary artery disease, heart failure have been reported in larger numbers.",2020-05-12
,2020-04-30,May drug-related cardiovascular toxicities persist after hospital discharge in COVID-19 patients?,https://doi.org/10.1016/j.ijantimicag.2020.106003,International Journal of Antimicrobial Agents,,,,,,,,,,,,,,,,Other,,We suggest follow-up ECG evaluations for people who receive hydroxychloroquine and/or azithromycin.,,,,,"Hypertension, diabetes, cardiovascular diseases and cerebrovascular diseases, were highlighted as risk factors for fatality.",2020-05-12
,2020-04-29,Systematic review of international guidelines for tracheostomy in COVID-19 patients.,https://doi.org/10.1101/2020.04.26.20080242,medrxiv,,,,,,,,,,,,,,,,Systematic review,,"This review of international guidelines for tracheostomy in COVID-19 infected patients, aiming to summarize in a systematic way the available recommendations from 18 guidelines from all over the world.",,,,The optimal timing of tracheostomy in patients with COVID-19 is unknown.," Elderly, hypertension, diabetes, chronic obstructive pulmonary disease, cardiovascular disease, and cerebrovascular disease are significant risk factors for COVID-19 patients.

A recent meta-analysis identified hypertension, diabetes, chronic obstructive pulmonary disease, cardiovascular disease, and cerebrovascular disease as significant risk factors for COVID-19 patients.",2020-05-12
