,Date,Title,URL,Journal,Severe,Severe lower bound,Severe upper bound,Severe p-value,Severe Significant,Severe Adjusted,Severe Calculated,Fatality,Fatality lower bound,Fatality upper bound,Fatality p-value,Fatality Significant,Fatality Adjusted,Fatality Calculated,Multivariate adjustment,Design,Sample,Study population,Added on,Critical only,Discharged vs. death?,Sample Text,Matches,Entry
,2020-05-31,Liver injury in COVID-19: management and challenges,https://doi.org/10.1016/s2468-1253(20)30057-1,The Lancet Gastroenterology & Hepatology,,,,,,,,,,,,,,,,Other,1099,"1, In this Comment, we assess how the liver is affected using the available case studies and data from The Fifth Medical Center of PLS General Hospital, Beijing, China.",,,,"Moreover, in a large cohort including 1099 patients from 552 hospitals in 31 provinces or provincial municipalities, more severe patients with disease had abnormal liver aminotransferase levels than did non-severe patients with disease.","Liver diseases including chronic viral hepatitis, non-alcoholic fatty liver disease, and alcohol-related liver disease affect approximately 300 million people in China.",2020-04-17
,2020-05-08,Clinical characteristics of Coronavirus Disease (COVID-19) patients with gastrointestinal symptoms: A report of 164 cases,https://doi.org/10.1016/j.dld.2020.04.034,Digestive and Liver Disease,,,,,,,,,,,,,,,,Case series,504,"Clinical data were extracted from the electronic medical records of 504 patients with confirmed COVID-19 patients who were treated at the Central Hospital of Wuhan, Tongji Medical College, Huazhong University of Science and Technology and retrospectively analysed.",,,,"Clinical data were extracted from the electronic medical records of 504 patients with confirmed COVID-19 patients who were treated at the Central Hospital of Wuhan, Tongji Medical College, Huazhong University of Science and Technology and retrospectively analysed.","Comorbidities included chronic lung disease, hypertension, coronary heart disease, diabetes, chronic kidney disease, chronic liver disease (including cirrhosis), cerebrovascular disease, and malignancy.",2020-05-12
,2020-05-06,A WEB-BASED GROUP TREATMENT FOR PATIENTS WITH ALCOHOLIC LIVER DISEASES AT THE TIME OF THE COVID-19 PANDEMIC,https://doi.org/10.1016/j.dld.2020.04.023,Digestive and Liver Disease,,,,,,,,,,,,,,,,Other,10,"Ten ALD patients (mean age 44.5 ± 5.0; 40% male) were included from March 11th, 2020.",,,,"Ten ALD patients (mean age 44.5 ± 5.0; 40% male) were included from March 11th, 2020.",Alcohol-related liver diseases (ALD) are the most frequent hepatic diseases and the main cause of liver disease-related death and liver transplantation .,2020-05-12
,2020-04-28,The role of essential organ-based comorbidities in the prognosis of COVID-19 infection patients,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7196920/,Expert Rev Respir Med,,,,,,,,,,,,,,,,Retrospective observational,212,Methods: All consecutive patients diagnosed with COVID-19 admitted to the Zhongnan Hospital of Wuhan University from 11 January to 16 March 2020 were enrolled in this retrospective cohort study.,,,,Results: A total of 212 COVID-19 patients were included.," Heart, liver, and kidney comorbidities were common in COVID-19 patients.

The proportion of cardiovascular diseases, liver diseases, kidney diseases, and ≥2 comorbidities were 15.6%(33/212), 10.8%(23/212), 5.2%(11/212), and 10.4%(22/212), respectively.",2020-05-12
,2020-04-25,COVID-19 Fatality and Comorbidity Risk Factors among Confirmed Patients in Mexico,https://doi.org/10.1101/2020.04.21.20074591,medrxiv,,,,,,,,,,,,,,,,Other,7497,"In this paper we estimate fatality risks based on survival analysis methods, calculated from individual-level data on symptomatic patients confirmed with COVID-19 recently released by the Mexican Ministry of Health.",,,,"Our analysis is based on 7,497 patients who tested positive for COVID-19 in Mexico, a subset of a larger dataset of 49,167 patients with COVID-19 related symptoms who sought attention in medical units and were tested with positive, negative (29,301 cases) and pending (12,369 cases) results.","In contrast, high blood pressure increases the estimated hazard by 38% (HR=1.378, 95% CI: 1.086-1.749), immune suppression by 70% (HR=1.696, 95% CI: 1.148-2.505), diabetes by 73% (HR=1.730, 95% CI: 36.0-120.2), COPD by 77% (HR=1.770, 95% CI: 1.269-2.469), obesity by 78% (HR=1.776, 95% CI: 1.415-2.231), and chronic liver disease by 168% (HR=2.679, 95% CI: 1.789-4.014).",2020-05-01
,2020-04-22,Coronavirus Disease (COVID-19) Pandemic: An Overview of Systematic Reviews,https://doi.org/10.1101/2020.04.16.20068213,medrxiv,,,,,,,,,,,,,,,,Systematic review,1063,"Methods: Nine databases (Medline, EMBASE, Cochrane Library, CINAHL, Web of Sciences, PDQ-Evidence, WHO's Global Research, LILACS and Epistemonikos) were searched from December 1, 2019 to March 24, 2020.",,,,"Our search retrieved 1,063 publications, of which 175 were duplicates.","There was a higher likelihood that patients with severe disease had hypertension (OR 2.36, 95% CI: 1.46-3.83), respiratory disease (OR 2.46, 95% CI: 1.76-3.44), or cardiovascular disease (OR 3.42, 95% CI: 1.88-6.22), compared with patients with non-severe disease.

The most common comorbidities were hypertension (17±7, 95% CI 14-22%), diabetes (8±6, 95% CI 6-11%), cardiovascular diseases (5±4, 95% CI 4-7%) and respiratory system diseases (2±0, 95% CI 1-3%).",2020-05-01
,2020-04-21,Gastrointestinal and liver manifestations in patients with COVID-19,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7176263/,J Chin Med Assoc,,,,,,,,,,,,,,,,Other,1099,"Pan et al17 described the clinical characteristics of COVID-19 patients with digestive symptoms in Hubei, China.",,,,"In the currently largest cohort including 1099 patients with laboratory-confirmed COVID-19 from 552 hospitals in 30 provinces in China through January 29, 2020, nausea or vomiting and diarrhea were reported in 55 (5%) and 42 (3.8%) patients, respectively.","The impact of COVID-19 in patients with preexisting chronic liver diseases, such as viral hepatitis, nonalcoholic fatty liver disease, and alcohol-related liver disease, remains to be evaluated.

34 The impact of COVID-19 in patients with preexisting chronic liver diseases, such as viral hepatitis, nonalcoholic fatty liver disease, and alcohol-related liver disease, remains to be evaluated.",2020-05-01
,2020-04-16,Cardiovascular Diseases and COVID-19 Mortality and Intensive Care Unit Admission: A Systematic Review and Meta-analysis,https://doi.org/10.1101/2020.04.12.20062869,medrxiv,,,,,,,,,,,,,,,,Systematic review,3473,"Searched Databases included PubMed, Embase, Scopus, Web of Science, Cochrane Library, medRxiv pre-print database as well as Science Direct search engine.",,,,Results: Sixteen papers including 3473 patients entered into meta-analysis for ICU admission and mortality outcome and fifty-nine papers including 9509 patients for descriptive outcomes.,"Results of meta-analysis indicated that acute cardiac injury, (OR: 15.94, 95% CI 2.31-110.14), hypertension (OR: 1.92, 95% CI 1.92-2.74), heart Failure (OR: 11.73, 95% CI 5.17-26.60), other cardiovascular disease (OR: 1.95, 95% CI 1.17-3.24) and overall CVDs (OR: 3.37, 95% CI 2.06-5.52) were significantly associated with mortality in COVID-19 patients.

Results of meta-analysis indicated that acute cardiac injury (OR: 15.94, 95% CI 2.31-110.14), Hypertension (OR: 1.92, 95% CI 1.92-2.74), Heart Failure (OR: 11.73, 95% CI 5.17-26.60), other cardiovascular disease (OR: 1.95, 95% CI 1.17-3.24) and overall CVDs (OR: 3.37, 95% CI 2.06-5.52) were significantly associated with mortality in COVID-19 patients.",2020-04-24
,2020-04-13,COVID-19: Abnormal liver function tests,https://doi.org/10.1016/j.jhep.2020.04.006,Journal of Hepatology,,,,,,,,,,,,,,,,Cross-sectional,417,"Methods Clinical records and laboratory results were obtained from 417 patients with laboratory-confirmed COVID-19 who were admitted to the only referral hospital in Shenzhen, China from January 11 to February 21, 2020 and followed up to March 7, 2020.",,,,"Methods Clinical records and laboratory results were obtained from 417 patients with laboratory-confirmed COVID-19 who were admitted to the only referral hospital in Shenzhen, China from January 11 to February 21, 2020 and followed up to March 7, 2020.","Sensitivity analyses excluding 21 patients with preexisting liver disease showed similar results, with the adjusted ORs (95% CIs) for severity being 1.73 (0.94-3.16) and 1.86 (0.58-5.92) in patients with abnormal liver tests and liver injury, respectively (Table not shown) .

After similar adjustment, patients with liver injury were at a 9-fold greater risk of severe COVID-19 ( patients with abnormal liver tests and liver injury during hospitalization, respectively (Table not shown) .

Patients also tended to have underlying liver diseases, including NAFLD, alcoholic liver disease, and chronic hepatitis B (p = 0.001), and had cough as an initial symptom (p = 0.04) ( Table 1) .

Patients with abnormal liver tests of hepatocellular type or mixed type at admission had higher odds of progressing to severe disease (odds ratios [ORs] 2.73; 95% CI 1.19–6.3, and 4.44, 95% CI 1.93–10.23, respectively).",2020-05-12
,2020-04-08,A model to predict SARS-CoV-2 infection based on the first three-month surveillance data in Brazil.,https://doi.org/10.1101/2020.04.05.20047944,medrxiv,,,,,,,,,,,,,,,,Case series,1468,We included the patients reported between 11/01/2020 and 25/03/2020.,,,,Results: We described 1468 COVID-19 cases (confirmed by RT-PCR) and 4271 patients with other illnesses.,Variable Kidney disease OR (95% CI) 0.06 (0 - 1.06) p value 0.06,2020-04-17
