,Date,Title,URL,Journal,Severe,Severe lower bound,Severe upper bound,Severe p-value,Severe Significant,Severe Adjusted,Severe Calculated,Fatality,Fatality lower bound,Fatality upper bound,Fatality p-value,Fatality Significant,Fatality Adjusted,Fatality Calculated,Multivariate adjustment,Design,Sample,Study population,Added on,Critical only,Discharged vs. death?,Sample Text,Matches,Entry
,2020-05-31,The Need to Include Assisted Living in Responding to the COVID-19 Pandemic,https://doi.org/10.1016/j.jamda.2020.03.024,Journal of the American Medical Directors Association,,,,,,,,,,,,,,,,Other,,"Variability in regulation extends to staffing, 15 nursing services, 16 and most importantly for COVID-19, infection control practices.",,,,"Variability in regulation extends to staffing, 15 nursing services, 16 and most importantly for COVID-19, infection control practices.","In addition, persons with dementia have higher hospitalization rates than persons without dementia, even when comparing those who have underlying health conditions including diabetes, chronic kidney disease, and chronic obstructive pulmonary disease.14 Because persons with dementia are at greater risk and typically unable to communicate their medical symptoms, it's important to remain especially vigilant to medical signs of possible COVID-19 in persons with dementia.

In addition, persons with dementia have higher hospitalization rates than persons without dementia, even when comparing those who have underlying health conditions including diabetes, chronic kidney disease, and chronic obstructive pulmonary disease.",2020-04-24
,2020-05-06,Choroid plexus and the blood–cerebrospinal fluid barrier in disease,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7201396/,Fluids Barriers CNS,,,,,,,,,,,,,,,,Other,,"Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), causing the coronavirus disease 2019 (COVID-19), was recently described by the World Health Organization (WHO) .",,,,"In the CP of MS patients, lymphocytes were present in both the vessels and stroma.","Alzheimer´s disease (AD) is the most common neurodegenerative disorder characterized by dementia, synaptic loss and cognitive impairment.",2020-05-12
,2020-05-06,Evidence Supports a Causal Model for Vitamin D in COVID-19 Outcomes,https://doi.org/10.1101/2020.05.01.20087965,medrxiv,,,,,,,,,,,,,,,,Other,212.0,"The first death occurred on 9th Jan 2020 in Wuhan, China.",,,,Phillipine Dr Mark Alipio recently published a (preprint) retrospective multicentre study of 212 cases with laboratory-confirmed infection of SARS-CoV-2 from three hospitals in Southern Asian countries.,Vitamin D deficiency is associated with a substantially increased risk of all-cause dementia and Alzheimer disease .,2020-05-12
,2020-05-04,"Achieving Safe, Effective and Compassionate Quarantine or Isolation of Older Adults with Dementia in Nursing Homes.",https://doi.org/10.1016/j.jagp.2020.04.025,The American Journal of Geriatric Psychiatry,,,,,,,,,,,,,,,,Other,,We informed her substitute decision-maker of the necessity of quarantine and obtained consent for all measures.,,,,"In keeping with hospital policies, she was restrained at intervals no longer than two hours, and she was monitored and socially engaged by staff every 15 minutes for the first hour and every 30 minutes thereafter.","Mrs X, a 65 year-old woman with frontotemporal dementia was admitted to a tertiary dementia behavioural unit.",2020-05-12
,2020-04-22,Potential effect of natural and anabolizan steroids in elderly patient with COVID-19,https://doi.org/10.1016/j.mehy.2020.109772,Med Hypotheses,,,,,,,,,,,,,,,,Other,,"Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2 or COVID-2019) is a novel emerging global health threatening pathogen, originating from Wuhan, China in December 2019 .",,,,,Improvement of dementia with cytotoxic treatment was reported in a case of Alzheimer disease.,2020-05-12
,2020-04-22,Coronavirus Disease (COVID-19) Pandemic: An Overview of Systematic Reviews,https://doi.org/10.1101/2020.04.16.20068213,medrxiv,,,,,,,,,,,,,,,,Systematic review,1063.0,"Methods: Nine databases (Medline, EMBASE, Cochrane Library, CINAHL, Web of Sciences, PDQ-Evidence, WHO's Global Research, LILACS and Epistemonikos) were searched from December 1, 2019 to March 24, 2020.",,,,"Our search retrieved 1,063 publications, of which 175 were duplicates.","The most common comorbidities were hypertension (17±7, 95% CI 14-22%), diabetes (8±6, 95% CI 6-11%), cardiovascular diseases (5±4, 95% CI 4-7%) and respiratory system diseases (2±0, 95% CI 1-3%).",2020-05-01
,2020-04-18,Anticipating and Mitigating the Impact of COVID-19 Pandemic on Alzheimer's Disease and Related Dementias,https://doi.org/10.1016/j.jagp.2020.04.010,The American Journal of Geriatric Psychiatry,,,,,,,,,,,,,,,,Other,48548.0,"We discuss and propose mitigation strategies for: the risk of COVID-19 infection and its associated morbidity and mortality for individuals with ADRD; the impact of COVID-19 on the diagnosis and clinical management of ADRD; consequences of societal responses to COVID-19 in different ADRD care settings; the effect of COVID-19 on caregivers and physicians of individuals with ADRD; mental hygiene, trauma, and stigma in the time of COVID-19; and the potential impact of COVID-19 on ADRD research.",,,,"Hospital staff and physicians are highly vulnerable to contracting COVID-19: of the first 48,548 confirmed cases in China (as of February 14, 2020), 1,716 (3.7%) were health care workers and professionals, 2 as were 2,026 (9.0%) of the first 22,512 confirmed cases in Italy (as of March 15, 2020) .","Individuals with dementia are more likely to have cardiovascular disease, diabetes and pneumonia compared to individuals of the same age without dementia.

28 Age, illness, depression, trauma, and dementia are all risk factors for suicide.",2020-04-24
,2020-04-18,One-Year Visiting Care Service Treatment with Korean Medicine for a Solitary Elderly Woman in a Public Health Setting: A Case Report,https://doi.org/10.1016/j.explore.2020.04.004,EXPLORE,,,,,,,,,,,,,,,,Other,5.0,"In January 2020, due to the outbreak of coronavirus disease 2019 in Korea, this visiting care service was inevitably discontinued.",,,,"Among her five children, her eldest son died of acute myeloid leukemia 20 years ago and the others lived in the city.","In this vulnerable population, neuropsychiatric complications such as senile depression and dementia as well as chronic pain conditions often co-occur.",2020-04-24
,2020-04-17,Dementia care during COVID-19,https://doi.org/10.1016/s0140-6736(20)30755-8,The Lancet,,,,,,,,,,,,,,,,Other,,We urge caution and encourage using published guidelines 3 RT-PCR-confirmed COVID-19 from the Diamond Princess cruise ship.,,,,"CT findings in patients with COVID-19, on the other hand, are seen with numerous pathogens and in many non-infectious aetiologies.","As recommended by international dementia experts and Alzheimer's Disease International,10 support for people living with dementia and their carers is needed urgently worldwide.

As recommended by international dementia experts and Alzheimer's Disease International, 10 support for people living with dementia and their carers is needed urgently worldwide.",2020-04-17
,2020-03-26,"COVID-19 clinical characteristics, and sex-specific risk of mortality: Systematic Review and Meta-analysis",https://doi.org/10.1101/2020.03.24.20042903,medrxiv,,,,,,,,,,,,,,,,Systematic review,4789.0,"Methods: We reviewed the scientific literature published from January 1, 2019 to March 3, 2020.",,,,A total of 4789 patients with a mean age of 49 years were evaluated.,"The most common comorbidities were respectively hypertension (18.5 %, CI 12.7-24.4), 246 cardiovascular diseases (14.9 %, CI 6.0-23.8), diabetes (10.8 %, CI 8.3-13.3), chronic liver 247 disease (8.1, CI 4.6-11.6) and smoking (8.0%, CI 2.3-13.6) ( Table 3) .",2020-04-03
,2020-03-20,"Incidence, clinical characteristics and prognostic factor of patients with COVID-19: a systematic review and meta-analysis",https://doi.org/10.1101/2020.03.17.20037572,medrxiv,,,,,,,,,,,,,,,,Systematic review,30.0,"Methods: The PubMed, Web of Science Core Collection, Embase, Cochrane and MedRxiv databases were searched through February 25, 2020.",,,,"Results: A total of 30 studies including 53000 patients with COVID-19 were included in this study, the mean age was 49.8 years (95% CI, 47.5-52.2 yrs) and 55.5% were male.","The predictor for disease severity included old age (≥ 50 yrs, odds ratio [OR] = 2.61; 95% CI, 2.29-2.98), male (OR =1.348, 95% CI, 1.195-1.521), smoking (OR =1.734, 95% CI, 1.146-2.626) and any comorbidity (OR = 2.635, 95% CI, 2.098-3.309), especially chronic kidney disease (CKD, OR = 6.017; 95% CI, 2.192-16.514), chronic obstructive pulmonary disease (COPD, OR = 5.323; 95% CI, 2.613-10.847) and cerebrovascular disease (OR = 3.219; 95% CI, 1.486-6.972).

Comorbidities with pooled OR larger than 2 included CKD (6.02; 95% CI, 2.19-16.51; n = 4; I 2 = 0), COPD (5.32; 95% CI, ; n = 6; I 2 = 0%), cerebrovascular diseases (3.19 ; 95% CI, 1.51-6.77; n = 6; I 2 = 0%), tumor (3.21; 95% CI, ; n = 4; I 2 = 30%), diabetes (2.49; 95% CI, ; n = 10; I 2 = 44%) and hypertension (2.06; 95% CI, 1.61-2.62; n = 10; I 2 = 36%) ( Figure 4 , eFigure 5).",2020-03-27
,2020-03-12,Prevalence of comorbidities and its effects in patients infected with SARS-CoV-2: a systematic review and meta-analysis,https://doi.org/10.1016/j.ijid.2020.03.017,Int J Infect Dis,,,,,,,,,,,,,,,,Systematic review,576.0,"A systematic search was conducted on studies published from January 1, 2019 to February 25, 2020 in PubMed, EMBASE, and Web of Science databases.",,,,"As of February 25, 2020, a total of 1 576 participants were included in our meta-analysis.","The most prevalent comorbidities were hypertension (21.1%, 95% CI: 13.0–27.2%) and diabetes (9.7%, 95% CI: 7.2–12.2%), followed by cardiovascular disease (8.4%, 95% CI: 3.8–13.8%) and respiratory system disease (1.5%, 95% CI: 0.9–2.1%).",2020-05-12
0,2020-04-16,Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio,http://doi.org/10.1101/2020.04.13.20063545,,,,,,,,,HR 1.8,1.1,2.5,,Significant,Adjusted,Extracted,Age and gender,Retrospective observational study,2362.0,"All patients in Reggio Emilia, Italiy from Feb 27 to April 2, 2022",5/6/2020,N,N,,,
1,2020-04-16,Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio,https://doi.org/10.1101/2020.04.13.20063545,medRxiv,HR 1.2,0.9,1.8,,Not Significant,Not Adjusted,Extracted,HR 1.8,1.1,2.8,,Significant,Not Adjusted,Extracted,,Retrospective observational study,2653.0,"All symptomatic patients who tested positive in Reggio from February 27 to April 2, 2020.",5/6/2020,N,N,,,
