,Date,Title,URL,Journal,Severe,Severe lower bound,Severe upper bound,Severe p-value,Severe Significant,Severe Adjusted,Severe Calculated,Fatality,Fatality lower bound,Fatality upper bound,Fatality p-value,Fatality Significant,Fatality Adjusted,Fatality Calculated,Multivariate adjustment,Design,Sample,Study population,Added on,Critical only?,Discharged vs. death?,Sample Text,Matches,Entry
,2020-12-31,An increasing risk of family violence during the Covid-19 pandemic: Strengthening community collaborations to save lives,https://doi.org/10.1016/j.fsir.2020.100089,Forensic Science International: Reports,,,,,,,,,,,,,,,,Other,,"In the United States, 67 % of substantiated child abuse or neglect reports come from victim-serving professionals and 19 % of these reports come from education personnel .",,,,"In fact, organized child welfare efforts in the United States were birthed from Henry Bergh's successes with the Society for the Prevention of Cruelty to Animals in New York in 1800 0 s .","Perpetrators of domestic violence who also abuse animals are more likely have mental illness and/or abuse substances, have attempted suicide, and to have access to a firearm than domestic violence abusers who do not abuse pets .",2020-04-24
,2020-07-31,Danger in danger: Interpersonal violence during COVID-19 quarantine,https://doi.org/10.1016/j.psychres.2020.113046,Psychiatry Research,,,,,,,,,,,,,,,,Other,,"Method Very recent studies focusing on abusive situations during COVID emergence were identified in PubMed/Medline, Scopus, Embase.",,,,"Method Very recent studies focusing on abusive situations during COVID emergence were identified in PubMed/Medline, Scopus, Embase.","It has been outlined that children and adolescents' exposure to violence by adults within the family, either through witnessing or victimisation, is detrimental to mental and physical health and can be associated with anxiety, depression, eating disorders, substance use and smoking, self-arm or suicidal ideation and a poorer general health.",2020-05-12
,2020-06-30,Psychological interventions during COVID-19: Challenges for low and middle income countries,https://doi.org/10.1016/j.ajp.2020.102128,Asian Journal of Psychiatry,,,,,,,,,,,,,,,,Other,,"Abstract At the start of 2020, the 2019 coronavirus disease (COVID-19), originating from China has spread to the world.",,,,"The same holds true for patients of epilepsy on regular treatment (Duan and Zhu, 2020).",Withdrawal symptoms may be seen in patients with substance abuse to alcohol and drugs.,2020-05-12
,2020-06-30,Epidemic of COVID-19 in China and associated Psychological Problems,https://doi.org/10.1016/j.ajp.2020.102092,Asian Journal of Psychiatry,,,,,,,,,,,,,,,,Other,,"An online survey was conducted on a sample of 1074 Chinese people, majority of whom from Hubei province.",,,,A total of 1074 people were participated in the present study.,"Table 4 shows significant interaction of gender to alcohol abuse (χ 2 = 19.696, p < .001, effect size = .135).

 Table 4 shows significant interaction of gender to alcohol abuse (χ2 = 19.696, p < .001, effect size = .135).",2020-05-12
,2020-06-30,COVID-19 pathophysiology: A review,https://doi.org/10.1016/j.clim.2020.108427,Clinical Immunology,,,,,,,,,,,,,,,,Other,2134.0,The risk factors of in-hospital death were studied using the data of two hospitals in Wuhan.,,,,"In the report of 2134 pediatric patients with COVID-19 from the China CDC, 4.4%, 50.9%, 38.8%, and 5.9% of patients were diagnosed as asymptomatic, mild, moderate, or severe, respectively .",These conditions are more prevalent in men and linked to smoking and drinking alcohol .,2020-05-12
,2020-05-04,A national prospective cohort study of SARS/COV2 pandemic outcomes in the U.S.: The CHASING COVID Cohort,https://doi.org/10.1101/2020.04.28.20080630,medrxiv,,,,,,,,,,,,,,,,Prospective observational,7500.0,"Methods: We used internet-based strategies to enroll C3 participants beginning March 28th, 2020.",,,,"The C 3 had a targeted sample size of 7,500 participants.","We will also measure and describe the prevalence of food insecurity 9 , substance use 16, 17 , unhealthy drinking (Alcohol Use Disorders Identification Test",2020-05-12
,2020-05-03,"CoVID-19 vs. epilepsy: It is time to move, act and encourage physical exercise’?",https://doi.org/10.1016/j.yebeh.2020.107154,Epilepsy & Behavior,,,,,,,,,,,,,,,,Other,,"Emotional and psychological stress before, during and after the CoVID-19",,,,"Emotional and psychological stress before, during and after the CoVID-19","pandemic could include fear, change in sleep patterns, eating, physical inactivity, difficulty in concentration, worsening of chronic health problems and mental health conditions, and increased use of alcohol, tobacco, or other illicit drugs .",2020-05-12
,2020-05-02,Estimation of COVID-19 spread curves integrating global data and borrowing information,https://doi.org/,ArXiv,,,,,,,,,,,,,,,,Modeling,60.0,We collected the data from the Center for Systems Science and Engineering at the Johns Hopkins University.,,,,Life expect total 60 (14) Life expectancy at age 60 (years) in 2016.,Alcohol consumers total Alcohol consumers past 12 months (those adults who consumed alcohol in the past 12 months) (% of total) in 2016.,2020-05-12
,2020-04-30,Trend and forecasting of the COVID-19 outbreak in China,https://doi.org/10.1016/j.jinf.2020.02.014,Journal of Infection,,,,,,,,,,,,,,,,Other,10.0,"By using the public data from Jan. 20 to Feb. 11, 2020, we perform data-driven analysis and forecasting on the COVID-19 epidemic in mainland China, especially Hubei province.",,,,"Out of the ten patients with imported CHIKV infection examined in this study, nine patients had traveled back from Myanmar and one patient had travelled back from Thailand ( Fig.","Comorbidities included, obesity, hypertension, asthma, COPD, diabetes, anxiety, depression, epilepsy, a history of smoking and alcohol use (or abuse).",2020-05-01
,2020-04-30,Analysis of angiotensin-converting enzyme 2 (ACE2) from different species sheds some light on cross-species receptor usage of a novel coronavirus 2019-nCoV,https://doi.org/10.1016/j.jinf.2020.02.013,Journal of Infection,,,,,,,,,,,,,,,,Other,10.0,"2 On the basis of laboratory surveillance data from 30 Chinese provinces spanning about 12 years from October 2004 through January 2017, our study further characterized seasonal patterns of circulating influenza A subtypes and influenza B lineages in the three defined epidemiological regions.",,,,"Out of the ten patients with imported CHIKV infection examined in this study, nine patients had traveled back from Myanmar and one patient had travelled back from Thailand ( Fig.","Comorbidities included, obesity, hypertension, asthma, COPD, diabetes, anxiety, depression, epilepsy, a history of smoking and alcohol use (or abuse).",2020-04-10
,2020-04-29,Unhappiness and Age,https://doi.org/10.1016/j.jebo.2020.04.022,Journal of Economic Behavior & Organization,,,,,,,,,,,,,,,,Other,,UK data on anxiety is available from the Annual Population Survey collected by the Office of National Statistics.,,,,Table 6 reports two sets of regression results for these two variables with limited and a full set of personal controls.,"2020, p107 identified deaths of despair by country, defined as deaths by suicide, acute alcohol abuse or drug poisonings.",2020-05-01
,2020-04-29,"Maintaining high quality multidisciplinary pain medicine fellowship programs: Part I: Innovations in pain fellows’ education, research, applicant selection process, wellness and ACGME implementation during the Covid-19 pandemic",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7197561/,Pain Med,,,,,,,,,,,,,,,,Other,,Reprinted with permission from ACGME.,,,,Reprinted with permission from ACGME.,"The repercussions of burnout include increased medical errors, impaired professionalism and empathy, higher rates of drug and alcohol abuse, domestic violence, and suicide .",2020-05-12
