,Date,Title,URL,Journal,Severe,Severe lower bound,Severe upper bound,Severe p-value,Severe Significant,Severe Adjusted,Severe Calculated,Fatality,Fatality lower bound,Fatality upper bound,Fatality p-value,Fatality Significant,Fatality Adjusted,Fatality Calculated,Multivariate adjustment,Design,Sample,Study population,Added on,Critical only,Discharged vs. death?,Sample Text,Matches,Entry
,2020-07-31,"Epidemiological and clinical characteristics analysis of COVID-19 in the surrounding areas of Wuhan, Hubei Province in 2020",https://doi.org/10.1016/j.phrs.2020.104821,Pharmacological Research,,,,,,,,,,,,,,,,Other,73.0,"Methods We retrospectively investigated COVID-19 patients positively confirmed by nucleic acid Q-PCR at Taihe Hospital from January 16 to February 4, 2020.",,,,"This study included 73 patients with COVID-19, of which 9 were clustered in families.","Of the endocrine disease patients, 4 cases had diabetes .",2020-05-12
,2020-06-30,2019 novel coronavirus (2019-nCoV) outbreak: A new challenge,https://doi.org/10.1016/j.jgar.2020.02.021,Journal of Global Antimicrobial Resistance,,,,,,,,,,,,,,,,Other,5.0,Methods The currently available literature was reviewed for microbiologically confirmed infections by 2019-nCoV or COVID-19 at the time of writing (13 February 2020).,,,,", in up to 12% of cases an increase in troponin I count occurred, and five patients complained of an acute cardiac injury: this finding requires further study to assess the heart tropism of 2019-nCoV and the cardiovascular risk of infected patients during acute illness.","Cardiovascular, digestive and endocrine system diseases were commonly reported, except previous chronic pulmonary diseases [e.g.",2020-04-10
,2020-05-31,"Clinical progression of patients with COVID-19 in Shanghai, China",https://doi.org/10.1016/j.jinf.2020.03.004,Journal of Infection,,,,,,,,,,,,,,,,Retrospective observational,249.0,"Methods In this retrospective, single-center study, we included confirmed cases of COVID-19 from Jan 20 to Feb 6, 2020 in Shanghai.",,,,"As of Feb 6, 2020, a total of 249 patients were enrolled in this study.","Cardiovascular and cerebrovascular diseases were the most common comorbidities (55[21.7%]), followed by endocrine system diseases (25[10.0%]).",2020-04-17
,2020-04-22,Coronavirus Disease (COVID-19) Pandemic: An Overview of Systematic Reviews,https://doi.org/10.1101/2020.04.16.20068213,medrxiv,,,,,,,,,,,,,,,,Systematic review,1063.0,"Methods: Nine databases (Medline, EMBASE, Cochrane Library, CINAHL, Web of Sciences, PDQ-Evidence, WHO's Global Research, LILACS and Epistemonikos) were searched from December 1, 2019 to March 24, 2020.",,,,"Our search retrieved 1,063 publications, of which 175 were duplicates.","Cardiovascular, digestive and endocrine system diseases were commonly reported.

The most common comorbidities were hypertension (17±7, 95% CI 14-22%), diabetes (8±6, 95% CI 6-11%), cardiovascular diseases (5±4, 95% CI 4-7%) and respiratory system diseases (2±0, 95% CI 1-3%).",2020-05-01
,2020-04-21,Letter to the Editor: “Our Response to COVID-19 as Endocrinologists and Diabetologists”,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7188172/,J Clin Endocrinol Metab,,,,,,,,,,,,,,,,Other,,We read with great attention the recent editorial by Kaiser et al.,,,,regarding endocrine diseases and COVID-19 (1) .,regarding endocrine diseases and COVID-19 .,2020-05-12
,2020-04-14,"Clinical Characteristics of COVID-19 Patients With Digestive Symptoms in Hubei, China: A Descriptive, Cross-Sectional, Multicenter Study",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7172492/,Am J Gastroenterol,,,,,,,,,,,,,,,,Cross-sectional,204.0,"METHODS: In this descriptive, cross-sectional, multicenter study, we enrolled confirmed patients with COVID-19 who presented to 3 hospitals from January 18, 2020, to February 28, 2020.",,,,"This resulted in an analyzable population of 204 COVID-19-positive patients, of whom 70 (34%) were critically ill.","There were 44 (21.6%) patients with cardiovascular diseases, 24 (11.8%) patients with endocrine system diseases, and others with respiratory diseases (9 [4.4%]), malignant tumors (13 [6.3%]), and other disorders, as shown in Table 1.

There were 44 (21.6%) patients with cardiovascular diseases, 24 (11.8%) patients with endocrine system diseases, and others with respiratory diseases (9 [4.4%]), malignant tumors (13 [6.3%]), and other disorders, as shown in Table 1 .",2020-05-01
,2020-04-11,"Epidemiological and clinical features of 125 Hospitalized Patients with COVID-19 in Fuyang, Anhui, China",https://doi.org/10.1016/j.ijid.2020.03.070,International Journal of Infectious Diseases,,,,,,,,,,,,,,,,Retrospective observational,125.0,"Patients from Jan 20 to Feb 9, 2020, who were diagnosed with COVID-19 at the NO.2 People's Hospital of Fuyang City were enrolled in this study.",,,,"By Feb 9 ,125 patients confirmed COVID-19 in Fuyang, Anhui province were enrolled in this study, including 25 critical patients.","Both Patient 116 and Patient 123 had cardiovascular and endocrine diseases.

34(27.2%) patients have chronic underlying diseases, which are cardiovascular disease, endocrine system disease and digestive system disease mainly (table 1) .",2020-04-17
,2020-03-30,"Clinical features and outcomes of 197 adult discharged patients with COIVD-19 in Yichang, Hubei",https://doi.org/10.1101/2020.03.26.20041426,medrxiv,,,,,,,,,,,,,,,,Retrospective observational,197.0,"All adult discharged patients with COVID-19 from Yichang Central People's Hospital and Yichang third People's Hospital from Jan 17 to Feb 26, 2020.",,,,Results There were 197 adult discharged patients with COIVD-19 in this study.,"48 patients were accompanied with underlaying illness, including cardiovascular (24.4%) and cerebrovascular diseases (4.6%), endocrine system diseases (9.1%), chronic renal disease (1.5%), malignant tumor(1.5%), and digestive system diseases (1.0%), nervous system diseases.",2020-04-10
,2020-03-27,A new threat from an old enemy: Re-emergence of coronavirus (Review),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7169834/,Int J Mol Med,,,,,,,,,,,,,,,,Other,3.0,"Emerging data from hospitalized COVID-19 cases in Wuhan (Hubei province, China) indicate males (68%) and middle-age adults in the age group of 50-59 years to be predominantly affected, with a prevalence under 10% in people aged <39 years.",,,,"Recently, three comparison studies were made with coronavirus strains from pangolins.","Among these cases, 51% had chronic diseases such as cardiovascular and cerebrovascular diseases (40%), endocrine system disease (13%), digestive system disease (11%), respiratory system disease (1%), malignant tumor (1%), and nervous system disease (1%) .

Among these cases, 51% had chronic diseases such as cardiovascular and cerebrovascular diseases (40%), endocrine system disease (13%), digestive system disease (11%), respiratory system disease (1%), malignant tumor (1%), and nervous system disease (1%) (13 .",2020-05-01
,2020-03-27,Clinical features and the maternal and neonatal outcomes of pregnant women with coronavirus disease 2019,https://doi.org/10.1101/2020.03.22.20041061,medrxiv,,,,,,,,,,,,,,,,Retrospective observational,33.0,"METHODS In this retrospective analysis from five hospitals, we included pregnant women with Covid-19 from January 1 to February 20, 2020.",,,,RESULTS Thirty-three pregnant women with Covid-19 and 28 newborns were identified.,"Fifteen (45.5%) women had chronic disorders involving cardiovascular and cerebrovascular, digestive, endocrine, and nervous systems, as well as infectious diseases and depressive All rights reserved.",2020-04-03
,2020-03-26,"COVID-19 clinical characteristics, and sex-specific risk of mortality: Systematic Review and Meta-analysis",https://doi.org/10.1101/2020.03.24.20042903,medrxiv,,,,,,,,,,,,,,,,Systematic review,4789.0,"Methods: We reviewed the scientific literature published from January 1, 2019 to March 3, 2020.",,,,A total of 4789 patients with a mean age of 49 years were evaluated.,"The most common comorbidities were respectively hypertension (18.5 %, CI 12.7-24.4), 246 cardiovascular diseases (14.9 %, CI 6.0-23.8), diabetes (10.8 %, CI 8.3-13.3), chronic liver 247 disease (8.1, CI 4.6-11.6) and smoking (8.0%, CI 2.3-13.6) ( Table 3) .",2020-04-03
