,Date,Title,URL,Journal,Severe,Severe lower bound,Severe upper bound,Severe p-value,Severe Significant,Severe Adjusted,Severe Calculated,Fatality,Fatality lower bound,Fatality upper bound,Fatality p-value,Fatality Significant,Fatality Adjusted,Fatality Calculated,Multivariate adjustment,Design,Sample,Study population,Added on,Critical only,Discharged vs. death?
0,2020-04-29,"Clinical Characteristics and Short-Term Outcomes of Severe Patients with COVID-19 in Wuhan, China",https://doi.org/10.1101/2020.04.24.20078063,medrxiv,HR 1.6,0.64,4.01,0.32,Not Significant,Not Adjusted,Extracted,,,,,,,,,Prospective observational study,114,"Union Hospital from January 23, 2020 to February 22, 2020",5/6/2020,Y,N
1,2020-04-28,Association of Cardiovascular Disease with Coronavirus Disease 2019 (COVID-19) Severity: A Meta-Analysis Association of Cardiovascular Disease with Coronavirus Disease 2019 (COVID-19) Severity: A Meta-Analysis,http://doi.org/10.1016/j.cpcardiol.2020.100617,Current Problems in Cardiology,OR 3.14,2.32,4.24,,Significant,Not Adjusted,Extracted,OR 11.08,2.59,47.32,,Significant,Not Adjusted,Extracted,,Systematic review and meta-analysis,4858; 18 studies,"Pubmed, Embase and Cochrane Central Register of Controlled Trials were searched from Nov 1 to April 20, 2020",5/6/2020,N,N
2,2020-04-28,"Clinical determinants for fatality of 44,672 patients with COVID-19",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7187660/,Critical Care,,,,,,,,RR 6.75,5.4,8.43,<0.01,Significant,Not Adjusted,"Extracted RR, Calculated OR",,Case series,44672,"Chinese center for disease control and prevention (44,672 laboratory confirmed cases updated through February 11, 2020, [2])",5/6/2020,N,N
3,2020-04-27,Estimating Survival of Hospitalized COVID-19 Patients from Admission Information,http://doi.org/10.1101/2020.04.22.20075416,medrxiv,,,,,,,,OR 2.57,2.11,3.14,<0.01,Significant,Not Adjusted,Calculated,,Retrospective observational study,5233,"Northwell Health acute care hospitals on or after March 1, 2020, and were discharged or died before April 12, 2020. Clinical outcomes (i.e., discharges, mortality, and length of stay) were monitored until April 12, 2020, the final date of follow-up",5/6/2020,N,Y
4,2020-04-25,Association between rRT-PCR test results upon admission and outcome in hospitalized chest CT-Positive COVID-19 patients; a provincial retrospective cohort with active follow-up,https://doi.org/10.1101/2020.04.21.20074641,medrxiv,,,,,,,,OR 1.57,0.86,2.87,0.19,Not Significant,Adjusted,Extracted,"Age, ICU admission, PCR test results, admission week, number of comorbidities, gender, chronic lung disease, diabetes, chronic kidney disease, immunodeficiency, hypertension",Retrospective observational study,1197,"Qazvin province hospitals Feb 20-March 11, 2020",5/6/2020,N,N
5,2020-04-23,Risk factors of critical & mortal COVID-19 cases: A systematic literature review and meta-analysis,https://doi.org/10.1016/j.jinf.2020.04.021,Journal of Infection,OR: 5.19,3.25,8.29,,Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,3029; 13 studies,China,5/6/2020,Y,N
6,2020-04-23,Clinical Characteristics of Hospitalized Covid-19 Patients in New York City,https://doi.org/10.1101/2020.04.19.20062117,medrxiv,,,,,,,,OR 2.98,2.12,4.18,<0.01,Significant,Not Adjusted,Calculated,,Retrospective observational study,1078,"Mount Sinai Hospital located in East Harlem, Manhattan; Mount Sinai Morningside located in Morningside Heights, Manhattan; Mount Sinai West located in Midtown and the West Side, Manhattan; Mount Sinai Brooklyn located in Midwood, Brooklyn; and Mount Sinai Queens located in Astoria, Queens from Feb 25, 2020 to April 2, 2020",5/6/2020,N,Y
7,2020-04-17,Clinical Characteristics of Covid-19 in New York City,https://doi.org/10.1056/nejmc2010419,New England Journal of Medicine,OR 1.92,1.07,3.44,0.03,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,393,"2 hospitals in Manhattan from March 3 - March 27, 2020",5/6/2020,Y,N
8,2020-04-17,Risk factors for severe COVID-19: evidence from 167 hospitalized patients in Anhui,http://doi.org/10.1016/j.jinf.2020.04.010,Journal of Infection,OR 2.15,0.8,5.76,0.13,Not Significant,Not Adjusted,Calculated,,,,,,,,,Observational study,167,"Anhui, China",5/6/2020,N,N
9,2020-04-16,Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio,http://doi.org/10.1101/2020.04.13.20063545,,,,,,,,,HR 1.7,1.25,2.5,,Significant,Adjusted,Extracted,Age and gender,Retrospective observational study,2362,"All patients in Reggio Emilia, Italiy from Feb 27 to April 2, 2021",5/6/2020,N,N
10,2020-04-16,Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio,https://doi.org/10.1101/2020.04.13.20063545,medRxiv,HR 1.3,1.0,1.7,,Not Significant,Not Adjusted,Extracted,HR 1.7,1.2,2.5,,Significant,Not Adjusted,Extracted,,Retrospective observational study,2653,"All symptomatic patients who tested positive in Reggio from February 27 to April 2, 2020.",5/6/2020,N,N
11,2020-04-16,Cardiovascular Diseases and COVID-19 Mortality and Intensive Care Unit Admission: A Systematic Review and Meta-analysis [medrxiv],https://doi.org/10.1101/2020.04.12.20062869,medRxiv,4.19,1.27,13.8,,Significant,Not Adjusted,Extracted,OR 1.95,1.17,3.24,,Significant,Not Adjusted,Extracted,,Systematic review and meta-analysis,3473; 16 studies,"PubMed, Embase, Cochrane Library, Scopus, Web of Science as well as medRxiv pre-print database, Google Scholar and journal websites were searched",5/6/2020,Y,N
12,2020-04-15,"Risk factors for disease severity, unimprovement, and mortality of COVID-19 patients in Wuhan, China [Clinical Microbiology and Infection]",https://www.clinicalmicrobiologyandinfection.com/article/S1198-743X(20)30217-2/pdf,Clinical Microbiology and Infection,OR 3.16,2.07,4.81,<0.01,Significant,Not Adjusted,Calculated,OR 5.89,2.55,13.59,0,Significant,Not Adjusted,Calculated,,Retrospective observational study,663,"Renmin Hospital of Wuhan University from January 11th to February 6th, 2020",5/6/2020,N,N
13,2020-04-15,Risk Factors of Fatal Outcome in Hospitalized Subjects With Coronavirus Disease 2019 From a Nationwide Analysis in China Q28,http://doi.org/10.1016/j.chest.2020.04.010,,,,,,,,,HR 4.28,1.14,16.13,,Significant,Adjusted,Extracted,"Age, cerebrovascular disease, dyspnea, procalcitonin, AST",Retrospective observational study,1590,"575 hospitals in China through January 31, 2020",5/6/2020,N,N
14,2020-04-12,Risk factors for severity and mortality in adult COVID-19 inpatients in Wuhan Risk factors for severity and mortality in adult COVID-19 1 inpatients in Wuhan,http://doi.org/10.1016/j.jaci.2020.04.006,Journal of Allergy and Clinical Immunology,OR 5.29,2.15,12.98,<0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,548,"Sino-French New City Branch of Tongji Hospital, Huazhong University of Science and 161 Technology in Wuhan from January 26, 2020 to February 5, 2021",5/6/2020,N,N
15,2020-04-11,"Factors associated with hospitalization and critical illness among 4,103 patients with",http://doi.org/10.1101/2020.04.08.20057794,medRxiv,OR 0.89,0.55,1.41,0.61,Not Significant,Not Adjusted,Extracted,,,,,,,,,Cross-sectional study,4103,"Single-center study in  New York City between March 1, 2020 and April 2, 2020, with follow up through April 7, 2024",4/21/2020,Y,N
16,2020-04-03,History of coronary heart disease increases the mortality rate of COVID-19 patients: a nested case-control study,https://doi.org/10.1101/2020.03.23.20041848,medRxiv,,,,,,,,AHR 3.0,1.8,5.0,<0.01,Significant,Adjusted,Extracted,"Age, gender, admitted before 1/11/2020, COPD, renal failure, cerebral infarction",Retrospective observational study,275,"mainland China outside of Hubei Province, from December 18th, 2019 to March 8, 2028",4/10/2020,N,N
17,2020-04-03,History of coronary heart disease increases the mortality rate of COVID-19 patients: a nested case-control study,https://doi.org/10.1101/2020.03.23.20041848,medRxiv,,,,,,,,HR 4.2,2.5,7.1,<0.01,Significant,Not Adjusted,Extracted,,Retrospective observational study,275,"mainland China outside of Hubei Province, from December 18th, 2019 to March 8, 2021",4/10/2020,N,N
18,2020-04-02,"Clinical features of 95 sequential hospitalised patients with novel coronavirus 2019 disease (COVID-19), the first UK cohort",https://doi.org/10.1016/j.jinf.2020.04.020,Journal of Infection,,,,,,,,OR 2.35,0.79,6.96,0.12,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,95,"North Bristol NHS Trust March 10 to March 30, 2020",5/6/2020,N,N
19,2020-04-01,"Effects of hypertension, diabetes and coronary heart disease on COVID-19 diseases severity: a systematic review and meta-analysis",https://doi.org/10.1101/2020.03.25.20043133,medRxiv,OR 2.85,1.68,4.84,<0.01,Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,1720; 6 studies,"PubMed (1970-2020.03.06, English), Web of science (1950-2020.03.06, English), China National Knowledge Infrastructure Database (CNKI, 1979-2020.03.06, Chinese), WanFang Database (1970-2020.03.06, Chinese), and VIP Database (1970-2020.03.06, Chinese)",4/10/2020,N,N
20,2020-03-27,"A New Predictor of Disease Severity in Patients with COVID-19 in Wuhan, China",http://doi.org/10.1101/2020.03.24.20042119,medRxiv,OR 3.13,1.33,7.35,<0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Prospective observational study,377,"Central Hospital of Wuhan from January 1 to February 28, 2020",4/10/2020,N,N
21,2020-03-23,Prognostic value of C-reactive protein in patients with COVID-19,https://doi.org/10.1101/2020.03.21.20040360,medRxiv,,,,,,,,OR: 2.83,1.25,6.4,0.01,Significant,Not Adjusted,Calculated,,Retrospective observational study,298,"Eastern Campus of Renmin Hospital of Wuhan University from Jan 30 to Feb 20, 2020",4/10/2020,N,Y
22,2020-03-23,"Characteristics of patients with COVID-19 during epidemic ongoing outbreak in Wuhan, China",https://doi.org/10.1101/2020.03.19.20033175,medRxiv,,,,,,,,OR 2.70,1.34,5.43,<0.01,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,403,"Eastern Campus of Renmin Hospital, Wuhan University from Jan 30 to Feb 25, 2020",5/6/2020,N,Y
23,2020-03-23,"Clinical Characteristics of Coronavirus Disease 2019 in Hainan, China",https://doi.org/10.1101/2020.03.19.20038539,medRxiv,OR 4.20,1.27,13.94,0.02,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,168,Hainan province from 22 January 2020 to 14 March 2020,5/6/2020,N,N
24,2020-03-15,Coronavirus Disease 2019 in elderly patients: characteristics and prognostic factors based on 4-week follow-up,https://doi.org/10.1016/j.jinf.2020.03.021,Journal of Infection,,,,,,,,AHR 1.86,1.06,3.26,0.03,Significant,Adjusted,Extracted,"age, cerebrovascular disease, COPD",Prospective observational study,339,"age over 60 years old admitted to Renmin Hospital of Wuhan University from Jan 1 to Feb 6, 2020 (followed up until March 5)",4/10/2020,N,N
25,2020-03-13,Epidemiological characteristics of confirmed COVID-19 cases in Tianjin,https://doi.org/10.3760/cma.j.cn112338-20200221-00146,Chinese Journal of Epidemiology,OR 1.05,1.06,1.08,,Significant,Not Adjusted,Extracted,,,,,,,,,Cross-sectional study,135,Tianjin from Jan 11-Feb 14,4/10/2020,N,N
26,2020-03-10,Prognostic value of NT-proBNP in patients with severe COVID-19,https://doi.org/10.1101/2020.03.07.20031575,Respiratory Research,,,,,,,,HR 2.65,0.99,7.09,,Not Significant,Not Adjusted,Extracted,,Prospective observational study,54,Hubei General Hospital (followed for 15 days),4/10/2020,N,N
