,Date,Title,URL,Journal,Severe,Severe lower bound,Severe upper bound,Severe p-value,Severe Significant,Severe Adjusted,Severe Calculated,Fatality,Fatality lower bound,Fatality upper bound,Fatality p-value,Fatality Significant,Fatality Adjusted,Fatality Calculated,Multivariate adjustment,Design,Sample,Study population,Added on,Critical only,Discharge vs. death?
0,2020-04-29,"Clinical Characteristics and Short-Term Outcomes of Severe Patients with COVID-19 in Wuhan, China",https://doi.org/10.1101/2020.04.24.20078063,medrxiv,HR 1.12,0.46,2.75,0.8,Not Significant,Not Adjusted,Extracted,,,,,,,,,Prospective observational study,114,"Union Hospital from January 23, 2020 to February 22, 2020",05/06/20,Y,N
1,2020-04-29,Hypertension and Renin-Angiotensin-Aldosterone System Inhibitors in Patients with Covid-19,https://doi.org/10.1101/2020.04.24.20077388,medrxiv,,,,,,,,OR: 3.7,2.99,4.58,,Significant,Not Adjusted,Extracted,,Retrospective observational study,3017,Hackensack Meridian Health network,05/06/20,N,Y
2,2020-04-29,Supplementing the National Early Warning Score (NEWS2) for anticipating early deterioration among patients with COVID-19 infection,https://doi.org/10.1101/2020.04.24.20078006,medrxiv,OR 2.55,1.75,3.72,<0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,708,UK NHS hospital from 1st March to 5th April 2020,05/06/20,Y,N
3,2020-04-29,"Role of Drugs Affecting the Renin-Angiotensin-Aldosterone System on Susceptibility and Severity of COVID-19: A Large Case-Control Study from Zheijang Province, China.",https://doi.org/10.1101/2020.04.24.20077875,medrxiv,AOR: 2.35,1.47,3.76,<0.01,Significant,Adjusted,Extracted,,,,,,,,,Retrospective observational study,610,"14 hospitals in Zhejiang province, China between Jan 10 and Feb 28, 2020 and confirmed diagnosis of Covid-19 infection were included",05/06/20,N,N
4,2020-04-28,Association of Digestive Symptoms and Hospitalization in Patients with SARS-CoV-2 Infection,https://doi.org/10.1101/2020.04.23.20076935,medrxiv,OR 2.95,1.07,8.1,0.04,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,207,"Stanford University Hospital and Clinics from March 03, 2020 to April 7, 2020",05/06/20,Y,N
5,2020-04-28,"Clinical determinants for fatality of 44,672 patients with COVID-19",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7187660/,Critical Care,,,,,,,,RR 4.48,3.69,5.45,<0.01,Significant,Not Adjusted,"Extracted RR, Calculated OR",,Case series,44672,"Chinese center for disease control and prevention (44,672 laboratory confirmed cases updated through February 11, 2020, [2])",05/06/20,N,N
6,2020-04-28,"Predictive factors for disease progression in hospitalized patients with Coronavirus Disease 2019 in Wuhan, China",https://doi.org/10.1016/j.jcv.2020.104392,Journal of Clinical Virology,OR 22,6.03,80.3,<0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,111,"Union Hospital, Tongji Medical College, Huazhong University of Science and Technology from January 13 to February 16 in 2020",05/06/20,Y,N
7,2020-04-27,Patients with arterial hypertension and COVID-19 are at higher risk of ICU admission,https://doi.org/10.1016/j.bja.2020.04.056,British Journal of Anaesthesia,OR 2.54,1.83,3.54,,Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,1382; 4 studies,"MEDLINE, Scopus, and Web of Science for all investigations in English published any time up to March 27, 2020",05/06/20,Y,N
8,2020-04-27,Estimating Survival of Hospitalized COVID-19 Patients from Admission Information,http://doi.org/10.1101/2020.04.22.20075416,medrxiv,,,,,,,,OR 1.83,1.61,2.09,<0.01,Significant,Not Adjusted,Calculated,,Retrospective observational study,5233,"Northwell Health acute care hospitals on or after March 1, 2020, and were discharged or died before April 12, 2020. Clinical outcomes (i.e., discharges, mortality, and length of stay) were monitored until April 12, 2020, the final date of follow-up",05/06/20,N,Y
9,2020-04-27,"Characterization of clinical progression of COVID-19 patients in Shenzhen, China",https://doi.org/10.1101/2020.04.22.20076190,medrxiv,OR 4.64,2.5,8.62,<0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,420,Shenzhen between January 11th and March 10th 2020,05/06/20,N,N
10,2020-04-25,The role of comorbidities and clinical predictors of severe disease in COVID-19: a systematic review and meta-analysis Emails,http://doi.org/10.1101/2020.04.21.20074633,,OR 2.35,1.83,3.02,,Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,10 studies,"PubMed, Scopus, EMBASE, Web of Science, and Google Scholar searched through March 12 2022",05/06/20,Y,N
11,2020-04-25,Association between rRT-PCR test results upon admission and outcome in hospitalized chest CT-Positive COVID-19 patients; a provincial retrospective cohort with active follow-up,https://doi.org/10.1101/2020.04.21.20074641,medrxiv,,,,,,,,OR 0.99,0.44,2.2,0.99,Not Significant,Adjusted,Extracted,"Age, ICU admission, PCR test results, admission week, number of comorbidities, cardiovascular disease, chronic lung disease, gender, chronic kidney disease, immunodeficiency, diabetes",Retrospective observational study,1197,"Qazvin province hospitals Feb 20-March 11, 2020",05/06/20,N,N
12,2020-04-24,"COVID-19 in Iran, a comprehensive investigation from exposure to treatment outcomes",https://doi.org/10.1101/2020.04.20.20072421,medrxiv,OR 3.04,0.98,9.46,0.06,Not Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,100,"YAS hospital affiliated to Tehran University of Medical Sciences from Feb 22 to March 5, 2020",05/06/20,Y,N
