,Date,Title,URL,Journal,Severe,Severe lower bound,Severe upper bound,Severe p-value,Severe Significant,Severe Adjusted,Severe Calculated,Fatality,Fatality lower bound,Fatality upper bound,Fatality p-value,Fatality Significant,Fatality Adjusted,Fatality Calculated,Multivariate adjustment,Design,Sample,Study population,Added on,Critical only,Discharged vs. death?,Sample Text,Matches,Entry
,2020-07-31,"The implications of preliminary screening and diagnosis: Clinical characteristics of 33 mild patients with SARS-CoV-2 infection in Hunan, China",https://doi.org/10.1016/j.jcv.2020.104397,Journal of Clinical Virology,,,,,,,,,,,,,,,,Case series,33,"Admission data for these patients were from January 9, 2020 to February 9, 2020.",,,,"Study design From January 19 to February 7, 2020, 33 patients with positive in nucleic acid test of pharyngeal swab were retrospectively collected and analyzed.","Results There are 33 COVID-19 patients (16 male, 17 female), and the median age was 46 years.",2020-05-12
,2020-06-30,"Positive rate of RT-PCR detection of SARS-CoV-2 infection in 4880 cases from one hospital in Wuhan, China, from Jan to Feb 2020",https://doi.org/10.1016/j.cca.2020.03.009,Clinica Chimica Acta,,,,,,,,,,,,,,,,Other,,,,,,,"The male patients are 2251, female are 2629.

The Positive Rate were significantly higher in Male than in Female cases (p<0.01).

But for male, 40.43% were positive while for female, 36.71% were positive ( Table 2 ).",2020-03-27
,2020-06-30,Prevalence and severity of corona virus disease 2019 (COVID-19): A systematic review and meta-analysis,https://doi.org/10.1016/j.jcv.2020.104371,Journal of Clinical Virology,,,,,,,,,,,,,,,,Systematic review,21,"Methods Medline, SinoMed, EMBASE, and Cochrane Library were searched for clinical and epidemiological studies on confirmed cases of COVID-19.",,,,"Twenty-one studies were selected, with a total of 47,344 patients (24,419 male and 22,925 females), representing approximately 40 % of the WHO confirmed.",The sex ratio (male to female) was 1.06 and the overall average age of the subjects was greater than 40 years.,2020-05-12
,2020-05-08,Characterisation of COVID-19 Pandemic in Paediatric Age Group: A Systematic Review,https://doi.org/10.1016/j.jcv.2020.104395,Journal of Clinical Virology,,,,,,,,,,,,,,,,Systematic review,8,Methods Articles published up to the 2nd April 2020 in PubMed and google Scholar were considered for this study.,,,,described eight critically/severely ill patients who were admitted to the ICU.,"Among those patients, males were 59% (147 cases, 95% CI 53-65%) and females were 41% (104 cases, 95% CI 35 -47%).",2020-05-12
,2020-05-07,Coast-to-Coast Spread of SARS-CoV-2 during the Early Epidemic in the United States,https://doi.org/10.1016/j.cell.2020.04.021,Cell,,,,,,,,,,,,,,,,Other,168,"Daily COVID-19 cases from international locations were obtained from the European Centre for Disease Prevention and Control via Our World in Data ( International data were accessed on March 19, 2020.",,,,"The COVID-19 Outbreak in Connecticut Is Phylogenetically Linked to SARS-CoV-2 from Washington (A) We constructed a maximum-likelihood tree using 168 global SARS-CoV-2 protein coding sequences, including 9 sequences from COVID-19 patients identified in Connecticut from March 6-14, 2020.", : 0.092 (95% CI = 0.05-0.20).,2020-05-12
,2020-05-05,Risk Factors of the Severity of COVID-19: A Meta-Analysis,https://doi.org/10.1101/2020.04.30.20086744,medrxiv,,,,,,,,,,,,,,,,Systematic review,2272,"Both of the authors searched through PubMed, Google Scholar, EMBASE, and Cochrane Library using keywords:",,,,We have extracted 2272 patients' information from 10 autonomous studies 14-23 and incorporated them into this research.,"The pooled risk ratio for the male suggests higher risk compared to female patients (RR=1.29; 95% CI, 1.07 to 1.54).

This study found sex (male) (Risk ratio [RR] =1.29, 95% CI, 1.07 to 1.54), hypertension (RR=1.79, 95% CI, 1.57 to 2.04), diabetes (RR=1.57, 95% CI, 1.25 to 1.98), fatigue or myalgia (RR=1.17, 95% CI, 1.02; 1.35), and smoking history (RR=1.71, 95% CI,1.25; 2.35) are potential risk factors for the severity of COVID-19.",2020-05-12
,2020-05-05,Taste Changes (Dysgeusia) in COVID-19: A systematic review and metaanalysis,https://doi.org/10.1053/j.gastro.2020.05.003,Gastroenterology,,,,,,,,,,,,,,,,Systematic review,33,"We performed a systematic review of the following databases: PubMed/Medline, Embase, Cochrane, Web of Science from January 1 st -April 21 st , 2020, to identify relevant articles reporting ageusia/dysgeusia as a symptom in laboratory-confirmed COVID-19 patients.",,,,"The initial search yielded a total of 33 articles, and after screening duplicates and excluding irrelevant articles, a total of five studies with 817 patients were finally included.","The proportion of female patients was reported in 3 studies (60.7%, 95% CI 51.3% -70.1%).",2020-05-12
,2020-05-05,"COVID-19 outbreak in Iraqi Kurdistan: The first report characterizing epidemiological, clinical, laboratory, and radiological findings of the disease",https://doi.org/10.1016/j.dsx.2020.04.047,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,,,,,,,,,,,,,,,,Other,6,"Methods In this prospective descriptive study, 15 confirmed hospitalized cases of COVID-19 between 18th March and April 7, 2020 were followed-up till discharge.",,,,"The study revealed that 6 patients were asymptomatic, and 9 patients were symptomatic.","The patients were male (9, 60.0%) and female (6, 40.0%).",2020-05-12
,2020-05-02,Modifiable and non-modifiable risk factors for COVID-19: results from UK Biobank,https://doi.org/10.1101/2020.04.28.20083295,medrxiv,,,,,,,,,,,,,,,,Case series,1474,March 2020 to 14th April 2020.,,,,"Results were available for 2,724 tests conducted on 1,474 individuals.","Other risk factors included older age (RR 1.10 per 5 year increase (95% CI 1.02-1.36)), male sex (RR 1.64 (95% CI 1.25-2.14)), black ethnicity (RR 1.86 (95% CI 1.03, 3.36)), All rights reserved.

Other risk factors were older age (RR 1.15 per 5 years (95% CI 1.08-1.24)), male sex (RR 1.54 (95% CI 1.24-1.91)), black ethnicity (RR 2.07 (95% CI 1.16, 3.71)), socioeconomic deprivation (RR 1.35 per SD increase in Townsend Index (95% CI 1.23-1.49)).",2020-05-12
,2020-05-01,Cohort profile: Preliminary experience of 500 COVID-19 postive cases at a South West London District General Hospital.,https://doi.org/10.1101/2020.04.28.20075119,medrxiv,,,,,,,,,,,,,,,,Other,163,"The data reviewed as part of this service evaluation included: patient demographic data, patient admission data, COVID-19 swab and result data, ventilatory status and ventilation data (if applicable) and outcome data.",,,,"163 patients had died (female 61, male 102).","163 patients had died (female 61, male 102).

56.8% of the admissions were male and 43.2% were female.

By the morning of 14 April 2020, 199 patients had been discharged (Female 89, Male 111), 163 patients had died (female 61, male 102) and 131 remained as in-patients (female 66, male 71).

Of this subgroup, 71% were male and 29% were female.",2020-05-12
,2020-05-01,"Racial, Economic and Health Inequality and COVID-19 Infection in the United States",https://doi.org/10.1101/2020.04.26.20079756,medrxiv,,,,,,,,,,,,,,,,Cross-sectional,1981,"Data source: Data sources in this study include, 1) publicly available data from USAfacts and the US Census Bureau for COVID-19 cases and county-level demographic data, 9, 10 2) COVID-19 data reported by each state on their department of health websites, 9 3) State Population by Race/Ethnicity data, 11, 12 and 4) mobility data extracted from Google.",,,,"African Americans were more vulnerable to COVID-19 than other ethnic groups (1,981 African American infected cases versus 658 Whites per million).","CI: -0.41, -0.12, q<0.003).",2020-05-12
,2020-04-30,Association of viral load with serum biomakers among COVID-19 cases,https://doi.org/10.1016/j.virol.2020.04.011,Virology,,,,,,,,,,,,,,,,Other,114,Clinical data were obtained 69 from patients' medical records.,,,,"CoV-2, CRP and SAA from serum of 114 COVID-19 patients on admission.","Also, no statistical 115 significance was found between male and female cases with the same severity 116 (mean, 5.36, 5.20 and 5.36 for male cases; 5.06, 5.10 and 5.81 for female case, 117 respectively, in Figure 1B ).",2020-05-12
,2020-04-28,"Features of 16,749 hospitalised UK patients with COVID-19 using the ISARIC WHO Clinical Characterisation Protocol",https://doi.org/10.1101/2020.04.23.20076042,medrxiv,,,,,,,,,,,,,,,,Prospective observational,16749,"Clinical information from the routine health records of people admitted to 166 hospitals in England Wales and Scotland with proven SARS-CoV-2 infection were extracted into deidentified case report forms on a REDCap database (Research Electronic Data Capture, Vanderbilt University (USA) hosted by University of Oxford (UK), by 2,468 research nurses, administrators and volunteer medical students.",,,,"Between 6 th February and 14:00 on 18 th April 2020, CCP-UK recruited 16,749 patients admitted to hospital with COVID-19 in England, Scotland and Wales.","Female sex was associated with lower mortality HR 0.80 (CI 0.72, 0.89, p<0.001).",2020-05-01
,2020-04-27,First reported nosocomial outbreak of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in a pediatric dialysis unit,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7197625/,Clin Infect Dis,,,,,,,,,,,,,,,,Other,15,Here we report a nosocomial outbreak of SARS-CoV-2 infections in the pediatric dialysis unit of the University Hospital of Münster (UHM).,,,,"In total 15 cases were of male, 33 of female sex.","In total 15 cases were of male, 33 of female sex.",2020-05-12
,2020-04-27,"Epidemiology and transmission of COVID-19 in 391 cases and 1286 of their close contacts in Shenzhen, China: a retrospective cohort study",https://doi.org/10.1016/s1473-3099(20)30287-5,The Lancet Infectious Diseases,,,,,,,,,,,,,,,,Retrospective observational,292,"Here, we analyse confirmed cases identified by the Shenzhen CDC between Jan 14 and Feb 12, 2020, and close contacts of cases confirmed before Feb 9, 2020.",,,,"Overall, 1286 close contacts were identified for index cases testing positive for SARS-CoV-2 between Jan 14 and Feb 9, 2020, with 244 (84%) of 292 cases having at least one close contact.","In multiple logistic regression, male sex was associated with severe symptoms (odds ratio [OR] 2·5 [95% CI 1·1-6·1]).",2020-05-01
,2020-04-25,COVID-19 Fatality and Comorbidity Risk Factors among Confirmed Patients in Mexico,https://doi.org/10.1101/2020.04.21.20074591,medrxiv,,,,,,,,,,,,,,,,Other,7497,"In this paper we estimate fatality risks based on survival analysis methods, calculated from individual-level data on symptomatic patients confirmed with COVID-19 recently released by the Mexican Ministry of Health.",,,,"Our analysis is based on 7,497 patients who tested positive for COVID-19 in Mexico, a subset of a larger dataset of 49,167 patients with COVID-19 related symptoms who sought attention in medical units and were tested with positive, negative (29,301 cases) and pending (12,369 cases) results.","The risk is higher for males (14.72%, 95% CI: 13.27-16.31) than females (9.09%, 95% CI: 7.86-10.49).",2020-05-01
,2020-04-25,Novel Coronavirus 2019 (2019-nCoV) Infection: Part I - Preparedness and Management in the Pediatric Intensive Care Unit in Resource-limited Settings,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7182738/,Indian Pediatr,,,,,,,,,,,,,,,,Other,171,The largest series on children analyzing suspected and confirmed COVID cases is from the electronic data base of Chinese CDC .,,,,"A prospective study from China involving 171 children with confirmed COVID-19 reported fever (41%) with a median duration of 3 days (1-16), cough (48%), pharyngeal erythema (46%) tachypnea (28%) and diarrhea (8.8%).",The mean age of these ICU patients was 60 years with male: female ratio of 2:1 and 50% had chronic illness.,2020-05-01
,2020-04-24,A follow-up study of children infected with SARS-CoV-2 from Western China,https://doi.org/10.1101/2020.04.20.20073288,medrxiv,,,,,,,,,,,,,,,,Retrospective observational,32,We obtained the electronic medical records of the confirmed COVID-19 children from the Hospital Information System (HIS) and Laboratory Information System (LIS) of each designated hospital for diagnosis and treatment of COVID-19.,,,,"Clinical data of 32 children with confirmed SARS-CoV-2 infection were collected in this study, with 20 (63%) patients from Chongqing and 3 (9%) patients from Shaanxi",17 (53%) patients were male.,2020-05-01
,2020-04-22,Association between chest CT features and clinical course of Coronavirus Disease 2019,https://doi.org/10.1016/j.rmed.2020.105989,Respiratory Medicine,,,,,,,,,,,,,,,,Retrospective observational,195,"195 hospitalized patients in First Hospital of Changsha, Hunan Province from December 31, 2019 to February 20, 2020 were enrolled and the clinical and laboratory tests data were collected accordingly.",,,,"195 hospitalized patients in First Hospital of Changsha, Hunan Province from December 31, 2019 to February 20, 2020 were enrolled and the clinical and laboratory tests data were collected accordingly.","Male 5 94 (48.2%) 67 (34.4%)

Male 4 94 (48.2%) 24 (12.3%)

Male 3 94 (48.2%) 26 (13.3%)

Male 2 94 (48.2%) 31 (15.9%)

Male 1 94 (48.2%) 22 (11.3%)

Male Female 94 (48.2%) 101 (51.8%)）",2020-04-24
,2020-04-20,"Characteristics, symptom management and outcomes of 101 patients with COVID-19 referred for hospital palliative care",https://doi.org/10.1016/j.jpainsymman.2020.04.015,Journal of Pain and Symptom Management,,,,,,,,,,,,,,,,Other,40/58,"We identified symptom burden, management, response to treatment, and outcomes for a case series of 101 in-patients with confirmed COVID-19 referred to hospital palliative care.",,,,"Infusions were assessed as at least partially effective for 40/58 patients, while 13 patients died before review.","Age, years Sex, male: female 82 [72-89] 64:37",2020-04-24
,2020-04-19,Low-density lipoprotein is a potential predictor of poor prognosis in patients with coronavirus disease 2019,https://doi.org/10.1016/j.metabol.2020.154243,Metabolism,,,,,,,,,,,,,,,,Retrospective observational,17,"We performed a retrospective longitudinal analysis of COVID-19 patients (n = 21) who were admitted between January 18 and February 8, 2020, into the department of infectious diseases at Zhongnan Hospital of Wuhan University in Wuhan, China.",,,,"Seventeen patients recovered and were discharged, while four patients did not survive.",The average age of the patients was 62.5 ± 12.6 years; 52% were male and 48% were female.,2020-05-01
,2020-04-14,Spread of SARS-CoV-2 in the Icelandic Population,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7175425/,N Engl J Med,,,,,,,,,,,,,,,,Other,564,The targeted testing began on January 31 2020 and focused on individuals deemed at highrisk of being infected by SARS-CoV-2.,,,,"Of the 564 children under the age of 10 years in the targeted testing group, 38 (6.7%) tested positive, in contrast to positive test results in 1183 of 8635 persons who were 10 years of age or older (13.7%).","The age odds ratio is 1.08 per year (95% CI: 1.05-1.12) and the male sex odds ratio is 1.45 (95% CI: 1.04-2.0).

However, in the targeted testing, the percentage of males who tested positive was greater than that of females (16.7% vs. 11.0%), for an odds ratio of 1.66 (95% CI, 1.47 to 1.87).",2020-05-12
,2020-04-12,"Coronavirus Disease-19: Summary of 2,370 Contact Investigations of the First 30 Cases in the Republic of Korea",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7104686/,Osong Public Health Res Perspect,,,,,,,,,,,,,,,,Other,2370,"Demographic, epidemiological, and early clinical information were retrieved from COVID-19 reporting and surveillance data from Korea Centers for Disease Control and Prevention (KCDC).",,,,"Between January 24th and March 10th, a total of 2,370 individuals were contact traced to the first 30 cases of COVID-19.","Males had a higher secondary attack rate (0.75, 95% CI 0.38–1.47) than females (0.38, 95% CI 0.16–0.89).",2020-04-10
,2020-04-07,Longitudinal analysis of laboratory findings during the process of recovery for patients with COVID-19,https://doi.org/10.1101/2020.04.04.20053280,medrxiv,,,,,,,,,,,,,,,,Prospective observational,59,"Laboratory findings, the characteristics of epidemiological and demographic data were retrieved from electronic medical records.",,,,"Methods The multicenter study prospectively included 59 patients with COVID-19 treated at Jilin province from January 21, 2020 to May 5, 2020.","≥70y Male (n=34) 3 (8.8) Female (n=25) 2 (8.0)

<30y Male (n=34) 10 (29.4) Female (n=25) 8 (32.0)

50-69y Male (n=34) 6 (17.7) Female (n=25) 5 (20.0)

30-49y Male (n=34) 15 (44.1) Female (n=25) 10 (40.0)

Secondary cases Male (n=34) 11 (28.6) Female (n=25) 14 (56.0)

Primary cases Male (n=34) 17 (60.7) Female (n=25) 9 (36.0)

Age, y, M (P25-P75) Male (n=34) 41 (29-51) Female (n=25) 41 (28-53)

42.4% (25/59) of cases were female.

Travel history in Wuhan Male (n=34) 7 (20.6) Female (n=25) 2 (8.0)

Hospitalized time, d, M (P25-P75) Male (n=34) 17 (13-21) Female (n=25) 17 (11-19)

Changchun Male (n=34) 25 (73.5) Female (n=25) 20 (80.0)

Tertiary cases Male (n=34) 6 (10.7) Female (n=25) 2 (8.0)",2020-04-10
