,Date,Title,URL,Journal,Severe,Severe lower bound,Severe upper bound,Severe p-value,Severe Significant,Severe Adjusted,Severe Calculated,Fatality,Fatality lower bound,Fatality upper bound,Fatality p-value,Fatality Significant,Fatality Adjusted,Fatality Calculated,Multivariate adjustment,Design,Sample,Study population,Added on,Critical only,Discharged vs. death?,Sample Text,Matches,Entry
,2020-08-31,Comorbidities in COVID-19: Outcomes in hypertensive cohort and controversies with renin angiotensin system blockers,https://doi.org/10.1016/j.dsx.2020.03.016,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,,,,,,,,,,,,,,,,Retrospective observational,187.0,"Methods We have systematically searched the medical database up to March 27, 2020 and retrieved all the published articles in English language related to our topic using MeSH key words.",,,,"In a study of 187 patients with COVID-19, Guo et al.","found hypertension to have a hazard ratio (HR) of 1.82 (95% CI, 1.13 to 2.95; p ¼ 0.01) for acute respiratory distress syndrome (ARDS) and 1.70 (95% CI, 0.92 to 3.14, p ¼ 0.09) for death.

found hypertension to have a hazard ratio (HR) of 1.82 (95% CI, 1.13 to 2.95; p = 0.01) for acute respiratory distress syndrome (ARDS) and 1.70 (95% CI, 0.92 to 3.14, p = 0.09) for death.",2020-04-17
,2020-08-31,"Diabetes in COVID-19: Prevalence, pathophysiology, prognosis and practical considerations",https://doi.org/10.1016/j.dsx.2020.04.004,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,,,,,,,,,,,,,,,,Retrospective observational,161.0,"Methods PubMed database and Google Scholar were searched using the key terms ‘COVID-19’, ‘SARS-CoV-2’, ‘diabetes’, ‘antidiabetic therapy’ up to April 2, 2020.",,,,A study in 161 patients with COVID-19 in Wuhan found increased time for viral clearance in patients with diabetes .,"the odds ratio (OR) of severe COVID-19 was not significantly higher in patients with diabetes (OR, 2.07; 95% CI, 0.89 to 4.82), unlike hypertension (OR, 2.36; 95% CI, 1.46 to 3.83) and CVD (OR, 3.42; 95% CI, 1.88 to 6.22).

found that diabetic patients had a hazard ratio (HR) of 2.34 (95% CI, 1.35 to 4.05; p = 0.002) for acute respiratory syndrome (ARDS).",2020-05-12
,2020-08-01,COVID-19 transmission in Mainland China is associated with temperature and humidity: A time-series analysis,https://doi.org/10.1016/j.scitotenv.2020.138778,Science of The Total Environment,,,,,,,,,,,,,,,,Time-to-event analysis,,"Daily counts of laboratory-confirmed cases in all provinces in China were collected from the official reports of the National Health Commission of People's Republic of China from December 1, 2019 to February 11, 2020 for Hubei province and from January 20, 2020 to February 11, 2020 for other provinces.",,,,"This study sought to examine the associations of daily average temperature (AT) and relative humidity (ARH) with the daily counts of COVID-19 cases in 30 Chinese provinces (in Hubei from December 1, 2019 to February 11, 2020 and in other provinces from January 20, 2020 to Februarys 11, 2020).","The IRRs here were 0.78 (95% CI: 0.69-0.89), 0.84 (95% CI: 0.75-0.93), and 0.89 (95% CI: 0.8-1).",2020-05-12
,2020-05-12,"Cardiovascular Considerations for Patients, Health Care Workers, and Health Systems During the COVID-19 Pandemic",https://doi.org/10.1016/j.jacc.2020.03.031,Journal of the American College of Cardiology,,,,,,,,,,,,,,,,Retrospective observational,52.0,A retrospective analysis in patients with COVID-19,,,,"In a case series of 52 critically ill patients with COVID-19, 83.3% (5 of 6) of patients who were treated with ECMO did not survive.", demonstrated that patients with acute respiratory infections are at elevated risk for subsequently developing acute MI after influenza (incidence ratio: 6.1; 95% CI: 3.9 to 9.5) and after noninfluenza viral illnesses including other coronavirus species (incidence ratio: 2.8; 95% CI: 1.2 to 6.2).,2020-05-12
,2020-05-07,Coast-to-Coast Spread of SARS-CoV-2 during the Early Epidemic in the United States,https://doi.org/10.1016/j.cell.2020.04.021,Cell,,,,,,,,,,,,,,,,Other,168.0,"Daily COVID-19 cases from international locations were obtained from the European Centre for Disease Prevention and Control via Our World in Data ( International data were accessed on March 19, 2020.",,,,"The COVID-19 Outbreak in Connecticut Is Phylogenetically Linked to SARS-CoV-2 from Washington (A) We constructed a maximum-likelihood tree using 168 global SARS-CoV-2 protein coding sequences, including 9 sequences from COVID-19 patients identified in Connecticut from March 6-14, 2020.", : 0.092 (95% CI = 0.05-0.20).,2020-05-12
,2020-05-06,Impact of policy interventions and social distancing on SARS-CoV-2 transmission in the United States,https://doi.org/10.1101/2020.05.01.20088179,medrxiv,,,,,,,,,,,,,,,,Case series,500.0,"In order to retrospectively analyze metrics of disease spread and mortality, case and death data were compiled up to April 30th, 2020 from the COVID-19 time series made available by The New York Times.",,,,The primary outcomes were average Rt in the week following 500 cases and doubling time from 500 to 1000 cases.,"(ß = -0.15, 95% CI -0.23 to -0.07, p < 0.001, Table 2 ).",2020-05-12
,2020-05-05,Risk Factors of the Severity of COVID-19: A Meta-Analysis,https://doi.org/10.1101/2020.04.30.20086744,medrxiv,,,,,,,,,,,,,,,,Systematic review,2272.0,"Both of the authors searched through PubMed, Google Scholar, EMBASE, and Cochrane Library using keywords:",,,,We have extracted 2272 patients' information from 10 autonomous studies 14-23 and incorporated them into this research.,"We found fever (RR=1.21, 95% CI, 0.66 to 2.22), cough (1.13, 95% CI, 0.98 to 1.30), and diarrhea (RR=1.14, 95% CI, 0.93 to 1.40) as insignificant risk factors for COVID-19 severity.

This study found sex (male) (Risk ratio [RR] =1.29, 95% CI, 1.07 to 1.54), hypertension (RR=1.79, 95% CI, 1.57 to 2.04), diabetes (RR=1.57, 95% CI, 1.25 to 1.98), fatigue or myalgia (RR=1.17, 95% CI, 1.02; 1.35), and smoking history (RR=1.71, 95% CI,1.25; 2.35) are potential risk factors for the severity of COVID-19.",2020-05-12
,2020-05-05,ai-corona: Radiologist-Assistant Deep Learning Framework for COVID-19 Diagnosis in Chest CT Scans,https://doi.org/10.1101/2020.05.04.20082081,medrxiv,,,,,,,,,,,,,,,,Other,2121.0,"Respiratory samples including pharyngeal swabs/washing were obtained from February 20 th till April 3 rd , 2020, from the hospitalized patients.",,,,"Method: Our dataset comprises 2121 cases of axial spiral chest CT scans in three classes; COVID-19 abnormal, non COVID-19 abnormal, and normal, from which 1764 cases were used for training and 357 cases for validation.","ai-corona achieves an AUC score of 0.989 (95% CI: 0.984, 0.994), 0.997 (95% CI: 0.995, 0.999), 0.986 (95% CI: 0.981, 0.991), 0.959 (95% CI: 0.944, 0.974), 0.978 (95% CI: 0.968, 0.988), and 0.961 (95% CI: 0.951, 0.971) in each combination, respectively.",2020-05-12
,2020-05-05,CT manifestations and clinical characteristics of 1115 patients with coronavirus disease 2019 (COVID-19): A systematic review and meta-analysis,https://doi.org/10.1016/j.acra.2020.04.033,Academic Radiology,,,,,,,,,,,,,,,,Systematic review,14.0,"Materials and methods: A systematic literature search of PubMed, EMBASE, the Cochrane Library, and Web of Science was performed to identify studies assessing CT features, clinical and laboratory results of COVID-19 patients.",,,,Results: A total of 14 articles(including 1115 patients) based on chest CT images were retrieved.,"The incidence of fever was 80% (95% CI 74-87%), which served as the most prevalent clinical manifestation, followed by cough (53%, 95% CI 33-72%), and minor symptoms were muscle soreness (21%, 95% CI 15-26%) and diarrhea (7%, 95% CI 4-10%).",2020-05-12
,2020-05-02,Modifiable and non-modifiable risk factors for COVID-19: results from UK Biobank,https://doi.org/10.1101/2020.04.28.20083295,medrxiv,,,,,,,,,,,,,,,,Case series,1474.0,March 2020 to 14th April 2020.,,,,"Results were available for 2,724 tests conducted on 1,474 individuals.","  socioeconomic deprivation (RR 1.26 (95% CI 1.14-1.40)), longstanding illness (RR 1.38 (95% CI 1.09-1.74)), lower HDL-cholesterol (RR 0.82 (95% CI 1.72-0.95)) and higher cystatin C (RR 1.24 (95% CI 1.12-1.37)) ( Table 2) .",2020-05-12
