,Date,Title,URL,Journal,Severe,Severe lower bound,Severe upper bound,Severe p-value,Severe Significant,Severe Adjusted,Severe Calculated,Fatality,Fatality lower bound,Fatality upper bound,Fatality p-value,Fatality Significant,Fatality Adjusted,Fatality Calculated,Multivariate adjustment,Design,Sample,Study population,Added on,Critical only,Discharged vs. death?,Sample Text,Matches,Entry
,2020-06-30,"The experience on coronavirus disease 2019 and cancer from an oncology hub institution in Milan, Lombardy Region",https://doi.org/10.1016/j.ejca.2020.04.017,European Journal of Cancer,,,,,,,,,,,,,,,,Other,909.0,We extracted the data of laboratory-diagnosed patients with COVID-19 who had been referred to our division from 1st February 2020 and retrospectively gathered clinicopathological data.,,,,"In Italy, we report the analysis of the Italian Medical Council on 909 patients who died from COVID-19; of whom, 16.5% were patients with cancer.","All the patients had a smoking history, being either former smokers (n Z 4) or current smokers (n Z 5).

All the patients had a smoking history, being either former smokers (n = 4) or current smokers (n = 5).",2020-05-12
,2020-05-07,Vitamin D concentrations and COVID-19 infection in UK Biobank,https://doi.org/10.1016/j.dsx.2020.04.050,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,,,,,,,,,,,,,,,,Other,502624.0,Data were available for the period 16th March 2020 to 14th April 2020.,,,,"Methods UK Biobank recruited 502,624 participants aged 37–73 years between 2006 and 2010.",Smoking status was self-reported and categorised as current or non (ex/former) smoker.,2020-05-12
,2020-05-07,Coronavirus disease 2019 (COVID-19) and cardiovascular risk: A meta-analysis,https://doi.org/10.1016/j.pcad.2020.05.001,Progress in Cardiovascular Diseases,,,,,,,,,,,,,,,,Systematic review,13.0,"We systematically searched MEDLINE, Embase, Cochrane Database of Systematic Reviews, Scopus, and Web of Science as well as preprint servers from December 2019 through April 10, 2020, for observational studies that reported the association between preexisting CVD risk and COVID-19.",,,,We identified 13 observational studies.,Smoking was not associated with the severity of the COVID-19 case.,2020-05-12
,2020-05-06,Active smoking is associated with severity of coronavirus disease 2019 (COVID-19): An update of a meta-analysis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7202479/,Tob Induc Dis,,,,,,,,,,,,,,,,Systematic review,5.0,"Lippi and Henry1 searched PubMed and Web of Science up to 9 March 2020, and identified 5 studies2-2 with data on smoking and severity of COVID-19.",,,,"In a systemic review published by Vardavas and Nikitara7, 5 studies were included.",A meta-analysis published in 2019 including 27 studies and 460592 participants revealed current smokers (pooled OR=2.17; 95% CI: 1.70–2.76) and ex-smokers (pooled OR=1.49; 95% CI: 1.26–1.75) were more likely to develop community-acquired pneumonia compared to never smokers9.,2020-05-12
,2020-05-05,Risk Factors of the Severity of COVID-19: A Meta-Analysis,https://doi.org/10.1101/2020.04.30.20086744,medrxiv,,,,,,,,,,,,,,,,Systematic review,2272.0,"Both of the authors searched through PubMed, Google Scholar, EMBASE, and Cochrane Library using keywords:",,,,We have extracted 2272 patients' information from 10 autonomous studies 14-23 and incorporated them into this research.,"Only 11.3% of the patients smoke cigarettes (current or past smoker).

This study found sex (male) (Risk ratio [RR] =1.29, 95% CI, 1.07 to 1.54), hypertension (RR=1.79, 95% CI, 1.57 to 2.04), diabetes (RR=1.57, 95% CI, 1.25 to 1.98), fatigue or myalgia (RR=1.17, 95% CI, 1.02; 1.35), and smoking history (RR=1.71, 95% CI,1.25; 2.35) are potential risk factors for the severity of COVID-19.

In conclusion, sex (male), smoking history, diabetes, hypertension, and fatigue or myalgia can be considered as significant risk factors for the severity of COVID-19.",2020-05-12
,2020-05-05,"COVID-19, smoking, and inequalities: a cross-sectional survey of adults in the UK",https://doi.org/10.1101/2020.04.30.20086074,medrxiv,,,,,,,,,,,,,,,,Cross-sectional,53002.0,"Main outcome measures: Confirmed and suspected COVID-19, worry about catching and becoming seriously ill from COVID-19, and adherence to protective behaviours.",,,,"Participants: 53,002 men and women aged ≥18y.","After including suspected cases, prevalence was higher among current smokers (11.2% [10.6-11.9%], OR 1.11 [1.03-1.20]) and ex-smokers (10.9% [10.4-11.5%], OR 1.07 [1.01-1.15]) than never smokers (10.2% [9.9-10.6%]), but remained higher only among ex-smokers after adjustment (OR 1.21 [1.13-1.29]).

Current and ex-smokers had higher odds than never smokers of reporting significant stress about catching (current: OR 1.43 [1.35-1.52]; ex-smokers: OR 1.15 [1.09-1.22]) or becoming seriously ill from COVID-19 (current: OR 1.34 [1.27-1.43]; ex-smokers: OR 1.22 [1.16-1.28]).

Results: Compared with never smokers (0.3% [95%CI 0.2-0.3%]), prevalence of confirmed COVID-19 was higher among current (0.6% [0.4-0.8%]) but not ex-smokers (0.2% [0.2-0.3%]).

The associations were similar before (current: OR 2.14 [1.49-3.08]; ex-smokers: OR 0.73 [0.47-1.14]) and after (current: OR 1.79 [1.22-2.62]; ex-smokers: OR 0.85 [0.54-1.33]) adjustment for potential confounders.",2020-05-12
,2020-05-03,De-intensification of treatment in human papilloma virus related oropharyngeal carcinoma: Patient choice still matters for de-escalation and for the COVID era,https://doi.org/10.1016/j.oraloncology.2020.104768,Oral Oncology,,,,,,,,,,,,,,,,Systematic review,282.0,"This is even more important in present COVID-19 era, where radiotherapy hypofractionation regimens, and reduced or abandoned concomitant chemotherapy regimens, are being introduced , for the best possible motives, to reduce hospital visits and potential immunosuppression, but in general without input from individual patients or patient groups.",,,,Mirghani et al published analysis on 282 HPV positive patients and 56% of patients had a smoking history.,This smoking history (either more than 20 pack-years or smoking at the time of diagnosis) was the strongest prognostic factor of survival as smoking history was associated with local and distant relapse.,2020-05-12
,2020-04-30,Does Cigarette Smoking Protect Against SARS-CoV-2 Infection?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7197541/,Nicotine Tob Res,,,,,,,,,,,,,,,,Other,5.0,"An analysis of 5 studies reporting patient smoking status determined that, relative to the population of smokers in China, current smokers were underrepresented in individuals hospitalized with COVID-19 by, in some cases, a factor of 10 4 .",,,,"An analysis of 5 studies reporting patient smoking status determined that, relative to the population of smokers in China, current smokers were underrepresented in individuals hospitalized with COVID-19 by, in some cases, a factor of 10 4 .","An analysis of 5 studies reporting patient smoking status determined that, relative to the population of smokers in China, current smokers were underrepresented in individuals hospitalized with COVID-19 by, in some cases, a factor of 10 4 .",2020-05-12
,2020-04-30,Trend and forecasting of the COVID-19 outbreak in China,https://doi.org/10.1016/j.jinf.2020.02.014,Journal of Infection,,,,,,,,,,,,,,,,Other,10.0,"By using the public data from Jan. 20 to Feb. 11, 2020, we perform data-driven analysis and forecasting on the COVID-19 epidemic in mainland China, especially Hubei province.",,,,"Out of the ten patients with imported CHIKV infection examined in this study, nine patients had traveled back from Myanmar and one patient had travelled back from Thailand ( Fig.","Comorbidities included, obesity, hypertension, asthma, COPD, diabetes, anxiety, depression, epilepsy, a history of smoking and alcohol use (or abuse).

Demographic/medical conditions Smoker Survived ( n = 24) 4 (16.7%) Died ( n = 8) 2 (25.0%) p-value 0.625",2020-05-01
,2020-04-30,Analysis of angiotensin-converting enzyme 2 (ACE2) from different species sheds some light on cross-species receptor usage of a novel coronavirus 2019-nCoV,https://doi.org/10.1016/j.jinf.2020.02.013,Journal of Infection,,,,,,,,,,,,,,,,Other,10.0,"2 On the basis of laboratory surveillance data from 30 Chinese provinces spanning about 12 years from October 2004 through January 2017, our study further characterized seasonal patterns of circulating influenza A subtypes and influenza B lineages in the three defined epidemiological regions.",,,,"Out of the ten patients with imported CHIKV infection examined in this study, nine patients had traveled back from Myanmar and one patient had travelled back from Thailand ( Fig.","Comorbidities included, obesity, hypertension, asthma, COPD, diabetes, anxiety, depression, epilepsy, a history of smoking and alcohol use (or abuse).

Demographic/medical conditions Smoker Survived ( n = 24) 4 (16.7%) Died ( n = 8) 2 (25.0%) p-value 0.625",2020-04-10
