Category,Date,Study,Study Link,Journal,Severe,Severe Significant,Severe Age Adjusted,Severe OR Calculated or Extracted,Fatality,Fatality Significant,Fatality Age Adjusted,Fatality OR Calculated or Extracted,Design,Sample,Study Population,Sample Text,Matches,Entry
Age ci,2020-08-01,COVID-19 transmission in Mainland China is associated with temperature and humidity: A time-series analysis,https://doi.org/10.1016/j.scitotenv.2020.138778,Science of The Total Environment,,,,,,,,,Time-to-event analysis,,"Daily counts of laboratory-confirmed cases in all provinces in China were collected from the official reports of the National Health Commission of People's Republic of China from December 1, 2019 to February 11, 2020 for Hubei province and from January 20, 2020 to February 11, 2020 for other provinces.","This study sought to examine the associations of daily average temperature (AT) and relative humidity (ARH) with the daily counts of COVID-19 cases in 30 Chinese provinces (in Hubei from December 1, 2019 to February 11, 2020 and in other provinces from January 20, 2020 to Februarys 11, 2020).","The IRRs here were 0.78 (95% CI: 0.69-0.89), 0.84 (95% CI: 0.75-0.93), and 0.89 (95% CI: 0.8-1).",2020-05-12
Age ci,2020-05-07,Coast-to-Coast Spread of SARS-CoV-2 during the Early Epidemic in the United States,https://doi.org/10.1016/j.cell.2020.04.021,Cell,,,,,,,,,Other,168.0,"Daily COVID-19 cases from international locations were obtained from the European Centre for Disease Prevention and Control via Our World in Data ( International data were accessed on March 19, 2020.","The COVID-19 Outbreak in Connecticut Is Phylogenetically Linked to SARS-CoV-2 from Washington (A) We constructed a maximum-likelihood tree using 168 global SARS-CoV-2 protein coding sequences, including 9 sequences from COVID-19 patients identified in Connecticut from March 6-14, 2020.", : 0.092 (95% CI = 0.05-0.20).,2020-05-12
Age ci,2020-05-06,Impact of policy interventions and social distancing on SARS-CoV-2 transmission in the United States,https://doi.org/10.1101/2020.05.01.20088179,medrxiv,,,,,,,,,Case series,500.0,"In order to retrospectively analyze metrics of disease spread and mortality, case and death data were compiled up to April 30th, 2020 from the COVID-19 time series made available by The New York Times.",The primary outcomes were average Rt in the week following 500 cases and doubling time from 500 to 1000 cases.,"(ß = -0.15, 95% CI -0.23 to -0.07, p < 0.001, Table 2 ).",2020-05-12
Age ci,2020-05-05,Risk Factors of the Severity of COVID-19: A Meta-Analysis,https://doi.org/10.1101/2020.04.30.20086744,medrxiv,,,,,,,,,Systematic review,2272.0,"Both of the authors searched through PubMed, Google Scholar, EMBASE, and Cochrane Library using keywords:",We have extracted 2272 patients' information from 10 autonomous studies 14-23 and incorporated them into this research.,"This study found sex (male) (Risk ratio [RR] =1.29, 95% CI, 1.07 to 1.54), hypertension (RR=1.79, 95% CI, 1.57 to 2.04), diabetes (RR=1.57, 95% CI, 1.25 to 1.98), fatigue or myalgia (RR=1.17, 95% CI, 1.02; 1.35), and smoking history (RR=1.71, 95% CI,1.25; 2.35) are potential risk factors for the severity of COVID-19.

We found fever (RR=1.21, 95% CI, 0.66 to 2.22), cough (1.13, 95% CI, 0.98 to 1.30), and diarrhea (RR=1.14, 95% CI, 0.93 to 1.40) as insignificant risk factors for COVID-19 severity.",2020-05-12
Age ci,2020-05-05,"Obstructive Sleep Apnea, Obesity, and Noninvasive Ventilation: Considerations During the Coronavirus Disease 2019 Pandemic",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7202104/,Anesth Analg,,,,,,,,,Retrospective observational,6000000.0,"2 These characteristics are corroborated with preliminary data from the Italian COVID-19 outbreak which describe the typical COVID-19 patient as age 60-70, men, and obese.","12 In a large retrospective cohort study of over 6,000,000 cases, sleep apnea has been associated with an increased risk for the development of ARDS among patients undergoing orthopedic and general surgical procedures.","During the influenza A(H1N1) pandemic in 2009, obesity was found to be an independent risk factor for complications related to influenza.9,10 A retrospective analysis of BMI stratified by age in symptomatic patients with COVID-19 who presented to a large academic hospital system in New York has shown that patients aged <60 years with a BMI between 30 and 34kg/m2 were 2.0 (95% confidence interval [CI], 1.6–2.6, P < .0001) and 1.8 (95% CI, 11.2–2.7, P = .006) times more likely to be admitted to acute and critical care, respectively, than those with a BMI <30 kg/m2.11 Likewise, patients with a BMI >35 kg/m2 and aged <60 years were 2.2 (95% CI, 11.7–2.9, P<.0001) and 3.6 (95% CI, 22.5–5.3, P ≤.0001) times more likely to be admitted to acute and critical care than patients in the same age category who had BMI <30 kg/m2.11

11 Likewise, patients with a BMI >35 kg/m 2 and aged <60 years were 2.2 (95% CI, 11.7-2.9, P < .0001) and 3.6 (95% CI, 22.5-5.3, P ≤ .0001) times more likely to be admitted to acute and critical care than patients in the same age category who had BMI <30 kg/m 2 .

9,10 A retrospective analysis of BMI stratified by age in symptomatic patients with COVID-19 who presented to a large academic hospital system in New York has shown that patients aged <60 years with a BMI between 30 and 34 kg/m 2 were 2.0 (95% confidence interval [CI], 1.6-2.6, P < .0001) and 1.8 (95% CI, 11.2-2.7, P = .006) times more likely to be admitted to acute and critical care, respectively, than those with a BMI <30 kg/m 2 .",2020-05-12
Age ci,2020-05-05,ai-corona: Radiologist-Assistant Deep Learning Framework for COVID-19 Diagnosis in Chest CT Scans,https://doi.org/10.1101/2020.05.04.20082081,medrxiv,,,,,,,,,Other,2121.0,"Respiratory samples including pharyngeal swabs/washing were obtained from February 20 th till April 3 rd , 2020, from the hospitalized patients.","Method: Our dataset comprises 2121 cases of axial spiral chest CT scans in three classes; COVID-19 abnormal, non COVID-19 abnormal, and normal, from which 1764 cases were used for training and 357 cases for validation.","ai-corona achieves an AUC score of 0.989 (95% CI: 0.984, 0.994), 0.997 (95% CI: 0.995, 0.999), 0.986 (95% CI: 0.981, 0.991), 0.959 (95% CI: 0.944, 0.974), 0.978 (95% CI: 0.968, 0.988), and 0.961 (95% CI: 0.951, 0.971) in each combination, respectively.",2020-05-12
Age ci,2020-05-02,Modifiable and non-modifiable risk factors for COVID-19: results from UK Biobank,https://doi.org/10.1101/2020.04.28.20083295,medrxiv,,,,,,,,,Case series,1474.0,March 2020 to 14th April 2020.,"Results were available for 2,724 tests conducted on 1,474 individuals.","Other risk factors included older age (RR 1.10 per 5 year increase (95% CI 1.02-1.36)), male sex (RR 1.64 (95% CI 1.25-2.14)), black ethnicity (RR 1.86 (95% CI 1.03, 3.36)), All rights reserved.

Other risk factors were older age (RR 1.15 per 5 years (95% CI 1.08-1.24)), male sex (RR 1.54 (95% CI 1.24-1.91)), black ethnicity (RR 2.07 (95% CI 1.16, 3.71)), socioeconomic deprivation (RR 1.35 per SD increase in Townsend Index (95% CI 1.23-1.49)).

  socioeconomic deprivation (RR 1.26 (95% CI 1.14-1.40)), longstanding illness (RR 1.38 (95% CI 1.09-1.74)), lower HDL-cholesterol (RR 0.82 (95% CI 1.72-0.95)) and higher cystatin C (RR 1.24 (95% CI 1.12-1.37)) ( Table 2) .",2020-05-12
Age ci,2020-05-01,"Racial, Economic and Health Inequality and COVID-19 Infection in the United States",https://doi.org/10.1101/2020.04.26.20079756,medrxiv,,,,,,,,,Cross-sectional,1981.0,"Data source: Data sources in this study include, 1) publicly available data from USAfacts and the US Census Bureau for COVID-19 cases and county-level demographic data, 9, 10 2) COVID-19 data reported by each state on their department of health websites, 9 3) State Population by Race/Ethnicity data, 11, 12 and 4) mobility data extracted from Google.","African Americans were more vulnerable to COVID-19 than other ethnic groups (1,981 African American infected cases versus 658 Whites per million).","CI: -0.41, -0.12, q<0.003).",2020-05-12
Age ci,2020-04-28,"Features of 16,749 hospitalised UK patients with COVID-19 using the ISARIC WHO Clinical Characterisation Protocol",https://doi.org/10.1101/2020.04.23.20076042,medrxiv,,,,,,,,,Prospective observational,16749.0,"Clinical information from the routine health records of people admitted to 166 hospitals in England Wales and Scotland with proven SARS-CoV-2 infection were extracted into deidentified case report forms on a REDCap database (Research Electronic Data Capture, Vanderbilt University (USA) hosted by University of Oxford (UK), by 2,468 research nurses, administrators and volunteer medical students.","Between 6 th February and 14:00 on 18 th April 2020, CCP-UK recruited 16,749 patients admitted to hospital with COVID-19 in England, Scotland and Wales.","Increased age was a strong predictor of in-hospital mortality after adjusting for comorbidity ( figure 6 ): (reference age<50yrs) 50-69yrs Hazard ratio (HR) 4.02 (Confidence interval (CI) 2.88, 5.63, p<0.001), 70-79yrs HR 9.59 (CI 6.89, 13.34, p<0.001), >=80yrs HR 13.59 (CI 9.79, 18.85, p<0.001).

Female sex was associated with lower mortality HR 0.80 (CI 0.72, 0.89, p<0.001).",2020-05-01
Age ci,2020-04-28,"Baseline Characteristics and Outcomes of 1591 Patients Infected With SARS-CoV-2 Admitted to ICUs of the Lombardy Region, Italy",https://jamanetwork.com/journals/jama/articlepdf/2764365/jama_grasselli_2020_oi_200037.pdf,JAMA,,,,,,,,,Case series,1591.0,Data were recorded by the coordinator center on an electronic worksheet during telephone calls by the staff of the COVID-19 Lombardy ICU Network.,"RESULTS: Of the 1591 patients included in the study, the median (IQR) age was 63 (56-70) years and 1304 (82%) were male.","Older patients (n = 786; age ≥64 years) had higher mortality than younger patients (n = 795; age ≤63 years) (36% vs 15%; difference, 21% [95% CI, 17%-26%]; P < .001).

The median PEEP level was not different between younger patients (n = 503 aged ≤63 years) and older patients (n = 514 aged ≥64 years) (14 [IQR, 12-15] vs 14 [IQR, 12-16] cm H O, respectively; median difference, 0 [95% CI, 0-0]; P = .94).

Patients with hypertension (n = 509) were older than those without hypertension (n = 526) (median [IQR] age, 66 years [60-72] vs 62 years [54-68]; P < .001) and had lower Pao /Fio (median [IQR], 146 [105-214] vs 173 [120-222]; median difference, −27 [95% CI, −42 to −12]; P = .005).",2020-05-12
